Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
A Little Bit of... Hanky Panky,1984,,"Two young, married couples are on a camping holiday on the island. Only Sylvia, one of the wives, knows the island's secret ... There are lots of surprises and plenty of pretty girls. Filmed entirely on location in the South Pacific.",en,https://image.tmdb.org/t/p/w500/fDatLvZXXU6BiPSvLkvgn0NiFUu.jpg,6.5,Svetlana,Cinetrex
'Merika,1984,18,A story about a Filipina immigrant nurse's struggle to survive in the United States.,tl,https://image.tmdb.org/t/p/w500/5p8M6WUdvINebH5QoItQzdwhF7E.jpg,5,Gil Portes,"Adrian Films, Tri-Films International"
Kenya Boy,1984,"16, 12, 14","An 11-year-old boy who goes to Africa with his father in 1941. Because he is Japanese, the father is detained by the British. The boy joins up with a beautiful native girl, and the adventure begins.",ja,https://image.tmdb.org/t/p/w500/jmYlZHgJ0lcVyl26cFfHeW5rA7L.jpg,5.4,Nobuhiko Obayashi,"Toei Animation, KADOKAWA"
Splatter University,1984,"27, 9648, 53",A sociology instructor finds her new teaching duties at a private college interrupted by the presence of a killer.,en,https://image.tmdb.org/t/p/w500/cJqS0Qyk9QZDvIojWKye9VhuwtO.jpg,4.4,Richard W. Haines,Aquifilm
Talk Dirty to Me 3,1984,,A young mermaid surfaces at a California nudist camp to set her sights on having sex with a human male.,en,https://image.tmdb.org/t/p/w500/3eton0dvOT9nM7nP4nsCyiiJ4kL.jpg,6.4,Ned Morehead,Dreamland Entertainment
The Island Closest to Heaven,1984,18,"A Japanese teenager travels to New Caledonia in search of the fabled ""island closest to heaven"" that her late father had told her about.",ja,https://image.tmdb.org/t/p/w500/c79PhfYst50KwdyfLqUb8MIuAhN.jpg,6,Nobuhiko Obayashi,KADOKAWA
Tohfa,1984,"10749, 18","Tohfa (English: Gift) is a 1984 Bollywood drama film produced by D. Rama Naidu on Suresh Productions banner, directed by K. Raghavendra Rao. Starring Jeetendra, Jaya Prada, Sridevi in the lead roles and music composed by Bappi Lahari.[1] The film is a remake of Telugu movie Devata (1982). The film became a hit and took the top spot at the box office in 1984.",hi,https://image.tmdb.org/t/p/w500/ngAWN7OemcNrjOGGiPL2XHjhL1Y.jpg,4.5,K Raghavendra Rao,
Long Hard Nights,1984,,"Nora is fired from her job as a nurse by hospital administrator Davenport due to her unorthodox methods in treating patients.  She takes on a series of nursing jobs away from hospitals and crosses paths with a number of interesting characters.  Winner of 1985 AVN Awards for Best Video Feature and Best Director, Video.",en,https://image.tmdb.org/t/p/w500/iaUatDUIVlhuPNUv3kmqrUi9MPD.jpg,0,Henri Pachard,
Loose Times at Ridley High,1984,,Mad crushes on male teachers run rampant as our sweet young things explore their budding sexuality as well as each other's bodies.,en,https://image.tmdb.org/t/p/w500/nvxdDhG7msC4dtL3LtZZPAwwl4O.jpg,5.4,Henning Schellerup,
Maladonna,1984,18,"In late XIX century, rich and bored Maria (Paola Senatore) is after a more sexually interesting life and gets involved with Alessio who shows her other kinds of love. She soon becomes his sex slave but some unexpected consequences will arise from her desperate search for sexual fulfillment.",it,https://image.tmdb.org/t/p/w500/uqsE7vfgOQGUDcqVd9YFd2dwlUp.jpg,5,Bruno Gaburro,Geo Film
Matinee Idol,1984,"35, 18",Egos and screen tests are all around when it is time to film an adult film called Matinee Idol. The lead star also has a private go with the casting directors’ buxom secretary right on the casting directors’ table.,en,https://image.tmdb.org/t/p/w500/2ibfbQFWPFoPSvBZWKpVS97BPpm.jpg,6.8,Henri Pachard,Matinee Associates
Mitică Popescu,1984,35,"Mitică Popescu is a functionary at a bank and he is secretly in love with the owner. She is in financial trouble though, and she is about to lose the bank and everything she has. Mitică finds a  way to help her.",ro,https://image.tmdb.org/t/p/w500/5yNrvjlIZYEPh30rbKiuDf60v0G.jpg,6.5,Manole Marcus,
