Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Man Is Not Desirable,1984,18,A young teacher grows up in a small Slovak village during the Second World War.,sk,N/A,0,Jozef Zachar,Slovenská filmová tvorba
"Zbohom, sladké driemoty",1984,18,,sk,N/A,0,Vladimír Kavčiak,Slovenská filmová tvorba
Achha Bura,1983,18,"Shekhar and Birsingh are bosom pals. They come to stay at a small chawl where an angry woman confronts them. But when their hatred turns into love and oneness they form a sister-brother relationship, willing to lay down their lives for each other. On the other side, there are two lovers – Ravi and Rita. Shekhar and Birsingh are also strangely related to Rita.",hi,https://image.tmdb.org/t/p/w500/2Lo9vKVgXtxA69CmR6AUqXvSurf.jpg,0,Hrishikesh Mukherjee,
Kissi Se Na Kehna,1983,35,"Kailashpati is a widower, and father of an only son, Ramesh. He feels that his son has come of age, and must get married. He goes to see a number of young ladies for him, but is disappointed with them, as he feels they are too modern, speak English, and listen to foreign music. He feels that Ramesh will be better off marrying a non-English speaking lady, preferably from a small village. But the predicament of Ramesh is that he is already in love with Ramola, a very well qualified, English speaking Doctor, and he knows fully well that she will not be approved by his dad. So Ramesh, Ramola and Lalaji concocts a plot, making Ramola masquerade as a naive, non-English speaking village belle, with hilarious and unpredictable results.",hi,https://image.tmdb.org/t/p/w500/zmSl3xudeqIKzgRvacQqkew8dHw.jpg,6.2,Hrishikesh Mukherjee,Sahyog Chitra
Hosa Theerpu,N/A,,"After a truck driver kills a farmer while driving in an inebriated state, the court orders him to look after the farmer's family. Soon, the driver realises that his punishment is worse than prison.",kn,https://image.tmdb.org/t/p/w500/l6SWFRG7jH05Z2P6Pks9Yrcd3pM.jpg,0,Shankar Nag,
Lalach,1983,,"Film starring Brahmachari, Chandrashekhar and Coca Cola",en,N/A,9.5,Shankar Nag,
"Mi Abuelo, Mi Perro y Yo",1983,18,Mexican feature film,es,https://image.tmdb.org/t/p/w500/8bfUHeQ0F0I5lMLd99mP1hXTKB4.jpg,5,Raúl Fernández,
Nodi Swamy Navirodu Heege,1983,"35, 18, 10751","Mysore facilitates the marriage between two lovers, Kallesh and Jaya. When differences between them threaten their relationship, he has to intervene yet again and bring them to their senses.",kn,https://image.tmdb.org/t/p/w500/9Lpy55PQLvozAxvDWWlu1ns1S00.jpg,7,Shankar Nag,"Gayathri Chitralaya, Sanket"
Aalaya Sikharam,1983,"10749, 10751","Seenu is the bread winner of his family. When his older brother Shekhar completes his education, the family hopes for better times. However, Seenu has to shoulder more responsibilities.",te,N/A,0,Kodi Ramakrishna,
Abhilasha,1983,53,"Abhilasha movie story was based on an unique point of removing section 302 from Indian penal Code, which sentences death. Struggling lawyer Chiranjeevi, lives with his roommate (allu aravind) and dreams of removing IPC section 302. Reason behind his determination was his father’s death sentence under 302, for adultery, which he didn’t commit.",te,https://image.tmdb.org/t/p/w500/Amh1LLopxYDmadsUujateSBijEL.jpg,8,A. Kodandarami Reddy,
