Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Hip Hop: A Tale from the Hood,2003,"99, 10402",A documentary about the two New York rap artists I.G. Off &amp; Hazadus and their struggle from street to studio to fame. Shot in the years 2000 and 2001,en,N/A,3.8,Harald Rumpf,
Druid Gladiator Clone,2003,"35, 14, 28","An evil Druid warlord resurrects a young man and transforms him into a wicked superhero. With the help of a nice young woman, the superhero eventually begins to question his diabolical beliefs. As if his hands weren't full enough with his study of good and evil, he also has to deal with the confusion caused by his clone, the beasts of The Druid Gladiator Match, and, of course, the scheming Druid warlord.",en,https://image.tmdb.org/t/p/w500/qz2MirUUbkfqj0lmUrJMeBXFfko.jpg,9.8,Matt Farley,"Shockmarathons, Motern Media, Centurion Productions"
"Jean Sénac, The Blacksmith of the Sun",2003,99,"By ending the life of Jean Senac on August 30, 1973 in Algiers, his assassins believed they would silence him forever. They were wrong since his voice is a little louder every day. Witnesses to these craze: the publication of the complete works of this great poet, the countless conferences and radio broadcasts devoted to him and finally the production of films such as ""Jean Sénac, the blacksmith of the sun"". The moving and overwhelming testimonies of those who knew him, the unpublished film archives, the generous voice of the poet on the radio, the discovery of his travels in the territories of poetry and politics make this film a precious document on the life of Jean Senac.",fr,https://image.tmdb.org/t/p/w500/kiawLpo8yHGZmRduuFnvbTbpILe.jpg,10,Ali Akika,"Les Productions de la Lanterne, CNC, Ministère de la culture"
Satyam,2003,,"Satyam is an unbelievably nice guy. Everybody likes him--except for the two people he loves most, his father and Ankita, the girl with whom he is in love with. Because he and his father don't get along, Sathyam leaves home and starts living with friends. A sensitive man and sensible writer, Satyam ghost-writes for a popular film lyricist. He wants to prove himself as lyricist before meeting Ankita, when he intends to express his love for her; except in the meanwhile, a flamboyant classmate of Ankita proposes to her.",te,https://image.tmdb.org/t/p/w500/vfZWf1MfAYYpoqugsRzYyustXcg.jpg,6.3,Surya Kiran,Annapurna Studios
"Ako, siya o ikaw",2003,18,,tl,N/A,2,N/A,
Bombaiyer Bombete,2003,"53, 80","Lalmohan Ganguly, alias Jatayu − a sidekick of Feluda − gets invited to Mumbai (previously Bombay) to watch the shooting of a film based on a novel written by him. Once in Mumbai, he, along with Feluda and Topshe gets embroiled with underworld kingpins. He seems to have transported the Nana Sahib's necklace. But fortunately because of Feluda the real thief is caught and convicted.  Although the original story was written in the 1970s, the movie is set in more recent times and depict the real problem of underworld involvement in Bollywood.",bn,https://image.tmdb.org/t/p/w500/3d7B5hHhzTKIUxRT1QfgzcjhAK5.jpg,7.3,Sandip Ray,
Ligaya… Katumbas ng Buhay,2003,"28, 18","Director: Baldo Marro  Writers: Baldo Marro (story), Evaristo Navao (screenplay)  Stars: Brando Legaspi, John Arcilla, Mike Magat, JC Castro, Rey Dann, Divina Valencia, Melissa Mendez, Angela Corteza, Lesly Bautista, Yvette Yzon, Bobet Fiel, Jean Pomelo, Rhey Roldan, Luv Gutierrez",en,https://image.tmdb.org/t/p/w500/jMjATFTa7fU6USHMmH42JLJ6uCp.jpg,2,Baldo Marro,
Das Ministerium für Staatssicherheit - Alltag einer Behörde,2002,99,,de,https://image.tmdb.org/t/p/w500/zGOF1xB5oXS98uPSryHAQg32Q3V.jpg,6,Christian Klemke,"MDR, Emotion Pictures"
The Voice of Iran: Mohammad Reza Shajarian - The Copenhagen Concert,2003,99,"A spotlight on the great classical singer Mohammad Reza Shajarian whose music reaches 800 years back into Persian history. Between songs, Shajarian talks about his inspiration, explains the meaning of the songs and discusses the poets behind them.",fa,https://image.tmdb.org/t/p/w500/9Qo2jdEKnTlfGG44E3DyK4pOo0k.jpg,0,N/A,
The Glamorous Life of Sachiko Hanai,2003,"14, 18, 35","Sachiko Hanai is a call girl. One day she is caught up in a gunfight and is shot in the forehead. Instead of killing her, the bullet in her head gives her psychic powers. She also accidentally comes into possession of a cylinder containing George W. Bush's finger, whose fingerprint is designed to launch a nuclear missile, and international spies are soon chasing her.",ja,https://image.tmdb.org/t/p/w500/liSPCTNMLwPYyYOe40HDtAnx8JZ.jpg,5.3,Mitsuru Meike,
