Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Comic Dreams of '97,1994,,"Opens with the lovely Pin dreaming about great sex with a bloke whom she soon meets in real life – he’s a security guard at her apartment block. There’s also a group of voyeur cops and their captain Fatty Pang who is always losing on the racehorses. Fatty spies on Pin in the shower one day and steals her red underwear. Pin keeps having lustful fantasies and sometimes has sex with her crosseyed sugar daddy Chiu, but burglars break in, and they are stuck in the bath. Just about all the characters take turns at fantasizing, and it’s a great multinational mix. The Can-Can, the Baby Elephant Walk, Cowboys, the Tango. There’s a sex-mad foreign (British) couple who shamelessly overact, who provide much of the sex action, whereas Pin provides the bulk of the nudity (and she is just gorgeous).",cn,https://image.tmdb.org/t/p/w500/hNLFSyctY0Y4RFl2flUargTukwU.jpg,0,Dan Pan,Rising Dragon Video and Film Productions
The Deadly Island,1994,"28, 53",A group of triad arms smugglers led by Chung get more than they bargained for when they do business on Man-eating Island.,cn,https://image.tmdb.org/t/p/w500/zFyCqcvUuxPI0zKRG0e6ny1QkSk.jpg,0,Ching-Hing Chan,
The Deadly Warrant,1994,28,"Escaped convicts from the Mainland bound for Taiwan collide with the Taiwan police in a murderous shootout. An explosive, action-packed underworld thriller that indeed proves deadly.",zh,https://image.tmdb.org/t/p/w500/4ldusj3AudsL6uDfnoZ69AYAevw.jpg,0,Dick Wei,
Deep Scratch,1995,"53, 18","An old friendship turns to rivalry, hatred and murder as one artist tries to imitate and then usurp the work of another and eventually trying to steal her husband, home, and life.",ko,https://image.tmdb.org/t/p/w500/49A7O8pk8oVfNLDmfkdSDunCpkn.jpg,6,Kim Sung-hong,Seong Yeon Entertainment
The Dragon Gate,1994,"14, 12","Enter The Dragon Gate and prepare for a pulse pounding journey into the nether regions of the mind and soul. When his girlfriend is kidnapped, a sword wielding warrior, Ken, willingly thrusts himself into an alternate dimension to rescue her. The action is fast and furious as our hero battles legions of blood-thirsty assassins. Seduced by an evil temptress, redeemed by the Sword Goddess of the lake. Ken can escape only if he can answer the riddle of 23 questions!",en,https://image.tmdb.org/t/p/w500/2VwW8xkzZST8v8n5kQYPqRvP7bP.jpg,4,Mike Marvin,Myogaku Productions Inc.
Hero Interview,1994,,"Kasumi Sawaki (Honami Suzuki) works for a top-ranked newspaper publishing company as a capable economic reporter. Speaking six languages fluently, she vigorously performs research and interviews. Her fiance, Ishii (Shingo Tsurumi) is an elite in the same company. Although her work and love seem to go very well, she is suddenly relegated to the minor Sports Department which is full of strange colleagues.",ja,https://image.tmdb.org/t/p/w500/oO9DjVta9H9NB4Kfxi7uud8GGk7.jpg,0,Michio Mitsuno,"Horipro, Fuji Television Network"
Ie Naki Ko,1994,18,"""Don't pity me, just give me money."" A smart little girl, Suzu, for the sake of her beloved sick mother, has no choice but to attempt all ways to fork up the money required for the operation. It includes stealing, cheating and almost anything that could yield cash. However, deep within her is a sadness unseen by many.",ja,https://image.tmdb.org/t/p/w500/xpOTcyHgVJjcxqwRQgudguggjdK.jpg,6,Hidenobu Hosono,Nippon Television Network Corporation
Beyond the Copline,1994,"28, 80","A Hong Kong policewoman, Carmen, returns from England and goes undercover as a dancing girl to infiltrate a ruthless criminal group led by the mean-spirited Ma Liang and his fiery new recruit, Chiang. As she gains Chiang's trust, risking her life in intense hand-to-hand combat, he begins to suspect her true motives after a series of botched crimes.",cn,https://image.tmdb.org/t/p/w500/zp6OwckI4y8BN6ZoGCLiQRMuBHA.jpg,2,Alan Chan Kwok-Kuen,
Mirror,1994,"36, 18","Depicts Romania during World War II, focusing on the Royal Coup that toppled Ion Antonescu, the Axis-allied Conducător and authoritarian Prime Minister. Focused around the August 23rd 1944 coup against Marshal Antonescu, the movie also tackles other topics from the same era such as the Iron Guard rebellion and the execution of political leaders by communists.",ro,https://image.tmdb.org/t/p/w500/9xDNKpWJ3DatwKCSX1F0v3SbITR.jpg,6.4,Sergiu Nicolaescu,Studioul Cinematografic București
Cutthroats,1994,,"The unhappy employees of a company that puts out a product called ""Cankers Away"" are made even more unhappy when the company is taken over by a dictatorial executive and his nasty assistant. Things get so bad that the employees are forced to plot an uprising against their new bosses.",en,N/A,0,Michael Legge,
