Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Far Harbor,1996,18,A group of seven young people spend a weekend in the home of a wealthy yuppie on Long Island and live out their problems.,en,https://image.tmdb.org/t/p/w500/iFPzx2t0h0wVfbdxdOBVW0YVZUX.jpg,4.1,John Huddles,Castle Hill Productions
Fargo,1996,"80, 18, 53","Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!",en,https://image.tmdb.org/t/p/w500/bOMoZnNe5B9XzQg5JFTZIy4gH3Y.jpg,7.859,Joel Coen,"PolyGram Filmed Entertainment, Working Title Films"
Fascinating Nature,1996,99,,de,https://image.tmdb.org/t/p/w500/7rV0agXsGGPVWMhnVqIjfTPECcE.jpg,6,Gogol Lobmayr,
Fatal Frames,1996,"27, 9648","Alex Ritt, a music video director comes to Italy to direct a video for pop sensation Stefania Stella. He soon encounters a mysterious killer who videotapes his victims for the police. As the horrible murders continue, Ritt is unknowingly pushed into the killer's games and he soon becomes a target of the police. The video-killer is on the loose and Ritt must find out the truth before it's too late.",en,https://image.tmdb.org/t/p/w500/nCCtBCgcRf6gfjV77Z1g35B1hFS.jpg,4.9,Al Festa,
Fear,1996,53,"Nicole Walker always dreamed of being swept away by someone special — someone strong, sexy and sensitive who would care for her more than anything else in the world. David is all that and more: a modern-day knight who charms and seduces her, body and soul. But her perfect boyfriend is not all he seems to be. His sweet facade masks a savage, dark side that will soon transform Nicole's dream into a nightmare.",en,https://image.tmdb.org/t/p/w500/mUVTKyDGKgpSF41PEsrrXDzBhSo.jpg,6.4,James Foley,"Universal Pictures, Imagine Entertainment"
Groovy Days,1996,35,"Henrik is young and in love and moves with his girlfriend Anne into a commune in the countryside. It is the dawn of the 70's, a time to challenge authority and experiment with relationships. Henrik is challenged too: His role as a man is exhibited and discussed, he has to learn how to sew, to sleep in the group bedroom, to share his inheritance with the commune and his beloved Anne with a lesbian.",da,https://image.tmdb.org/t/p/w500/iDrkmZTI9j5aYJnqgiH0WeFwk2G.jpg,5,Peter Bay,ASA Film Production
Feeling Minnesota,1996,"35, 18, 53, 80","Sam Clayton's marriage to ex-stripper Freddie comes about when she's strong-armed into the match by Red, a club proprietor who once did her a favor. But Freddie falls in love with Jjaks, Sam's brother, and the pair tries to escape the situation together. It isn't long before both Sam and Red catch up with them, resulting in threats against the two of them -- although tension also starts to build between Sam and Red.",en,https://image.tmdb.org/t/p/w500/fCJ5eUZw6mGS53spQxGUu7rzFm1.jpg,5.4,Steven Baigelman,"Fine Line Features, Jersey Films"
Feeling of Love,1996,"35, 10749",A business man (Tekeshi Kaneshiro) follows a woman (Athena Chu) who tells him not to follow him but he does anyway. Then he learns that the woman is his boss and step-sister.,cn,https://image.tmdb.org/t/p/w500/hVrTE2e74DE0aQ9ylJoQbRo6bpY.jpg,0,Kevin Chu,
Felix,1996,18,"This is a film about ordinary civilians, who on June 26, 1991, the day when war broke out in former Yugoslavia, find themselves in Slovenia. The main character of the story is an 11-year-old boy, Felix, who is trapped together with his classmates and teacher Jasna in an unmoving column of vehicles on a high mountain road, because of army barricades. The heroes of the story are involuntarily caught between the two enemy military groups. On this day in June, many others find themselves on this road together with the pupils on their school bus - people from various European countries who are traveling south: Frenchmen, Italians, Hungarians, Germans, and, of course, Slovenians; a blend of different professions, nationalities and religions. All of them are individuals who, on a warm summer day, suddenly find themselves in the midst of war.",sl,https://image.tmdb.org/t/p/w500/2y1nXzUGbt5LHbMV2CHZbCgK4q3.jpg,0,Božo Šprajc,"Oko Film Kranj, Vardar Film"
Female Perversions,1997,"18, 10749","Eve Stephens, a beautiful and sexy high-powered attorney, is up for appointment as a judge. But below her veneer of self-confidence lies a darker side, one in which she is driven by bizarre visions and sexual fantasies. After a series of events, including rescuing her sister Madelyn after her arrest for shoplifting, being rejected by her lover John during a surprise visit, and finally, meeting with the Governor regarding her judicial appointment, Eve comes unraveled. In a stunning and climactic conclusion, Eve is forced to confront her fears and, more importantly, herself.",en,https://image.tmdb.org/t/p/w500/5vqRaOZBqBL1YXukRv6zI6Y4pxC.jpg,5.1,Susan Streitfeld,"Trans Atlantic Entertainment, Kinowelt Filmproduktion, Degeto Film"
Femalien,1996,"10749, 878","In the pursuit of perfection, an alien civilization has evolved to become beings of pure light energy, unbound by the limitations of the mortal body. But they have lost something precious along the way: the ability to experience physical pleasure. They send a representative to Earth to record human sensory experiences. Taking the form of the perfect human female, ""Kara"" uses her powers to unlock the secrets of sensuality so long forgotten on her world.",en,https://image.tmdb.org/t/p/w500/d6iAbFxuWA0eGOV3QssmVwojabM.jpg,5.2,Cybil Richards,Surrender Cinema
