Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Talk of the Town,1995,35,"Comedy about a woman who hosts a radio talk-show who turns thirty and worries about not having a husband. With the help of her gay brother, she places an personal advert in the local paper and meets a charming dentist. Unfortunately, she finds out he is married, and her brother also falls for him.",de,https://image.tmdb.org/t/p/w500/hlepk63oJDNcjDLJ9NzHnatnuZB.jpg,6.364,Rainer Kaufmann,ZDF
A Drop in the Ocean,1996,18,"Explores gender equality and how it affects relationships and love in the 1990s. Plot concerns Anna, an actress who is performing in a play about a woman artist who had to dress as a man order to attend lectures forbidden to women, and her brief affair with Andreas, a drop-out working as a bar waiter.",el,https://image.tmdb.org/t/p/w500/irNbjX2dnJtTjwAG4FLPKVzDKxl.jpg,2,Eleni Alexandrakis,"Greek Film Centre, Stefi Films, Kabel"
Stannar du så springer jag,1995,35,"A woman in her mid-Forties longs for a settled life and a man to share it with. Having ejected her current lover, she is forced to restrict her choice of partner to those with skills in building or carpentry so she can renovate the tumbledown house she inherited. To find such a dream match, she resorts to a dating agency but her carefully laid plans soon flounder when she finds herself falling in love.",sv,https://image.tmdb.org/t/p/w500/9UfjOBt52X7uPXs8NPrObEtGTeF.jpg,0,Gunila Ambjörnsson,"Migma Film, SVT, FilmTeknik"
Terminal Voyage,1994,878,"It is 2035 A.D. and the final countdown has begun for a voyage that will reach across the vastness of outer space - to explore the nearest Earth-Like planet. An international crew has been placed in cryogenic suspended animation for the journey. But a century later, they awake to find that things have gone horribly wrong.",en,https://image.tmdb.org/t/p/w500/2oOwjJOrjKtef2ArrYkqQ7OJxta.jpg,3.7,Rick Jacobson,Saban Entertainment
The Stars Fell on Henrietta,1995,18,"The setting is early America during the oil boom. An elderly, down on his luck 'oil man', Mr. Cox finds himself in the town of Henrietta. Using unconventional methods, he convinces himself and local Don Day that there is oil on Day's land. The financially strapped Day puts everything into finding oil...but at what cost?",en,https://image.tmdb.org/t/p/w500/dQYD0WNRNZ5OBQ8iWRySIH8TEVd.jpg,6.1,James Keach,"Butcher's Run Films, Malpaso Productions, Warner Bros. Pictures"
Steal Big Steal Little,1995,"35, 18","Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So when Mona leaves her fortune and estate to Ruben it starts a battle between brothers that soon leads to madness, mayhem, and even attempted murder. On Ruben's side is Lou Perilli an ex-Chicago cop and used car dealer who knows the law - and how to get around it. On Robby's side is ruthless businessman Reed Tyler, who is out to turn a swift profit on Mona's property. Walking a shifty line between them is Eddie Agopian, the family lawyer, who doesn't care which side wins as long as he's on the winner's side. But whether they're stealing big or stealing little, they're all stealing in this hilarious comedy about greed, power... and brotherly love.",en,https://image.tmdb.org/t/p/w500/83TvBaWt8wZHUZo8MKwE2cLRBiT.jpg,4.3,Andrew Davis,"Savoy Pictures, Chicago Pacific Entertainment"
Stefanie's Gift,1996,"18, 53","Sweet, 12 year-old Stefanie, played by child model Soraya Da Mota, dreams of attacking her parents with a flail.",de,https://image.tmdb.org/t/p/w500/hjqmOhZyDkRbOBMSMmCHe5BGSB4.jpg,10,Mathieu Seiler,"Condor Films, Klusfilm Productions, Studio Bellerive"
Steinfeld - Beschreibung einer Landschaft (so als ob),1995,99,"A region south of Vienna. A walk through history: the Turkish wars, the witch burnings, the persecution of the Jews, the Second World War. The historical witnesses: cemetaries, industrial ruins, the monuments of the postwar restoration.",de,N/A,0,Wilhelm Gaube,Navigator Film
Stonewall,1995,"10749, 18, 35, 36",A group of gay friends try to live with dignity and self-respect while events build to the opening battle in the major gay rights movement.,en,https://image.tmdb.org/t/p/w500/pCkn7r7V9UFmtuREaKmaoI5OeeT.jpg,6,Nigel Finch,"BBC, Killer Films, BBC Arena"
"Big Men, Little Men",1995,18,Three young men have an interest they all burn for - jazz. But in the 1930's northern Sweden not many people like the new form of music. So when the three guys get a chance to make a journey to New York they take it.,sv,N/A,4,Åke Sandgren,"Svenska Filminstitutet, SF Studios, Nordisk Film & TV Fond, TV4"
Olga O's Strange Story,1995,"18, 27, 9648","When Olga Roli returns to her birthplace after a nervous breakdown, it quickly becomes much worse for her. Anonymous, threatening phone calls to deal with her as Olga O, her stage name from her time working in a local strip club, soon followed by a near miss with a murderous motorcyclist.",it,https://image.tmdb.org/t/p/w500/dgAQtW02rEmPcvsNpLvjTtvt3lh.jpg,4.7,Antonio Bonifacio,"Real Film S.r.l., Roma"
Stormswept,1995,27,"On a stormy night in Louisiana, six people are haunted by the spirit of a demented slave master with an insatiable erotic appetite, as they stay trapped inside a haunted mansion by a thunderstorm..",en,https://image.tmdb.org/t/p/w500/mFZgryyASr0XN2CZlRt6yq6SnBF.jpg,3.8,David I. Frazer,
Legendary Couple,1995,"28, 80","When an honest company employee is falsely accused of being an accomplice to a robbery, and his wife dies through police incompetence, he seeks revenge by launching a one-man crime spree, starting with the abduction of his former boss's spoiled daughter. But she soon begins to understand his motives, and becomes his lover and willing accomplice.",cn,https://image.tmdb.org/t/p/w500/hdSnWvFZt1aKyizc5ojBJ16IEhH.jpg,6.3,Peter Ngor Chi-Kwan,"Nam Yin Production Co., Ltd., Mandarin Films Ltd."
