Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Winter,1998,99,"""It advances in the magic of a sky of snow to meet an Auvergne phantasmagoria, or rode still the cruel beast.""",en,N/A,0,Michèle Gard,
Bad Times,1998,18,"Four independent short stories but they have in common that they happen in Buenos Aires during legislative elections. A candidate for deputy, Carlos Celestini floods the city with his image and can be seen in each of the stories.",es,https://image.tmdb.org/t/p/w500/eNnV8g9YwbmY8C0OHOHrCrtllHc.jpg,6.5,Nicolás Saad,Universidad del Cine
A Mother's Love,1998,"18, 10751","In this Iranian film, social worker Mina (Fateme Motamed-Aria) tells the reformatory head they should offer genuine emotional feedback to their charges, but she withdraws when the reality of such idealistic proposals becomes evident. Young Medhi (Hussein Soleimani) is troubled after the death of his mother. He views Mina as the mother he needs, but Mina is wary. Shown at the 1998 Fajr Film Festival.",fa,https://image.tmdb.org/t/p/w500/3TYpsfknRumoaEgCINv2x4te8tW.jpg,4.5,Kamal Tabrizi,
The Master Game,1998,99,"At the Vienna Art Academy in 1994, an unidentified person painted over 27 works by Austrian painter Arnulf Rainer. Rainer had become world-famous for his abstract art and, in particular, for his over-layering of photographs and overpainting of his own and other artists’ works. But who painted over the “overpainter”? Speculation rages: Did he attack his works himself? A year later, an unsigned letter surfaces claiming responsibility for the act directed against Rainer – and modern art in general – and accusing the artist of being complicit with “destructive modernism.” At the same time, Austria is shaken by a series of mail bombs by the Bajuwarian Liberation Army, in response to the supposed threat to Austria’s “German identity.” Are there connections between the overpainting event and the mail bombs? Or is this all just a game? A dream? Or perhaps a hallucination?",en,https://image.tmdb.org/t/p/w500/tScmcTTUsbPju6v7gTcosXQrgcX.jpg,6.3,Lutz Dammbeck,Lutz Dammbeck Filmproduktion
Nothing,1998,18,"A mother of three is afraid of losing her husband if he finds out she's pregnant again, so she tries to conceal it.",pl,https://image.tmdb.org/t/p/w500/tEP4oogS2dj2oqfshUN9KjlhQEp.jpg,7,Dorota Kędzierzawska,Kid Film
Flight of the Bee,1998,18,"A simple fable about a teacher's quest for justice. The teacher's neighbor not only ogles his wife, but builds an outdoor toilet right beside the teacher's house. When he is refused any legal recourse, the teacher decides to get revenge by building a latrine for the entire village outside his neighbor's house.",tg,https://image.tmdb.org/t/p/w500/4hOJVMlNcgbINQAk75z34uVLR0i.jpg,6.2,Jamshed Usmonov,"Jamshed Usmonov, MIN Byung-hun Film"
A Place Called Truth,1998,18,"Love, pride and jealousy are aroused when a ranch owner's daughter, called Lizzie, has an affair with a cowboy. Meanwhile a mysterious woman seduces the various lovers of Lizzie, who has fled to New Orleans to escape her arranged marriage.",en,https://image.tmdb.org/t/p/w500/rzycymXhY4Eqd0ayMGLpQDb0hcW.jpg,3,Rafael Eisenman,"The Zalman King Company, Playboy Entertainment Group"
Pure fiction,1998,"80, 53, 18",Film based on the infamous 'Marc Dutroux' case that shook Belgium to its core.,fr,https://image.tmdb.org/t/p/w500/neUvAUQqaniAbBn3GlD1TfsU5Av.jpg,0,Marian Handwerker,
In Heaven As It Is on Earth,1998,35,"Russian woman is robbed after crossing Polish border and has to wait until the local policemen catch the thieves. The priest, who is the main authority in the town, orders that she stays at organist's house.",pl,https://image.tmdb.org/t/p/w500/7GH8G7fP8zs1TbPzYNZ6RmXvJic.jpg,6.2,Jacek Bromski,"TVP, Zespół Filmowy ""Oko"", Komitet Kinematografii"
A Time To Dance: The Life and Work of Norma Canner,1998,99,"This intimate, uncannily moving documentary profiles Norma Canner, a pioneer in dance movement therapy, who found in dance a way to help people who had been discarded by society. The film traces the evolution of Norma's career from Broadway actress in the '40s, through her ground-breaking work in creative movement with disabled and mentally retarded children in the '60s, to her present work as a dance therapist with adults. Utilizing drawing, music, theater, and dance in the context of other modes of therapy, her work has proved extraordinarily beneficial for handicapped individuals, as well as providing cathartic healing experiences for those with deep emotional scars; And her work with children who were blind, deaf, or autistic has became a model.",en,N/A,0,Webb Wilcoxen,"Bushy Theater, Inc."
