Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Girl in a Boot,1985,,An East Berlin woman falls in love with a Swiss cook.,de,https://image.tmdb.org/t/p/w500/fTcPB7tIsrjf8hnZI6wGFXTCSLi.jpg,0,Herbert Ballmann,
The Beginner,1985,35,Movie fan Mike has invented a machine with which he is able to take part in every movie which is currently running on his video tape recorder. But he and his friend Tommy are watched while trying out this new device and soon two electronic companies are on their trail to discover the secret of this invention.,de,https://image.tmdb.org/t/p/w500/viA1kgpnthIbyEOo9ysgP4iEN02.jpg,5.31,Sigi Rothemund,"K.S. Film, Lisa Film, Roxy Film"
The Chosen One,1985,53,Federico is a cashier in a bank. He is bored with his life. But one day a body falls on his car. The suspected suicide victim is collected by a group of men that disappear in a car. Federico's life is about to change completely.,es,https://image.tmdb.org/t/p/w500/8igp2sNz4XUr9NmTTFLAvK01YUx.jpg,5.8,Fernando Huertas,
Eleni,1985,"18, 36",Nick is a writer in New York when he gets posted to a bureau in Greece. He has waited 30 years for this. He wants to know why his mother was killed in the civil war years earlier. In a parallel plot line we see Nick as a young boy and his family as they struggle to survive in the occupied Greek hillside. The plot lines converge as Nick's investigations bring him closer to the answers.,en,https://image.tmdb.org/t/p/w500/qJRrZioiyjggFdB6TwrlkYutagk.jpg,6.2,Peter Yates,"Eleni Productions, CBS Theatrical Films, Warner Bros. Pictures"
Elise,1985,18,"In a sexual and romantic drama of intrigue, lies, and gossip, a young woman over a long period of time, has children by both men, her husband and lover before her deception begins to fall apart.  Elise (Ann-Mari Max Hansen) is an outgoing, happy woman married to Henry (Ole Ernst), the town doctor. Because of a mix-up one day, she finds herself first compromised and then romantically involved with William (Henning Jensen), a captain of the Dragoons. Her story is told from the viewpoint of the town vicar, who may not be such an innocent bystander as he first seems. Eventually, gossip begins to run rampant, and Elise's life heads for a radical change.",da,https://image.tmdb.org/t/p/w500/6zLzdhO5IMfk9K8m2TdHacXjckC.jpg,2.5,Claus Ploug,Palle Fogtdal A/S
She Spent So Many Hours Under the Sun Lamps,1985,"10749, 18","A young film director is turning a movie with his friend Christa. In the film-within-the-film there are two couples, one real, one imagined , and the film - told through five dreams - is as much the story of a film on-production, as the birth of a child.",fr,https://image.tmdb.org/t/p/w500/hUlxkaFgnkynnHNo87jGm7eXuaf.jpg,7.4,Philippe Garrel,G.I.E.
"Elsa, Elsa",1985,,"When he was eight years old, Ferdinand was chosen to play a supporting role along a famous actress. Today, a producer is asking him to write and direct a film about his childhood memories...",fr,https://image.tmdb.org/t/p/w500/9Qo4IJUY4W7v8pg6KLRr8hGw91s.jpg,5,Didier Haudepin,"Bloody Mary Productions, Films A2"
Elvis Gratton,1985,35,A Québécois Elvis impersonator is disillusioned to find a Chinaman participating in an Elvis contest. He later takes his wife on vacation to the island of Santa Banana.,fr,https://image.tmdb.org/t/p/w500/tImszlZ0jEeIWuj9y9qt0VeWiT2.jpg,6.3,Pierre Falardeau,
The Emerald Forest,1985,"28, 12, 18","For ten years, engineer Bill Markham has searched tirelessly for his son Tommy who disappeared from the edge of the Brazilian rainforest. Miraculously, he finds the boy living among the reclusive Amazon tribe who adopted him. And that's when Bill's adventure truly begins. For his son is now a grown tribesman who moves skillfully through this beautiful-but-dangerous terrain, fearful only of those who would exploit it. And as Bill attempts to ""rescue"" him from the savagery of the untamed jungle, Tommy challenges Bill's idea of true civilization and his notions about who needs rescuing.",en,https://image.tmdb.org/t/p/w500/fdRlqPnPFaPyQqS3KiBLJwWQPBe.jpg,6.6,John Boorman,"Christel Films, Embassy Pictures"
The Empty Beach,1985,53,"Before shady businessman John Singer disappeared off Bondi Beach, his name meant money--big and small, clean and dirty--a man absorbed in a world of greed and dishonesty. Singer's widow, Marlon, believes he's still alive and she employs the investigative skills of the tough, no-nonsense private eye, Cliff Hardy (Bryan Brown) to find him. Battered and bruised, Hardy battles through the filth of corruption and the stench of political blackmail. He comes face to face with the crime bosses, who feed off human misery and eliminate their rivals without thinking twice. From the high life and low life of Sydney, to the seediness and splendour of Bondi Beach, Cliff Hardy uncovers the ultimate truth.",en,https://image.tmdb.org/t/p/w500/qqFl6HL6XiGhiOuGUthWLhd5LJi.jpg,3.2,Chris Thomson,
