Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Susanna,2000,18,"Susanna, a sex worker, earns money by being with five different men at the same time. Fortunately, the people around her do not judge her actions and find solace in her presence.",ml,https://image.tmdb.org/t/p/w500/muike0315XMirztb7QZIxNpOrT6.jpg,0,T. V. Chandran,
The Kiss Of Debt,2000,35,"Tino Mariano, an aspiring opera singer indebted to a Mob boss. Money is no object, but when you are in debt there's no turning back.",en,https://image.tmdb.org/t/p/w500/q2IPzDrEc3VDbd4l8tZwTUPokmI.jpg,0,Derek Diorio,Distinct Features
Boda de muertos,2000,,,es,N/A,4,N/A,
El Carretonero,2000,28,,es,https://image.tmdb.org/t/p/w500/j43gTb3kh6B7Kt9LLC8BL6vRSX9.jpg,5,Manuel Ramírez,
Catarino y los rurales,2000,,,es,https://image.tmdb.org/t/p/w500/3ROAWZuAyTE46QSdZ8fiRNp2aL8.jpg,4.3,José Medina,
Cholos empericados,2000,"12, 28","A drug cartel tries to take control of Tijuana, but drug lord Esparza, who has been running the drug business in this area for decades, will not give up so easily.",es,https://image.tmdb.org/t/p/w500/b7Rvxoq6eIdrXuw0TudZstut3wo.jpg,6.2,Aurora Martínez,Diamante Films
El dormilón,2000,,,es,https://image.tmdb.org/t/p/w500/5mdTaaXHgDIryCvHNvgjohwNCoh.jpg,5,N/A,
Infierno en la sierra,2000,,,es,https://image.tmdb.org/t/p/w500/9AdOnNa4budT32pJamFz1dektwX.jpg,5,N/A,
La ley de guerrero,2000,,,es,N/A,5,N/A,
Ley fuga,2000,,,es,N/A,5,N/A,
El regreso de Camelia la Chicana,2000,,,es,N/A,5,Aurora Martínez,
So What Is This Love?,2000,,"Reprise of the play of the same name staged by Carlo di Maio, loosely based on Thomas Migge's investigative book ""Can Love Ever Be Sin?"". It stages the confessions of some homosexual priests, their suffering and difficulty in living a ""double"" diversity.",it,https://image.tmdb.org/t/p/w500/meeCx8RFuKCTCtSWVa8GRifrXwZ.jpg,0,Giovanni Minerba,
Fais-moi rêver,2004,35,"Alice loves those who make her dream. Saleswoman in a video shop where she is bored, she longs for another life. Fortunately, she meets the beautiful Mickey whom she falls in love with. Mickey disappears and leaves Alice without news. Separation acts as a revelation. Finally they meet again. Alice decides to tackle everything and go on an adventure with him.",fr,https://image.tmdb.org/t/p/w500/cvsS149OHZAXouKcvRpcruBNTDM.jpg,0,Jacky Katu,
Papa the Great,2000,10751,"Bobby is a young lad, who lives with his Engineer dad, Jai Prakash, and mom, Pooja. Bobby always brags to everyone as to how brave and macho his dad is. But only Jai knows that he is quite the opposite - mousy, submissive, and afraid of any confrontation. To make matters worse, Jai falls in the bad books of local gangster Villain Kaka, who is out to crush him, as he had crushed a police inspector. Jai is all for running away to Delhi or as far as he can possibly get from Kaka. Before he could do anything, their lives are turned upside down by the appearance of a gangster named Biharilal - who forcibly invites himself in Jai's house - and refuses to go away. Watch how Jai, Bobby, and Pooja deal with this new threat.",hi,https://image.tmdb.org/t/p/w500/rWjCGC2jXhdGlbUnvpxqwkQKO0Z.jpg,6,K. Bhagyaraj,
80 kilos suicidas,2000,,,es,N/A,5,N/A,
Nuba: Pure People,2000,99,"The Nuba people, ninety-nine black African tribes in the Nuba Mountains in the Sudanese province of South Kordofan, have been under siege by the Sudanese army for fifteen years. The genocide against the Nuba, is completely ignored by global politics.",sl,https://image.tmdb.org/t/p/w500/i5HVtXXtuhmtetJtHhCuPIC1UHH.jpg,0,Tomo Križnar,"Bela Film, RTV Slovenija"
Caceria del chivo,2000,,Mexican feature film,en,N/A,5,N/A,
The Christmas Miracle,2000,"10749, 18","During Christmas, in the winter sky are shining magic stars and miracles happen. The story of a talented man who had a gift and love.",ru,https://image.tmdb.org/t/p/w500/p7yu03MqT4zPXyOPonDtkCg88f9.jpg,8,Andrey Kravchuk,"Lenfilm, Russia-1"
Musisz żyć,2000,18,,pl,https://image.tmdb.org/t/p/w500/xCDCoun4XYVUD03p5WgC0AnOP7W.jpg,5,Konrad Szołajski,TVP
Shinsengumi,2000,"28, 16","Produced for Fuji TV in 2000, the film reinterprets the story of a special samurai force - the Shinsengumi - at the end of the Edo period.",ja,https://image.tmdb.org/t/p/w500/vYwQJK8nikoeEpPDiW3DEp1PC7m.jpg,0,Kon Ichikawa,
Anjaane,2000,18,"Aditya and Shivani are a married couple who have spent the last few years living together. They share two beautiful children together and everything is going seemingly well until a new young lady introduces herself into Aditya's life. He is so head over heels in love with this new young lady that he decides to start a new life with her. Against his better judgment, Aditya leaves Shivani and his two children behind in order to pursue a new life with this lady. The two are very close until something from within their relationship causes a massive breakdown in communication.",hi,N/A,0,Ravi Rai,
Roaring Wheels,2000,28,"In the underground world of motorbike racing, Wong (Wang) and Fung (Chan) are the two top drivers. Wong is number one and Fung is eaten up with jealousy. Fung, furious at always being second-best challenges him to a last race - and against his better judgement Wong goes for it! Disaster ensues - a terrible accident leaving him crippled, coupled with the death of his girlfriend. Three years later, he is a single father, raising his son in the obscurity of a seaside resort. This tranquil existence is intruded upon by Fung besotted with proving himself to be the best and a mystery girl, Suki (Mok), who seems to be in love with Wong. Fung blackmails Wong into another race. Wong now must face his past, his loss of nerve and his future.",cn,https://image.tmdb.org/t/p/w500/poxA6ZedJXcfRasgEwa8wWTJyo9.jpg,8,Aman Chang,
