Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Be-Bop Highschool: The Power,1988,"28, 35","A heated argument between middle school thugs leads to a fierce war between two rival high schools when Toru's girlfriend, Shoko, gets involved.",ja,https://image.tmdb.org/t/p/w500/fFBS8A55A69yWYUn1qmwXJEibEx.jpg,0,Hiroyuki Nasu,
Be-Bop Highschool Pt. 5,1988,"28, 35","With thugs under gang leader Shingo attempting to make a name for themselves, Toru and crew must brace for an all-out war between their two schools.",ja,https://image.tmdb.org/t/p/w500/iMzCdJaQtMOjCkvsVzxdiAYeGeM.jpg,0,Hiroyuki Nasu,
The Defender,1989,99,"This documentary is about Bob Diemert of Carman, Manitoba, and his dream of building the world's next great fighter plane. His worldwide reputation as a genius at restoring ""warbirds"" enables him to finance his dream. The Defender is a lively, sometimes wild and funny, tale about a remarkable, modern-day folk hero.",en,https://image.tmdb.org/t/p/w500/XbW8cMwTMPhE3mVZnJ9hjJH81l.jpg,0,Stephen Low,ONF | NFB
Door,1988,"27, 9648, 53","Yasuko, a housewife, lives in an urban high-rise apartment with her husband Satoru and her son Takuto.  Annoyed by spam calls and door-to-door salesmen, Yasuko slams the door on a salesman’s hand when he tries to squeeze a flyer through the apartment's chained front door. He leaves, but the next day, her nightmare starts.",ja,https://image.tmdb.org/t/p/w500/mffMDHMhZ4zw25vAjtRJShlnfGR.jpg,6.4,Banmei Takahashi,"Directors Company, Agent 21"
Dogra Magra,1988,"27, 9648, 14","A young man kills his bride on the day of his marriage and goes insane. He wakes up in an asylum with no memory, left in the hands of two mysterious doctors who relate his condition with his biological identity.",ja,https://image.tmdb.org/t/p/w500/vHBtUWex5sECQDx7n5wyJFdAzaa.jpg,6.9,Toshio Matsumoto,"Katsujindo Cinema, Toshykanky Kaihatsu AG"
Holding Our Ground,1988,99,"Filmed in a squatter community of Labangon in Cebu, Philippines, Holding Our Ground is the inspiring story of a group of women who have organized collectively to pressure their government for land reform, to establish their own money-lending system and to create shelters for street kids. A story of grassroots organizing that can be a model in both hemispheres.",en,https://image.tmdb.org/t/p/w500/t3Q6hMIfoAmVc8uHLYdpsBFpNfU.jpg,0,Anne Henderson,ONF | NFB
The Old Believers,1988,,"This extraordinary film introduces us to the Reutov family, part of an isolated northern Alberta community called the Old Believers. Adhering to the original Orthodox Christian dogma and rituals introduced to ancient Rus (present-day Ukraine, Byelorussia and Russia) by the Greeks of Byzantium, the Old Believers see themselves as the last Christians left on the face of the Earth. Here in North America, for the first time in their history, they are threatened not by persecution, but by economic bounty and the western notion of personal freedom. Shot over the four seasons, the film is both a beautiful rendering of timeless rituals and a fascinating exploration of the Old Believers' turbulent history.",en,https://image.tmdb.org/t/p/w500/nLui6lkHLmj6hZJPrl6wLCFJKJu.jpg,0,John Paskievich,
But I'm Still the King,1988,"18, 10402",Fictionalized biography of singer/songwriter Jose Alfredo Jimenez.,es,https://image.tmdb.org/t/p/w500/pSRUELzkBx8Cj7ZJGTZZWXQuWLS.jpg,6.1,René Cardona Jr.,
Angel Guts: Red Vertigo,1988,"18, 27, 53","Nami is a nurse and the unwilling object of her patients' lust. When she is hit by a car whilst fleeing from the home of her unfaithful boyfriend, the driver of the car takes her as a sexual prisoner.",ja,https://image.tmdb.org/t/p/w500/fJpa8GEROAaSqrEETqpxSZDATKN.jpg,6.1,Takashi Ishii,Nikkatsu Corporation
Coeur de nylon,1988,18,"A bum named Richard (Yves Desgagnés) is like many others, apart he always carries a red suitcase with him everywhere he goes, from which a curled wire is attached to his chest. This is very intriguing to young runaway Christian (Guillaume Lemay-Thivierge), who finds refuge at Christian's place.",fr,N/A,0,Michel Poulette,Téléfilm Canada
Central camionera,1988,,,es,https://image.tmdb.org/t/p/w500/i9vLQMjVOjBnFB1iVwEMUvFKfOH.jpg,3.6,Miguel M. Delgado,Producciones Tollocán
Edge of Ice,1986,99,"This feature documentary highlights the nature of Arctic sea ice, and its crucial importance to life in the Far North. Underwater photography presents rare views of some of the most spectacular wildlife, with micro- and macro-photography enhancing the world within the individual ice crystals. Footage from Inuit hunting camps at the floe’s edge illuminate the relationship between the Arctic people and their intricate ecosystem.",en,https://image.tmdb.org/t/p/w500/72QzZINOBF510nOUI6rydLyAYmv.jpg,0,William Hansen,ONF | NFB
La lumière du lac,1988,18,An urban gigolo on the run from a mobster hides out at the remote cabin of a female novelist in this plodding romantic drama. Her neighbors include an elderly man with a penchant for growing sunflowers and an unhappy neighbor girl with emotional problems. Love blossoms for the unlikely couple who somehow realize their liaison is doomed to failure.,fr,https://image.tmdb.org/t/p/w500/zxsqkY8xAqyZ8ewPzNG1eOsKnM0.jpg,0,Francesca Comencini,"Erato Films, Canal+"
Mamá querida,1988,,,es,https://image.tmdb.org/t/p/w500/soO0gfPm4TFahh6ciDeFbKdFtvM.jpg,0,Silvio Fischbein,
The Myths of Mental Illness,N/A,,"Under mounting pressure at work and in his personal life, a successful journalist “burns out.” The Myths of Mental Illness tells the story of his breakdown and traces his battle to regain his life’s meaning. The film explores life-work balance, drug therapy and psychotherapy.",en,N/A,0,Pierre Lasry,
