Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
En afgrund af frihed,1989,18,,da,https://image.tmdb.org/t/p/w500/mnA5VMe2txSJjK62VfSRP82SnkH.jpg,0,Peter Eszterhás,Regner Grasten Film
Maria and the Sea,1988,18,The wife of a sea captain has a tough time being alone without her husband which is in a long trip.,ro,N/A,6.3,Mircea Mureșan,Casa de Filme 5
"The Feasts of Valtasar, or The Night with Stalin",1989,18,"A dance troupe from the autonomous region of Abkhazia in western Georgia perform for Stalin, Lavrentiy Beria, Abkhaz leader Nestor Lakoba, and other high-ranking party officials in the Black Sea coastal town of Gagra.",ru,https://image.tmdb.org/t/p/w500/gOttq1B1go4U5gCjEXDLsN3IHsl.jpg,3.6,Yuriy Kara,Gorky Film Studios
The Sexaholic,1989,,"Group of sex-addicted people turn to a psychologist for help. In a group therapy, they discuss their problems. One of them has a penchant for sodomy. Another one likes quantity: three women at the same time.",en,https://image.tmdb.org/t/p/w500/tZkASv8dX07D88PeRanLQW6C1cD.jpg,0,Mark Novick,VCA Pictures
Sallys Bizniz,1989,18,"The neighbourhood is tough. New-built concrete towers, which are not yet completely finished but already slum. Daily police raids. Daily suicide jumps from the roofs.  Here lives Sally in a two-bedroom, with her parents and younger brother.  Sally is dreaming big. She wants to be a fighter pilot, and she wants to be rich! She has already started her own business, collecting empty bottles and bits and pieces of scraps.  And Sally don't care much for the immigrants in her area. She takes every opportunity to vent her inner racist.  Turkish Zuhal move in with his family. ""A new flock of Bedouins"" Sally condescendingly comments. But what she does not know is that this will be one of the major turning points in her life ...",da,https://image.tmdb.org/t/p/w500/mlwX7tIUsZ8vvvWhGJ6zUriZ1mL.jpg,3,Brita Wielopolska,"Det Danske Filmstudie, Obel Film"
Landscape with a Woman,1989,18,"A ranger whose passion is nude painting comes to work in a remote Bosnian village. He asks the local women to pose naked for him. They are shy at first, but they eventually agree to do so. This makes their husbands furious, who think that the ranger is sleeping with their wives.",sh,https://image.tmdb.org/t/p/w500/sApvdrWU3rqStXD3JIseCeVHgef.jpg,6,Ivica Matić,"Televizija Sarajevo, RTV Sarajevo"
Desire,1990,,"Sexuality in Germany from 1910 to 1945: beginning with back-to-nature mountain camps and schools that fused athleticism, same-sex intimacy, and nudity; the openly-gay bars during the Weimer Republic; and, Nazi suppression of male and female homosexuality. Historians discuss pedagogical Eros, Hirschfeld's theories and his institute of sexual science, and the Nazi's Paragraph 175, which outlawed homosexual behavior. Survivors describe intimidation and interrogation, the flight of friends, Himmler's edicts, and the confinement and death in concentration camps of gay men and women. The documentary ends at Amsterdam's monument to gay victims of the Holocaust.",en,https://image.tmdb.org/t/p/w500/iurb3bLQATYpvbWBFfYZRAQXkTm.jpg,4.7,Stuart Marshall,
The Littlest Viking,1989,,"Sigurd Drakedreper is a film about Sigurd growing up in a time when conflicts are resolved with weapons. Sigurd is named after a great tale hero, Sigurd Fåvnesbane. It is expected that he will grow up and become a strong Viking, like all in his family. He will lead blood revenge on and avenge the murder of his brother. Illugene, which enemies lurks somewhere out there in the dark! Based on the book by Torill Thorstad Hauger.",no,https://image.tmdb.org/t/p/w500/zL9tHKhSOCigG5KINqUnSTwNPry.jpg,5,Knut W. Jorfald,
Trained To Kill,1989,28,"From the fields of Cambodia to the mean streets of L.A., there's no escaping death and it's blinding revenge.",en,https://image.tmdb.org/t/p/w500/6sGSCILj5JuqhQB6P0s7BULTA85.jpg,8.8,H. Kaye Dyal,"Overseas FilmGroup, Starvision Inc"
Viva Villaveien!,1989,35,"Viva Villa Road deals with a handful of neighbors who completely unaware manages to go to Gran Canaria at the same time. For many, this would be a nice, but for Swedish Reidar Frank (Brass Brännström), pensioner Sigurd Vatne (Sverre Hansen) and crazy Alice Lindblad (Elsa Lystad) this is the worst thing that could have occurred. After countless neighborhood feuds they all had, by coincidence, decided to travel to the Canary Islands to escape the unwanted situation of Villa Road. Therefore, the disputes continue also in the holiday paradise of the other family members' great despair. This surprisingly leads to a lot of funny episodes that contain both problems with the travel company, absurd misunderstandings and intricate entanglement that eventually tie up to a pretty successful movie.",no,https://image.tmdb.org/t/p/w500/qe5Nzu3ttbJLmKqysx2auKD1sqE.jpg,4,Tor M. Tørstad,
