Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Khanna & Iyer,2007,,"Aryan and Nandini, two fellow collegians, fall in love and elope when their parents disapprove of their relationship. However, they land in trouble when they are abducted by Donga, a terrorist.",hi,https://image.tmdb.org/t/p/w500/gntZ1LM3P2XfjTgc6VEBSPHB15W.jpg,0,Hemant Hegde,
Bitter Sweetheart,2007,"35, 18","Bitter Sweetheart is the naked truth about Lina Berglund, a perfectly normal 15-year-old who tries to start living like her friends, who seem to have so much fun.",sv,https://image.tmdb.org/t/p/w500/3JQtSKPTNywrNwJMaWdzWfAccHc.jpg,4.2,Hella Joof,"SF Studios, Fine & Mellow Productions, Film i Väst, CineStar Rental, Nordisk Film Denmark"
Meer is nich,2007,18,,de,https://image.tmdb.org/t/p/w500/ypYKpdafn7DgaFo1B35d9XITnjJ.jpg,7,Hagen Keller,
Mi fido di te,2007,35,Two different men living in Milan lose their job at the same time. They will become a funny couple of thieves thanks to the poorest of them that was already a thief.,it,https://image.tmdb.org/t/p/w500/kf680Nax0ZfvmgkeTBIl8LXZjUH.jpg,6.6,Massimo Venier,
Final Draft,2007,"27, 53","A screenwriter suffering from writers block decides to lock himself in his apartment for 18 days in order to meet a career-making deadline. His script involves characters from his past, including a terrifying and disfigured clown. As cabin fever sets, he soon finds himself living in a world where what's real and what's fiction begin to cross lines with chilling and fatal consequences.",en,https://image.tmdb.org/t/p/w500/kW76Z1aYpO0cMAcCeIGflGUKYu5.jpg,3.6,Jonathan Dueck,235 Films
The Rat Thing,2007,35,"Two down and out friends living in Venice, California, struggle in social and economic deprivation. They reach the point where they can't go on. Escalating pressures force them to hatch a wild get-rich-quick scheme in a last ditch attempt to solve ""all of their problems"". The far-fetched scheme involves one of them being bitten by a rat in a major supermarket with the fantastical hopes of winning an outrageously huge settlement. What transpires is a perfect example of ""the best laid plans of mice and men"" where reality trumps delusion and, in one comic turn after another, depravity gives way to humanity.",en,https://image.tmdb.org/t/p/w500/nypmiK08Nuh194pe3nymsHQwDx1.jpg,0,N/A,
Road to Victory,2007,"18, 10749",A star athlete on the verge of turning pro must decide which dream to pursue while he battles his own body.,en,N/A,2,N/A,
Schiri im Abseits,2007,18,,de,N/A,0,Lutz Schebesta,
Staten Island,2007,35,NYC comedy with Mario Cantone,en,N/A,5,Aditya Chandora,
Strictly Background,2007,99,"For decades, film and television audiences have watched their favorite stars with little thought or concern for the people standing behind them. All of that is about to change as ""Strictly Background"" explores the charm and determination of some of Hollywood's hardest working actors, professional ""extras."" Turning industry convention on its head, this humorous &amp; heartfelt documentary follows ten background actors as they navigate their way on and off the set. Both a behind-the-scenes look at Hollywood and a character-driven film, ""Strictly Background"" is a dynamic exploration into the pursuit of stardom and the real life struggle to stand out. Written by Hunter Woo",en,https://image.tmdb.org/t/p/w500/5NAcZ5ZzYOyn7FWCFnAs1USRaGv.jpg,7,Jason Connell,
