Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Ultraman Zearth 2: Superhuman Big Battle - Light and Shadow,1997,"28, 12, 10751, 878","Not long after, Benzene’s wife, Lady Benzene arrived to try her luck. Sending her evil Ultraman Shadow to attack the hero, he was ambushed in Antarctica, easily being pummeled and being given a bloodshot eye. Finally, he was struck by the Shadolium Beam, which due to his fear, overwhelmed his own, knocking him out. The battle left Zearth emotionally crushed and unable to fight due to complete terror of Shadow. But, after receiving a message from his father, as well as a capsule monster named Miraclon, Zearth decided to train and become powerful enough to face the evil android.",ja,https://image.tmdb.org/t/p/w500/3rbiUpTnvsDt6ayJtWUj4Z9Pwuu.jpg,7,Kazuya Konaka,Tsuburaya Productions
02:00 A.M.,1997,27,"The sequel to ""1:00 A.M,"" bringing you another three ghostly stories. First, see what happens when a costumer uses the mask of a dead actress to design a new wig. Second, witness three actresses' curiosity-gone-bad when they discover that their agent is messing around with the spirit of a deceased woman. And third, watch a commercial film-shoot cut short when the filmmakers are haunted by the apparition of a young boy.",cn,https://image.tmdb.org/t/p/w500/n3nriidJrwRgRDFLlN3KfyAeHsy.jpg,4,Andy Chin,
You Are Here,1997,"10749, 35","After getting laid-off, a businessman accepts his boss' offer of a week at his gorgeous country estate. On a whim, the businessman asks a casual acquaintance (at whom he frequently waves while en route to work) to join him.",en,N/A,0,Tom Rooney,
97 Aces Go Places,1997,"28, 35","Eternal 25 year-old Alan Tam is a wimpy triad boss who must avenge his dad because he had a heart attack after losing at cards to a pretty cat burglar. For help, he enlists Drunk Shooter, HK’s ace gunman, who’s also an incredible souse. Problem: Christy ripped off wacky triad boss Francis Ng, so he wants her, too. Even worse, Alan just doesn't want to kill Christy because she’s too damn beautiful. Hijinks ensue.",cn,https://image.tmdb.org/t/p/w500/jXqKHMzalZvuSWaXJx9Gl5ybK43.jpg,3.8,Chin Ka-Lok,"Mandarin Films Ltd., Eastern Bright Motion Picture Ltd."
An Act of Conscience,1997,99,"When a young couple buys a contested home at auction from the U.S. government for $5,400, they become involved in a political and moral battle much larger than what they originally bargained for.",en,https://image.tmdb.org/t/p/w500/4EtXj2YPf8RGjwDvaHIvxakh2Xh.jpg,0,Robbie Leppzer,"Cinemax Reel Life, Turning Tide Productions"
Barnone,1997,35,Mike is a burned-out bartender who gives Al a hard time because he is the new guy at the bar. Cal and Stu are regulars and keep getting into trouble by antagonizing the boss who is constantly juggling a bevy of interested babes.,en,https://image.tmdb.org/t/p/w500/iwe21loWXD5QXcE5nh1k0JVc0C8.jpg,0,Mark Tuit,Burning Giraffe Pictures Inc.
First Love Unlimited,1997,"10749, 18, 35",Only the lack of roses in every frame prevent this teen romance from being a live action Shojo Manga.,cn,https://image.tmdb.org/t/p/w500/tGekHBPpcarHu3C0UOV8m1sERBq.jpg,6,Joe Ma,
Firebird,1997,10749,A man aids his friend by assisting him in disposing of the body of his ex-girlfriend.,ko,https://image.tmdb.org/t/p/w500/c6HfNewK7O0bijLPeBdpshmhS5q.jpg,7.5,Kim Young-bin ,Daewoo Media & Filmed Entertainment
Hong Kong Night Guide,1997,99,"The film documents the night life scenes of both Hong Kong and Macau, from nightclubs, sauna baths to young ladies making category III VCDs.",cn,https://image.tmdb.org/t/p/w500/1eSIV9bJ9alpy8dlAEnRVcWc4k9.jpg,5,Jim,
Fitness Tour,1997,35,"Manager Hou is very wealthy, and he comes up with another idea to make money. He organized a weight loss tour which lets the fat man go to the tourist side of the Three Gorges River. There they can both go sightseeing and lose weight.",cn,https://image.tmdb.org/t/p/w500/hf0cDXXKTP1StLKLAwaQMKhbqFv.jpg,0,Liu Guoquan,Sil-Metropole Organisation
Intruder,1997,"27, 80","A mainland Chinese girl is, with her husband, a wanted criminal and they have to get to Hong Kong in order to stay alive and be free.",cn,https://image.tmdb.org/t/p/w500/ukv0X2a30Gc1CYh1Enr6GmbXNbi.jpg,6.1,Tsang Kan-Cheong,"Win's Entertainment Ltd., Milkyway Image"
Immigrants' Memories,1998,99,A three part story of the North African immigration to France.,fr,https://image.tmdb.org/t/p/w500/rhIHkf4jb6dR3BXjhf5TfV6NjiH.jpg,9.5,Yamina Benguigui,Canal+
Enjoy Yourself Tonight,1997,18,A bizarre look at the many things happening at a Hong Kong nightclub in one night.,cn,https://image.tmdb.org/t/p/w500/q9ASlBI2Fe5xinuMjO81UCjRoDz.jpg,2.5,Sam Ho Shu-Pui,
Rurouni Kenshin: Requiem for the Ishin Patriots,1997,"16, 28, 14","The war against the Tokugawa Shogunate ended years ago. But there are some who are not happy with the outcome. Shigure Takimi watched his friends and family get slashed down in the name of freedom and prosperity. Now he and a band of desparate rebels have sworn to settle one final score. Only one man stands in their way: Rurouni Kenshin. Will the former assassin take up his sword to fight again? When Shigure discovers Kenshin's true identity and his fight becomes a personal vendetta, the young hero will have no choice.",ja,https://image.tmdb.org/t/p/w500/14iwocaqk0oL4Ec63OpSZuKBASy.jpg,7,Hatsuki Tsuji,Studio Deen
The Sanguinaires,1997,"18, 35, 10770","In December of 1999, François organizes a retreat to a small island for himself, some friends, and their children to avoid the craziness of Paris during the turn of the millennium. Things quickly become tense between François and the young man who is the island's caretaker. Boredom and bickering add to the growing foreboding. By the end, will millennial noise in Paris seem mild in comparison to violence in the pastoral retreat?",fr,https://image.tmdb.org/t/p/w500/zWmrUlsKeuKkKI0aMmolR46FMw6.jpg,6.9,Laurent Cantet,
"Ghost Story ""Godmother of Mongkok""",1997,"35, 80, 27",Three supernatural tales: ceremonial paper figures come to life; a ghost helps a woman seduce a triad boss; a gang plans to assassinate an accountant.,cn,https://image.tmdb.org/t/p/w500/jjUqxbJhNC89DpTcl5leLt8KrGI.jpg,3.5,Steve Cheng Wai-Man,
Desire,1997,18,"Three women who come from different backgrounds work hard to earn a living in Manila, but realize that they are victims of sexual exploitations. A television producer is forced to have sex with her boss in exchange for an opportunity to produce a new programme. That almost costs her marriage. A temporary teacher and her colleagues are sent by their principal to give a dance performance at a ministry officer's birthday party. They are gang-raped or almost gang-raped by the officer and his guests. A bus ticket seller accidentally kills one of the men who tries to gang-rape her, but all the bus passengers who witness the scene refuse to go to court to help her defending the charge of murder. Although the three women do not know each other, they end up taking the same bus leaving Manila and heading to the rural area.",tl,https://image.tmdb.org/t/p/w500/9fHbbD4UW4AgvMOdkLTdC8CK6u0.jpg,1,Joel Lamangan,Viva Films
Partigiani,1997,"99, 10752",,it,https://image.tmdb.org/t/p/w500/5ttTIJxN5aYipQQoSvMyNc0N8mB.jpg,6,Guido Chiesa,
Fantômes de Tanger,1998,,"The protagonist, or ""the visitor"" is a French writer who goes to Tanger for a research on all the complexity the place has shown, since WWI, in terms of nationality, colonialism, ethny and ethics -- Tanger itself appears as a great challenge to frontiers in general.",fr,https://image.tmdb.org/t/p/w500/9LJx3MPBPWmhsHntYyP1LpIyvxt.jpg,5,Edgardo Cozarinsky,
Ghulam-E-Musthafa,1997,"18, 28, 80","The film revolves around a gangster named Mustafa (Patekar) who is a contract killer and can go any limit to please his superiors and offers 5 times Namaz. He was adopted by a powerful don Shanta Prasad (Rawal) when he was a child. He calls Shanta as Abba (an Urdu term for father). Abba taught him the crime tactics and made Mustafa his weapon for his illicit crimes. Mustafa's only aide is Sudama, his childhood best friend. Abba shares enmity with the Verma brothers Mahesh, Rohan and Bipin (Pradhan, Joshi and Bahl) which the trio wants to kill Abba. Meanwhile, a dancer Kavita (Tandon) who works in Verma's dance club.",hi,https://image.tmdb.org/t/p/w500/hXKl08qjZc8KHP72vGppgvMgQ3n.jpg,6.1,Partho Ghosh,
The Last Bus Home,1997,,"Though it is late in the punk rock movement, four Dublin youths get together in 1979 to form their own band. Accurately recounting the energy and rawness of the era, this drama follows their tumultuous and ill-fated journey on the rocky road to success. It takes three long years of unpaid performing for Reena, her lover Jessop, bassist Joe and drummer Petie to make a name for The Dead Patriots. Just as they are about to find real success, internal difficulties arise that leave each of them suspicious and mistrustful of the other.",en,https://image.tmdb.org/t/p/w500/chYJTihJDvaBtLacxB17wvEDaoS.jpg,1,Johnny Gogan,
Killing Me Hardly,1997,28,"Fu Pui-yu directs this low-budget, critically panned Hong Kong knockoff of Charlie's Angels, about a shadowy figure named Charlie who dictates over a trio of voluptuous crime-fighters named Sunny (Jade Leung Ching), Moony (Christine Ng Wing-mei), and Starry (Paulyn Suen Kai-kwun). While being followed by nebbish journalist Bob (Michael Chow Man-kin) and coping with their own personal issues, the three are being targeted by Andy, a crazed arms-dealer who is seeking vengeance on Charlie for the death of his wife following a particularly ugly FBI raid years previous. Since Charlie's a hard man to find, the villain takes his wrath out on his friends and employees -- especially his three angels.",cn,https://image.tmdb.org/t/p/w500/d9woIX3Qnx19UEgjPWvMTfYjUiz.jpg,0,Fu Pui-Yu,Times Production
Lost Control,1997,"18, 53","Comprised of two wonderfully kinky tales mating sexuality with death. The first story, starring Bowie Lam and Eva Zhao, puts a shocking spin on the Fatal Attraction scenario. The second, featuring Yumi Choz, involves a mortuary make-up artist whose new boyfriend (Vincent Lam) is concerned about the inordinate amount of time she chooses to spend late at night with her corpses.",cn,https://image.tmdb.org/t/p/w500/7tFD5mzeisy05sRLc7fOyimw5v2.jpg,6,Joe Hau Wing-Choi,"Shui Goh Din Ying Gung Shut, City Crown Ltd., Fruit Production Co."
We're No Bad Guys,1997,,"Plane (Ekin Cheng), a troubled cop who hits the skids when his girlfriend Carrie (Gigi Leung) is killed by a stoic hitman named Angel (Alex Fong). One year later he finds himself saddled with new partner Turkey (Jordan Chan), an immature cop who is in love with up-and-coming idol singer Tinny Chung (Vivian Hsu). There are the usual growing pains as the two partners learn to like and trust one another. Plane meets Tinny's friend Mandy, her looks resemble Carrie's and they fall in love. Angel then returns to settle old scores.",cn,https://image.tmdb.org/t/p/w500/blK33pbQFKJCpFRlaOimuWbG4Js.jpg,6.2,Wong Jing,
The Alive Tribe,N/A,"28, 35, 10749","A 1997 film about a young man who gets involved with eco-terrorists, a wild bunch of hipped-out student radicals who fight for anything from ecological Armageddon to the ozone layer and animal liberation.",en,N/A,0,Stephen Amis,
Hanggang Ngayon Ika'y Minamahal,1997,18,"Restaurant owner Margot often reproaches her dentist husband Leo for his irresponsible and disorganized ways, reaching a point where Margot finds no reason for them to stay together. Margot wants out of their marriage and their temporary separation becomes difficult for their two kids Patricia and Pauline but a delight to Mrs. Perez, Margot’s meddling mother in-law who never liked her. Their estrangement eventually ends in annulment, a trying process for Margot who has to derogate Leo’s character in court to win her case. But after all, Leo still loves Margot despite her hurtful testimonies.",tl,https://image.tmdb.org/t/p/w500/j79YcMe39XElMeqisbbCX6cwmKx.jpg,0,Ike Jarlego Jr.,Neo Films
Top Borrower,1997,"35, 18","A taxi driver becomes the hostage of two bank robbers. During the getaway the bank robbers have a dispute and kill each other. The taxi driver is left with the loot. In the tradition of ""Ground Hog Day"" and ""Run Lola Run"" he makes 3 choices. First, what would happen if he took all the money without telling a soul? Then, what if he only turned in half? Finally, the outcome of turning the money all in.",cn,https://image.tmdb.org/t/p/w500/chutDddqNPS0GyGsScgl07XavkG.jpg,0,Sherman Wong,
Southern Comfort,1997,"18, 10751","7-year old Ida has to take care of her kid brother Skrubsak, feed the family and keep the child welfare officers at stake. Ida's father has left the family for another woman, and so far Mum has found consolation in the bottle. The second of Jesper W. Nielsen trilogy: Buldermanden, Lykkefanten and Ogginoggen.",en,https://image.tmdb.org/t/p/w500/NmRqZFSTQgQTbBcPq4csRJF1vj.jpg,7,Jesper W. Nielsen,Dansk Novellefilm
Up for the Rising Sun,1997,18,,cn,https://image.tmdb.org/t/p/w500/x2FrKpnKDfZnAMD1EsavmtqK41A.jpg,6,Victor Tam Long-Cheong,
Herzog,1997,"10770, 18","This is a romantic family melodrama on lost and newly found love. A young diver sets off to work as a butler for Zlobec, a rich, retired pilot. In ten days the life story of the ""pathetic old man"" unwinds before his very eyes. On the last day of World War Two, Zlobec lost the love of his life when a plane named Herzog crashed into the Adriatic sea. Since then he has been obsessed with setting up an altar in her memory. Because of this he was blind for many things, especially for his daughter Ana, who grows into an attractive young girl and is seduced by the elderly Rihard at the age of eighteen. A friendship develops between the girl’s father and lover, but it is soon interrupted by a disastrous flood, which confines Zlobec to a wheelchair. Rihard sets of to seal the seas, while Ana moves away and begins to teach deaf-mute children. She only returns to visit her father once a year, on his birthday. When she returns this time, Rihard reappears and the old flame flares again.",sl,N/A,0,Mitja Milavec,"Nora Production Group, Studio Arkadena"
Kaun Sachcha Kaun Jhootha,1997,"28, 53","In the darkness of night a dangerous, mentally disturbed man called Karan (Rishi Kapoor) escapes from the mental asylum and this news spreads in the city.",hi,https://image.tmdb.org/t/p/w500/r5T6QW4PTyMBKcLgzFYBTBk2ZTN.jpg,10,Partho Ghosh,
Laws of Deception,1997,18,"A law student is seduced by a beautiful woman he doesn't know, and after a one night stand with her, his roommate warns him to be careful because he suspects she may have other motives. Years later, she returns and hires him as her lawyer to defend against a charge of murdering her husband. A web of intrigue ensues as the lawyer begins his hunt to find the killer and also confront the demons of his past.",en,https://image.tmdb.org/t/p/w500/21SzFyJByjnhpcTpDiDlQ2LgjEf.jpg,3.5,Joey Travolta,
No Strings Attached,1997,"18, 53","A renowned journalist becomes a suspect in a series of murders after he becomes intimately involved with a mysterious woman. In an attempt to clear his name, he tries to find a connection between his lover and the increasing number of dead bodies.",en,https://image.tmdb.org/t/p/w500/zvF2iEjgjZyTIn1LaOETW6EF2lF.jpg,1,Josef Rusnak,"IMEC, Treehouse Films (I)"
Underwater Iceland,1997,99,"Marko Röhr's film crew takes the viewer to Europe's last unexplored area: Iceland's unique underwater world. We explore the geysers of boiling waters and the crystal clear lakes off the coast of Iceland. We dive under the icebergs, into the tears between the continental plates and into the deep caves.",en,https://image.tmdb.org/t/p/w500/imJsO31JDqhYfM0ybyCoOfacSUP.jpg,5.5,Marko Röhr,"Icelandic Film Corporation, Finnkino, MRP Matila Röhr Productions"
Death on a Full Moon Day,1997,18,Drama about a father who refuses to believe in his son's death at war.,si,https://image.tmdb.org/t/p/w500/syGDMZyDKcVQjn9vh22EqkzwRbK.jpg,6.3,Prasanna Vithanage,NHK
The Truth About Juliet,1998,"35, 10749",A group of friends living in Los Angeles shares complex lives and love affairs while trying to break into show business.,en,N/A,3.3,Sean McGinly,Be Brave Pictures
Rage,1997,"80, 53, 28","Overcome by an irrational rage, a 17 year-old hatchet man kidnaps his boss who had managed to cover up his true identity and become part of the establishment. The Kid takes this one time hero of his to a hideout in a huge, deserted steel mill where the two experience a kind of enlightenment after some twenty hours of infernal games and agony.",sr,https://image.tmdb.org/t/p/w500/l6mUS2O5AppbVdwnmmfxoPjA62W.jpg,7.1,Slobodan Skerlić,"Avala Film, Radiotelevizija Beograd, Monte Royal Pictures"
Peccato,1997,"16, 14, 18","A mystic road movie and tells the story of il signore Peccato, an architect in the Middle Ages, and his long journey through the world of sin.",it,N/A,0,Manuel Gómez,
Such a life,1997,"18, 36","'Such a Life' is quite a sad film. It is set in the sixties, in a village on the west coast of Taiwan, where many are succumbing to 'black foot', a disease caused by drinking contaminated well water. The only 'cure' is to amputate the afflicted limb, and to avoid drinking the contaminated water. Many in the village were already sick, and few could afford to have tap-water installed. At the center of the story is Ah Chung, who lives with his grandfather, who has already lost one leg to 'black foot'. In the same village also live an opera family, who are finding things increasingly difficult there, an oyster farmer, who complains that his oysters are being poisoned by a nearby pharmaceutical plant, and an assortment of children who enjoy swimming in the sea, and who bully Ah Chung. A significant portion of the action also takes place in the village school, where Ah Chung is having trouble keeping up with the fees.",zh,https://image.tmdb.org/t/p/w500/k6dTFyxnaRYa4WUHjxScyqGsOkH.jpg,8,Chang Chih-yung,
Against the Law,1997,"12, 18, 28, 53","A trigger-happy outlaw goes on the run and a burned out, disillusioned cop gives chase. They end up head-to-head in a Los Angeles shoot out.",en,https://image.tmdb.org/t/p/w500/azYyEBa72sjlY3XYe5NULYVAxTy.jpg,5.2,Jim Wynorski,Sunset Films International
Balkan Rules,1997,18,"Movie about secret relations between Yugoslavian, Serbian and Croatian secret police during last 50 years. Here in Balkans truth and lies are so much mixed and it lasts so long that no one knows the difference. That is why this fictitious story looks so true.",sr,https://image.tmdb.org/t/p/w500/adHdUT37XYWu5h2kns8OFwEH8UJ.jpg,5.6,Darko Bajić,"Magična linija, RTS"
Flashback,1997,18,A boxer tries to recover from the memories he brought back from war.,sr,https://image.tmdb.org/t/p/w500/nkM2NrJUY9HUlv2VpGF0VjSbMH3.jpg,1,Gordana Boškov,"Avala Film, Parolo Art Komerc, Impuls Film, RTS"
O Cego Que Gritava Luz,1997,18,,pt,N/A,4.2,João Batista de Andrade,"Solutions Produção e Comunicações Ltda., Raiz Produções Cinematográficas, RioFilme"
Kisah Nyata Dukun AS Misteri Kebun Tebu,1998,"80, 27","An Indonesian sorcerer, a ""dukun"", goes on a killing quest after his his late father told him in a dream to drink the saliva of 70 dead young women to get great healing powers.",id,N/A,6,N/A,
Pousse Café,1997,,A retired game show baron and his estranged gay son spar over old family bitterness and popular culture while testing recipes for a book on the history of cocktails.,en,https://image.tmdb.org/t/p/w500/h8cU80T2wLnFFPDpulVZyGW3IMC.jpg,1,Susan Winter,
Sorceress II: The Temptress,1997,"27, 10749, 53","In this sensual horror tale, Paul Stevens is transported to a mysterious world where he is surrounded by strange and beautiful women, led by Tara Coventry. Tara initiates Paul into their world of bizarre erotic rituals; however Tara and her minions are actually practitioners of black magic, who are trying to snare Paul's soul through their sexual mischief. Will he realize the evil he has fallen into before it is too late?",en,https://image.tmdb.org/t/p/w500/nSxnG8MFwnEsCSKD1iWEftcYggc.jpg,3.3,Richard Styles,"Concorde-New Horizons, Sunset Films International"
Betrayal,1997,,"Sex, love and betrayal seem to go hand in hand. This film is no exception. But when the third party seems scorned they are quickly remedied with an advance of joining in and sharing in the fruits of their lovers conquest. The sadness is soon turned to the jubilation of a fuck frenzy.",en,https://image.tmdb.org/t/p/w500/jYoHDLnPnu4UCEKE51xyGKKsOt5.jpg,0,N/A,
The Forgotten Hill,1996,18,"At the outbreak of the Second World War, two friends, Mokrane and Menach, abruptly interrupt their studies and return to their remote native Kabylian village of Tagsa. While waiting to be drafted into the French Army they have time to woo. Mokrane falls for beautiful Aazi and soon marries her only to find out that she can bear no child. Menach, on his part, is stongly attracted to Davda, but the latter is already married to a rich merchant...Happiness does not seem to be in store for the two former students...",ar,https://image.tmdb.org/t/p/w500/dRElbtnopVn8fElUO3pyxjyh8UQ.jpg,8.5,Abderrahmane Bouguermouh,"I.M. Films, Centre Algérien pour l'Art et l'Industrie Cinématographique (CAAIC), Entreprise Nationale de Production Audiovisuelle (ENPA)"
Doces Poderes,1997,18,"A journalist is placed upon the management of a large broadcasting company to the capital of Brazil at the time of local elections. She must now face ideological and ethical questions, brought back by a left-wing former boyfriend and her own colleagues. At the same time, a free-lancer spy is sent by an obscure figure in politics to manipulate the elections and its media coverage.",pt,https://image.tmdb.org/t/p/w500/mYwSkytGARvQRD2ht0KVACESu7C.jpg,5.8,Lúcia Murat,
Suddenly Arriving,1995,18,"The tale follows the intentional non-adventures of quiet Tachibana (Takeshi Ito), a Tokyo drifter who has worked in a suburban sausage shop for several years without forging any real friendships.",ja,https://image.tmdb.org/t/p/w500/mYWzXbdOEtTPKLwSeCbqbKVhiyq.jpg,0,Kenji Fukuma,
Everybody is Afraid of the Dwarf,N/A,18,"Two young marrieds (Rafael Istvan Kovacs, Julia Muller) live in a small town in southern Hungary where jobs are hard to come by and gypsies are willing to do menial labor for a bowl of soup. Everyone lives in fear of an ugly eccentric, nicknamed the Dwarf, who collects the electricity payments and has the power to cut off households' juice.  Derek Elley",hu,N/A,6.2,József Czencz,Mozgókép Innovációs Társulás és Alapítvány
Night Orchid,1997,53,"Clay Doyle, a drifter haunted by the ability to see violent events from the past, wanders into a small Florida town and falls in love with the ethereal Sarah Miller, despite increasingly disturbing visions of murder and decay.",en,https://image.tmdb.org/t/p/w500/gx1mT5DytQutifg7pp07HGz25DZ.jpg,3.5,Mark Atkins,
No Budget Story,1997,"14, 18, 878, 10749","In order to secure money for the production of his first film, a young man asks help from a film producer. The producer, however, was involved with pornographic films, and now his main business is drug dealing. The young director will have to become a drug runner in order to get the money he needs for his film",el,https://image.tmdb.org/t/p/w500/6poE0wJisqRLbQMwi17tKm86d8g.jpg,6.2,Renos Haralambidis,
Tiger,1997,"35, 10751","When the neighborhood bullies kidnap Tiger, a dog who can telepathically talk to his owner Josh, everything changes. What happens next will delight the whole family. What started out as a boy's dream of having his own pet, becomes the adventure of a lifetime.",en,https://image.tmdb.org/t/p/w500/fjvc1uWDcmcbnZ6dPZjDM679GJp.jpg,0,Serge Rodnunsky,Rojak Films
Wild Animals,1997,"35, 80, 18",Two Korean ex-pats in Paris are recruited by a French mobster. The duo find themselves at war with their mobster recruiters and each other.,ko,https://image.tmdb.org/t/p/w500/9HP6Km5jBi8uIfwXuaBQXzj0q38.jpg,5.8,Kim Ki-duk,Dream Cinema
Leaving Scars,1997,"28, 53","When an old friend is brutally murdered, a case of mistaken identity pushes Diane Carlson and Michael Taylor,in to a dangerous web of drug money, pornography, and high stakes prostitution. Before long, they are caught in a deadly game of cat and mouse, taking them on a rocket ride through the lurid underbelly of Los Angeles after dark. It is a lethal game where few get out alive, and no one escapes without - Leaving Scars.",en,https://image.tmdb.org/t/p/w500/heFmPWxPkbpNWEkXbnQuUBtnOLS.jpg,2,Brad Jacques,
Dragon Town Story,1997,"18, 10749, 9648",A woman works with an assassin to get revenge upon the man who murdered her family nine years earlier.,zh,https://image.tmdb.org/t/p/w500/brvvtNgZtxdYnd3wcJxzXwSNLZz.jpg,6.5,Yang Fengliang,"Tianjin Film Studio, Win's Entertainment Ltd."
