Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
El cazador,1991,,,es,https://image.tmdb.org/t/p/w500/pHJkZvxtSJzkd2kf9OfZdZaCOZk.jpg,5,N/A,
El Chile,1991,,,es,N/A,5,N/A,
Collar de sangre,1991,,,es,N/A,5,N/A,
Crossroads in Tokyo,1991,,A three parts movie following people forgotten by a society that modernizes at the price of expelling part of its individuals.,ja,https://image.tmdb.org/t/p/w500/kLKFs3CKoxk5lSMBg32BUoKdC9t.jpg,0,Minoru Matsui,
De sangre mexicana II,1991,"18, 53",A Mexican immigrant fights for his life after being threatened by the mob.,es,https://image.tmdb.org/t/p/w500/vJP1TOcCUmbJwZoRCt6nDVrWQtW.jpg,5.2,Damián Acosta Esparza,
Cuatro pillos y un vivales,1991,35,"The relatives of a recently deceased rich man are after his money, but his butler is trying to stop that from happening.",es,https://image.tmdb.org/t/p/w500/1jLgjbbR2ZBr9738aCQ9GjB80Fi.jpg,5,Roberto G. Rivera,"Mexcinema S.A. de C.V., Películas Sensacionales S.A. de C.V."
Molester Train Office Lady Edition: Days of Love and Sexual Desire,1991,,"Yoko is an office worker at a small transport company. The driver, Shuji, has feelings for her, but Yoko has no desire to fall in love with a man. Yoko pretends to be plain at work, but at night she sometimes puts on makeup and goes to hotels with men. However, she only sleeps with each man once. It was just an act to satisfy her lust. Then she receives a strange phone call, and finds out that someone is always watching her. Who could it be?",ja,N/A,0,Toshiharu Suzuki,Shintoho Pictures
Groper Train: Wet Commuter,1991,,"""Groper Train"" distributed by Xces.",ja,N/A,0,Masahiro Kasai,"Shishi Production, Xces Film"
The Shadow of Death,1990,"18, 10402, 28","ASP Razlan, Inspector Farah, Detective Inspector Razif and Sally, a member of the Task Force Unit Royal Malaysia Police led by Superintendent Mansor, was given the task to beat a drug syndicates and international gun smuggling. Masta a widower apply Farah Farah for the happiness of their children but not the final say. Farah also having problems with her sister Ella, a rock singer who led his brother out of the house and stayed with Eddie children tycoon. Farah and Razlan relationship more closely. They plan to marry as soon as the cases handled completed. They both were subjected to unexpected accidents that occurred before Razlan and Farah married",ms,https://image.tmdb.org/t/p/w500/nkNIHnnP4FqiqjWcEfvRvERc5XH.jpg,0,Yusof Haslam,Skop Productions Sdn. Bhd.
El callejón de los cocolasos,1991,,,es,N/A,5,N/A,
