Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Story of Kennedy Town,1990,"28, 10749","Chuang Peng, Kao Tieng Chiang and Li Shao Wei are three close friends living in poverty who decide to join the police force. However, one of them becomes consumed by greed and their friendship is tested to the limits.",cn,https://image.tmdb.org/t/p/w500/qqQ8abQa8Qyc9ugkbJM2pBJwvOa.jpg,8,Wu Ma,Golden Way Films Ltd.
Tiger Cage II,1990,"28, 80","An ex-cop and divorce lawyer team up with a gangster to clear their names after getting involved in a dirty money scheme led by a vicious money launderer, who plans to expand his business and wipe out anyone who stands in his way.",cn,https://image.tmdb.org/t/p/w500/wAyIEvkeNlvhXR2y5UzDhRePE7C.jpg,6.914,Yuen Wo-Ping,"D & B Films, Sound Wave Film Post Production Limited, Media Sound, S & P Films Laboratory Ltd., Hollywood Film Service Company, Cinerent Limited, D & B Film Distribution (Hong Kong)"
Hong Kong Gigolo,1990,18,"Cheng, Wai & Joe are Gigolos. Cheng, once very popular, is losing his fame due to age. Wai’s profession brings to his family lots of bad luck and destruction. Joe is persuaded to betray his client by videotaping their intercourse for the client’s husband and get involved in a murder case. The life of gigolos with the good things and the wrong side.",cn,https://image.tmdb.org/t/p/w500/eikT6nkw2h4KB7QSDpFrEvzKYw8.jpg,1,David Lam,"David Lam Films Co., Ltd. (D L Films)"
Sleazy Dizzy,1990,"80, 35, 9648","A common thief and an employee of a Hong Kong stock company try to help an amnesia-plagued undercover cop to regain his memory and locate the whereabouts of the 50 million dollars cash used in a drug deal. In the meantime, they try to avoid becoming victims of the crime-lord that was responsible for embezzling 50 million dollars out of the stock company.",cn,https://image.tmdb.org/t/p/w500/Q1FWWE44RXAbSha57UhIygqN8H.jpg,5,Chor Yuen,"J&J Film Co., Golden Sun Film Co."
To Spy with Love!!,1990,"35, 80, 12, 10749, 9648","The Playgirls, a band represented by the diminutive rock enthusiast Teddy, are just performing in a bar when trouble starts. He finds a dying girl in his van; she is a spy who had just taped a film negative onto the oblivious Teddy’s poster. Two Japanese hitmen hired to get her and the negative believe that Teddy is a spy also and start to follow him. A beautiful woman from the same organization, who later claims to be a double agent, is also after him, and he is easily victimized by her games - despite protection offered to him by a rival organization.",cn,https://image.tmdb.org/t/p/w500/pWZB6aqjcjWLHML2hu9nX1OLMig.jpg,6,Peter Mak Tai-kit,Golden Harvest Productions
Sunshine Friends,1990,35,"The war of ratings is over when Mars TV, with its two popular shows bears down Earth TV. Mak, the boss of Mars TV, plan to takeover Earth TV while Lee, the boss of Earth TV wants to jump from a skyscraper to make publicity for his station.",cn,https://image.tmdb.org/t/p/w500/iNP3XCuKsHKpyG5YXGkodXVHFpA.jpg,7,David Wu,"Friends Cheer Limited, Golden Harvest Company"
Swordsman,1990,"28, 12","When a scroll containing valuable martial arts secrets is stolen from the Emperor, an army detachment is sent to recover it. It is based on the novel The Smiling, Proud Wanderer by Jinyong.",cn,https://image.tmdb.org/t/p/w500/tnbQngk3fKAqwqyVmqxBXvoD3DZ.jpg,7,Raymond Lee Wai-Man,"Film Workshop, Golden Princess Film Productions, Long Shong Pictures"
Front Page,1990,"35, 80","Hui, an owner of a Hong Kong tabloid magazine company hires martial artist Bill Lee to help him get a good headliner for a magazine story to, hopefully, save his failing business.",cn,https://image.tmdb.org/t/p/w500/aq2NGpqJzO511mGyFXPpHDpCu9n.jpg,6.4,Philip Chan,"Hui's Film Production Co., Ltd."
Blood Stained Tradewind,1990,28,"""Shing (Alex Fong) and Hsiong (Waise Lee) are competitive young men raised by the head of a powerful Triad group. Shing appears to have the winning edge; his gunfighting skills are unsurpassed earning him the nickname Golden Gun and the pretty daughter of the Triad boss appears to favor him more than eager brother Hsiong. But when Shing turns down his godfather’s appointment to head the triad group his luck runs out and he’s kicked out of the group and shunned by the family. Hsiong becomes the new boss and the pretty daughter marries him instead. Shing moves to Macau and becomes a common laborer and rooms with Carrie Ng and her small son. But Carrie’s kid brother is a bad egg who brings the world of crime back into Shing’s life. Then all hell breaks loose and everyone’s life is in jeopardy when traitors and double crossers rise up and take over.",cn,https://image.tmdb.org/t/p/w500/oNonnVgXkfPK8FolDFHUhVKl7pu.jpg,0,Chor Yuen,"Golden Princess Amusement Co., Ltd., J&J Film Co."
The Hole,1990,18,A few days from the life of average brothel in early XX century Russia. Based on the classical novel by Aleksandr Kuprin.,ru,https://image.tmdb.org/t/p/w500/fFqahc2BPEJyH2X31PrsTpVCC56.jpg,3,Svetlana Ilyinskaya,Dovzhenko Film Studios
Twilight Siren,1990,27,"Wendy and Jay hunt for relics in the woods and find a skull and mystic tablet. Discovering these somehow releases the ghost Joan from the clutches of the evil Demon King, a transgender demon that enslaves ghosts and forces them to collect human hearts for him before they can reincarnate. The Demon sends his posse of girl ghosts to collect Joan and eliminate the interfering mortals, but is thwarted by the timely intervention of a master Taoist priest and his two disciples.",zh,N/A,0,N/A,
The Nocturnal Demon,1990,"35, 27, 28","Tow truck driver Tin bears an uncanny resemblance to a psychotic, serial killer, taxi driver -- and now the cops are chasing the wrong man. He and his cousin Wawa must catch the killer on their own to prove their innocence.",en,https://image.tmdb.org/t/p/w500/i0xqxHuer8mR6gMwfkPdeWGlyhr.jpg,6,Ricky Lau,"Lau Kun Wai Production Limited, Orange Sky Golden Harvest"
My Hero,1990,"28, 35, 80","Sing loves to read cartoons and often daydreams of becoming a tycoon and celebrity. By accident, he becomes a follower of Wai, a gang leader, and makes a friend of Wai's adopted son, Chun. The series of successes made by Sing and Chun breed contempt in Wai's heart. Wai plans to get rid of them so as to pave the way for his son to succeed to his own business. Still, his son kills him..",zh,https://image.tmdb.org/t/p/w500/8Wqu0wXD9mRMJhsEBTr6TWLtvjp.jpg,6.3,Leung Kar-Yan,Chun Sing Film Company
Gangland Odyssey,1990,"28, 18, 80, 53",A retired cop is summoned by his ex-boss to save his kidnapped son from the hands of a deadly Japanese triad. Action violence and a little romance makes GANGLAND ODYSSEY a promising treat!,cn,https://image.tmdb.org/t/p/w500/tQDI7WoNTWL7ydaPRx6TzTvWR8U.jpg,6,Michael Chan,Hatract Films Ltd.
Vampire Settle On Police Camp,1990,"27, 28","Police School is haunted. Chan Sir and Tong Sir in order to drive out the ghosts, so they find out nine police, who is the dragon-year born, to practice an array. Because of arrogant of Inspector Li Lan Yuk, makes others with bad feeling. They decide to play a trick on her and have lots of joke. They know the goal of training is to seize the ghosts, they all left the training. But the camp is already controlled by the ghosts, causes they stay here to help Chan to seize the ghosts. In Lunar night, on July 14, Chan unable to seize the ghosts, Madam Lee takes out the family secrets and turns into a Taoist priestess to fight with the ghosts. At last, Lee and master drive out all the ghosts",cn,https://image.tmdb.org/t/p/w500/yoJLjaEAmZ4V754SX2vdIWxSqqc.jpg,4,Chen Chi-Hwa,World Power Film Production Limited
A Bite of Love,1990,"27, 35","A vampire is repulsed by the thought of killing in order to stay alive. He becomes the local blood bank's best customer. However, when the bank runs out of blood, he must take a hard look at his situation.",cn,https://image.tmdb.org/t/p/w500/ngIvcL6jblSTOJylAuV4uVcYiPv.jpg,6,Stephen Shin,D & B Films
A Home Too Far,1990,10752,"In 1950s, Chinese Civil War ends with the defeat of Republic of China and the establishment of Communist China. The 93rd Division's soldiers take their families with them, exit southwestern China and enter northern Burma (Myanmar). The hike through forest is full of disasters and short of supplies, but the survivors reach and settle within border of Burma. They build a village, and ally with local armed gang to resist Burmese government's attacks. Later, the relocated government of Republic of China offers to take the soldiers and dependents to Taiwan, but some are disappointed with the government and decide to stay.",zh,https://image.tmdb.org/t/p/w500/r6VL2RGXxdY5wvmclfKqI0FOT3g.jpg,8,Kevin Chu,Yen Ping Film Productions
Alone,1990,99,A documentary-like film about Jussi Parviainen's divorce.,fi,https://image.tmdb.org/t/p/w500/jnlPzvcG5YIqMWFssMzOxlrdTph.jpg,6,Pekka Lehto,Kinofinlandia
Yo soy ésa,1990,"18, 10402","Carmen Torres, a famous and renowned singer, lives the fame aware of what it implies, but Jorge Olmedo, her shadow partner, succumbs to a world in which drugs and poker games reign. Husband and wife travel to Seville to see the premiere of ""Yo soy ésa"", a film in which both see their lives captured long ago, a dose of reality that will help them realize that they no longer love each other the same.",es,https://image.tmdb.org/t/p/w500/mMeQCMuOAvTUlPKT1P0oPSiUGGZ.jpg,4.8,Luis Sanz,Ion Films
"I, the Worst of All",1990,"18, 10749, 36","Assumpta Serna stars as the brilliant and beautiful poet Sister Juana Inés de la Cruz in this magnificent portrayal of 17th Century Mexico. In order to pursue her love of writing, Juana enters the convent and gains international renown. When the Inquisition comes, the local Vicereine becomes Juana's protectress and erotic muse, and soon begins a thrilling romance of startling passion and intensity.",es,https://image.tmdb.org/t/p/w500/svqJY9yyrPl42UbFaSbANvcTY9C.jpg,5.6,María Luisa Bemberg,GEA Cinematográfica
