Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Mercedes,1993,18,"Nubi, a wealthy man with Communist ties, sets out to find his half-brother Gamal, who has been disowned for being gay, to let him inherit his father's fortune. In the process, Nubi is supposed to kill Gamal's stepmother Raifa, a suspected drug dealer, before she can kill his half-brother.",ar,https://image.tmdb.org/t/p/w500/uxAtm1EJc4rHpNdgsA3wmXf2iJt.jpg,4.7,Yousry Nasrallah,"MISR International Films, Paris Classics Productions"
Leon's Husband,1993,35,"The tragi-comic chronicle of a passionate friendship between Boris Lassef, brilliant but insufferable and tyrannical actor and director, and Léon Yvrard, his confidant and all-round man in love with him, indispensable slave and clever schemer. This terrifying duo, which operates in the theatrical world but can be found in all spheres of jet-society, is about to be shattered by Léon's sister-in-law Nadège, a small but formidable teenager who, thanks to her malice and devastating determination, will succeed in triumphing over Léon and marrying the illustrious Boris.",fr,https://image.tmdb.org/t/p/w500/yM5Ejv5JFUJVHk3cOxyIYTycL8T.jpg,0,Jean-Pierre Mocky,"Canal+, Gymages, Koala Films, Lonely Pictures"
"Mario, Maria and Mario",1993,"35, 18, 10749","Mario and Maria Boschi, a 30-year-old couple with small children, are hit by a crisis: husband and wife cannot agree on a party name. A colleague, also named Mario, makes an impressive speech, and Maria find herself increasingly attracted to him. She feels able to relate to him like she could to her husband in the old days. They spend the night together, and she falls ill. When she is asked by her husband to leave the house, she realizes that there may be a difference between real love and a vague need for understanding.",it,https://image.tmdb.org/t/p/w500/qNMG0LMZnyY78yDFq8bPTd68VND.jpg,5.8,Ettore Scola,"Les Films Alain Sarde, Mass Film"
The Groundhogs,1993,"35, 18",A story of a family with numerous members drowned in their sentimental problems.,fr,https://image.tmdb.org/t/p/w500/7QYOQ4hbd1XyDeNIst703xOwshs.jpg,5.3,Élie Chouraqui,Centre Européen Cinématographique
Marraskuun harmaa valo,1993,"18, 80","Kari Syysmäki, a Finnish Businessman is on a vacation with his wife in Tallinn. When his wife is away a young man enters their hotel room with a gun. He tells to the businessman that he has just tried to rob a bank, but accidentally shot one of the clerks. Now he's hiding from the cops. But when the bank robber forgets his gun on the table, Syysmäki grabs it and shoots him in the back. After that Syysmäki refuses to travel back to Finland with his wife. He stays in Tallinn and soon he's about to face both the cops and the mob of Estonia.",fi,https://image.tmdb.org/t/p/w500/vwfLrVOvXEiZ12Kx5Zcr3bLw4GO.jpg,5.7,Anssi Mänttäri,Reppufilmi
Matinee,1993,35,"A showman introduces a small coastal town to a unique movie experience and capitalizes on the Cuban Missile crisis hysteria with a kitschy horror extravaganza combining film effects, stage props and actors in rubber suits in this salute to the B-movie.",en,https://image.tmdb.org/t/p/w500/5Hkt61mL0yixpC6ML24R8gDdh8y.jpg,6.6,Joe Dante,"Universal Pictures, Falcon Productions, Renfield Productions"
Matusalem,1993,"10751, 14, 12","Fleeing from some other children who want to beat him, Olivier meets the ghost of a Pirate who every hundred years tries to find a parchment. Olivier agrees to help him. But in doing so he is captured by a bunch of pirates. The other children of the village discover a door thru time and space in an old haunted house and decide to rescue Olivier from Captain Monbars' pirates.",fr,https://image.tmdb.org/t/p/w500/4C7BpYX9leoHBwN9hBNsNaXEFtu.jpg,5.6,Roger Cantin,"Les Films Vision 4, ONF | NFB"
The Blue Exile,1993,18,"Mavi Sürgün is a fictionalized account of one period of the life of a Turkish journalist who was condemned to exile for an article he wrote in 1925. He turned his punishment into a reward by creating a little paradise in what is today the holiday resort, Bodrum. In fact he is considered by some to be the first ecologist. The film concentrates on this latter aspect of his character and through flashbacks portrays the inner turmoil of a man who is trying to come to terms with his past. The slow pace is somewhat of a drawback, the flashbacks are often confusing and the protagonist is not always very convincing. But the photography of the country side is exceptional Kenan Ormanlar and the short appearance by a very theatrical Hanna Schygulla of Fassbinder fame adds a little spice to the drama.",tr,https://image.tmdb.org/t/p/w500/tnabzQ9SsAVtUhQs6k3SDQjt0OD.jpg,4.6,Erden Kıral,"BR, Kenmovie Filmcilik, Kentel Film, Stefi 2"
Mazeppa,1993,18,"Based on Lord Byron's poem ""Mazeppa"" from 1819 and revolving around the painter Théodore Géticault, famous horse trainer and spectacle Bartabas takes art to another level.",fr,https://image.tmdb.org/t/p/w500/rXBaOWaD44W5vLzofdvfgamuwhZ.jpg,5.1,Bartabas,"MK2 Films, France 3 Cinéma, La Sept Cinéma"
Wanted: Four Legged Husband,1993,35,Danielle is looking for a pair for her dog but finds also a dog but also an owner.,he,https://image.tmdb.org/t/p/w500/4l4Qrs0CW4M5VJzCAqnq8zoGZy7.jpg,5,Shimon Azulai,
