Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Tater Tots,2004,35,Material from this film (as well as other sequences previously shot but never used in other films) were eventually edited into what became Period Piece in 2006.,en,https://image.tmdb.org/t/p/w500/uSKUQwKSzJKWTMCfyrN2Sbf5KWv.jpg,0,Giuseppe Andrews,
Crayon Shin-chan: Invoke a Storm! The Kasukabe Boys of the Evening Sun,2004,"16, 35","At a strange movie theater, everyone gets sucked into the film they're watching. The longer they stay, the less they remember about the real world!",ja,https://image.tmdb.org/t/p/w500/aKn6V5ZxAV9REWefExl9LoZLFz8.jpg,7.6,Tsutomu Mizushima,Shin-Ei Animation
Inside Iraq: The Untold Story,2004,,"In 2003, ordinary American citizen Mike Shiley created his own press pass and cashed in airline miles to fly to Iraq. Unofficially there to document the nascent war for a Portland TV station, Shiley took his camera to the front lines, where he showed a side of the conflict the media and the military ignored. If you've only seen the news, you've never seen the Iraq War as it's presented in this award-winning documentary.",en,N/A,0,Mike Shiley,
The Afghan Bride,2003,18,"Gol Muhammad is a young teacher who is in love with a girl named Siah Moo, but he can’t afford the bride token in order to marry her. He asks her to wait for him and goes to Pakistan to earn the money. However, he is arrested because of his objection to Taliban’s policies about expelling girls from schools. When people hear no news from him, they believe that he is dead until ...",fa,https://image.tmdb.org/t/p/w500/pyk6U5UePpcjU1N21g64ej2Hg6T.jpg,0,Abholghassem Talebi,
Carga pesada,2004,"12, 28",A rancher fights a personal war against a drug cartel who killed his wife.,es,https://image.tmdb.org/t/p/w500/AcV41JroWgJd9IaDPTAxTqMHlVz.jpg,5,Eduardo Martínez,Profesionales en Cine y Video
Cartuchos mortales,2004,,,es,https://image.tmdb.org/t/p/w500/7l1fEvP2Dfn107Kj0up7bB7WvhG.jpg,5,Aurora Martínez,
La loba,2004,,Mexican feature film,en,https://image.tmdb.org/t/p/w500/96vIgqzSbi3ltWEgFe5Gnw0TseK.jpg,5,N/A,
Todo personal,2004,"28, 80, 18, 53","When a policeman begins dreaming that he is a murderer and the homicides actually start taking, his brother is to blame.",es,https://image.tmdb.org/t/p/w500/bNSdzaORbi7plrx9MS6gAXa0yWL.jpg,5,Aurora Martínez,Diamante Films
The Tear of the Cold,2004,"18, 10752","During the Iran-Iraq war,a soldier and a Kurdish girl come to a new understanding of the notion of animosity despite their supposedly opposite circumstances.",fa,https://image.tmdb.org/t/p/w500/Kgptz7lnaZFkVS9JrbGjakTa4U.jpg,0,Azizollah Hamidnezhad,
Family Matters,2004,,"Two men, one woman and a baby is the formula for this alternative family. Dafna, a straight single woman, teamed up to have a baby with Itamar, a gay lawyer, and Kai, his German partner. Tensions grow throughout the pregnancy, and eventually erupt after the child is born - causing confrontation and separation. For over two years the film follows the characters as this fascinating story unveils.",he,https://image.tmdb.org/t/p/w500/wr8grMDqkTs9yZA7l59Rk5vGAAQ.jpg,0,David Noy,
Night Scene,2005,"99, 18",A candid peek into the culture of male sex workers in Beijing.,zh,https://image.tmdb.org/t/p/w500/odLWmfPtQ6rHUWfaRA5nIS856nV.jpg,1,Zi'en Cui,
Mentira,2004,,"Raunchy thriller starring Martha Acuña, Veronica de la Campa and Jaime Gerner.",en,https://image.tmdb.org/t/p/w500/cfAgfC1zxwt47Yl1HTN04EOUDTr.jpg,5,N/A,
Vanity,2004,18,"Vanitas is the new feature film by veteran Portuguese director Paulo Rocha. With a script by Regina Guimarães, the film brings together actresses Isabel Ruth and Joana Bárcia – no strangers to this director's world – in a story about a depressed fashion designer who falls in love with the daughter of one her tailors.",en,https://image.tmdb.org/t/p/w500/apGeMnd7fskz2L4vj1afiIancNr.jpg,4.5,Paulo Rocha,Suma Filmes
107 Street,2004,,"Three vignettes, ""The Domino Players"", ""The Secret Miracle"" and ""point of View,"" are linked by telephone conversations being surreptitiously listened to by Marcos, the main character. Navigating the fine line between comedy and tragedy, ""107 Street"" not only richly illustrates the particulars of ethnic life in one pulsating New York City neighborhood, it explores that world's universality. Premiered at the 2004 New York International Latino Film Festival.",en,N/A,0,Antonio de la Cruz,
Ecuador vs. el resto del mundo,2006,99,"November 7th, 2001. After a seventy years absence, the Ecuadorian national soccer team is close to qualifying for the first time to a Soccer World Cup. This documentary follows the events that took place during that historic date, when a whole country lived under the shadow of a soccer game.",es,https://image.tmdb.org/t/p/w500/4z9Xa6vUpVs50Vf7nYz2W3sECVz.jpg,6,Pablo Mogrovejo,"Vista de Ojos Films, Gato Tuerto Producciones"
