Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Più bello di così si muore,1982,35,In Rome a man needing money become a transvestite prostitute.,it,https://image.tmdb.org/t/p/w500/4NPTZLBzKQmT4rv8cEOiVAkeAFq.jpg,3.2,Pasquale Festa Campanile,Filmauro
Plaché příběhy,1982,80,,cs,N/A,0,Zdeněk Flídr,Filmové studio Barrandov
The Plague Dogs,1982,"12, 16, 18","Two dogs, Rowf and Snitter, stuggle to survive in the countryside after escaping from an animal research laboratory. They are pursued by search parties and then the military after rumors spread that they could be carrying the bubonic plague.",en,https://image.tmdb.org/t/p/w500/97Z56DEjHNNQXOPW9s9rL15khjM.jpg,7.9,Martin Rosen,"United Artists, Nepenthe Productions, Goldcrest, Metro-Goldwyn-Mayer"
The Plains of Heaven,1983,"18, 53","Two technicians manning a tracking station on the Victorian High Plains pursue opposite ways of coping with isolation. The ageing Cunningham seems to be rejuvenated by and obsessed with the landscape, while the younger Barker withdraws into the interior and technical world of the station.",en,https://image.tmdb.org/t/p/w500/3wMJIBzKwxlTR120ZX2PKGEegNJ.jpg,0,Ian Pringle,"Seon Film Productions, Australian Film Institute"
Plainsong,1983,37,"Based on the diary of Sara Charity Karker. In 1874 three young women set off for Nebraska in search of fun, idealism and family ties. Over the next 12 years the harshness of the frontier, the lawlessness, work, illness and childbirth, wreak havoc in their lives.",en,N/A,0,Ed Stabile,Denali Films
Sweet Money,1982,35,"A man meets a former military service buddy who offers him a good deal. Money starts pouring in, but things change from one day to the next.",es,https://image.tmdb.org/t/p/w500/nPskchDZ8abXE3uajsktPw3IdAE.jpg,6.4,Fernando Ayala,Aries Cinematográfica Argentina
The Playgirl,1983,10749,"Laura Bond, the spoiled socialite wife of a publishing tycoon, spends her time having trysts with the up and coming artists she sponsors. Things get serious when she falls in love with an aspiring writer who works for her husband.",en,https://image.tmdb.org/t/p/w500/sTdG6coNH7Ktm9M340mQfSZMZzY.jpg,5.2,Roberta Findlay,Caballero Home Video
Poetry in Motion,1982,99,"More than 20 contemporary North American poets recite, sing, and perform their work. Early in the film, Charles Bukowski talks about the energy of poets and of a poem. These poets are the children of Walt Whitman and of Charles Olson, incantatory and oratorical, radical, sometimes incorporating contemporary political imagery. Black Mountain poets, the Beats, minimalists like John Cage, the wordless Four Horsemen, Tom Waits, and others capture aspects of poets as troubadours.",en,https://image.tmdb.org/t/p/w500/c3q4VXYKYc055N68qCwrrriwlOD.jpg,7,Ron Mann,
Poltergeist,1982,27,"Upon realizing that something truly evil haunts his home, Steve Freeling calls in a team of parapsychologists to help before it's too late.",en,https://image.tmdb.org/t/p/w500/4eMN3GANH5GG4kXdHkrTZEUuQ9M.jpg,7.1,Tobe Hooper,"Metro-Goldwyn-Mayer, Steven Spielberg Productions, SLM Production Group"
Polvo rojo,1982,18,,es,https://image.tmdb.org/t/p/w500/itetpfY3Gc7hsJ7aCNb4dponOYW.jpg,6,Jesús Díaz,
"Popolvar, Biggest in the World",1982,"10751, 14","A fairy-tale about knight honour, punished evil and tender love. Three royal brothers are put to the test in the fight with the king of the underworld in order to save captured princess, Láskykvet.",sk,https://image.tmdb.org/t/p/w500/85xqnYT6euMoM2rrzAzLsV0toa9.jpg,7.6,Martin Ťapák,"Taurus Film, Slovenská filmová tvorba"
Los pornoaficionados,1982,35,,es,https://image.tmdb.org/t/p/w500/oVBzYymvK1l2P3UtahyQ9UiXK04.jpg,6,Ismael González,ISMAEL GONZALEZ DIAZ
A Portrait of Giselle,1982,99,A Portrait of Giselle is a documentary film featuring Patricia McBride and Anton Dolin along with famous ballerinas who danced the role of Giselle in the past.,en,N/A,6,Muriel Balash,
"For 200 Grand, You Get Nothing Now",1982,35,"After getting screwed over by life (again), two losers decide that enough is enough. Using stolen ski masks and stolen toy guns, they take hostages in their local bank, holding them for ransom. Things go well until the hostages learn what's going on, and demand a piece of the action for themselves.",fr,https://image.tmdb.org/t/p/w500/9ZHuDYS8RBnjc3ZC67FNMruh25F.jpg,6.336,Édouard Molinaro,"Uranium Films, TF1 Films Production"
Pover'ammore,1982,18,"Carmelo and Maria have a baby girl. He wants a boy but another pregnancy would risk Maria's health. Eventually, Carmelo leaves Maria and she attempts to win him back.",en,https://image.tmdb.org/t/p/w500/tqEQmn1YqCGHfotV3qzilErmUCm.jpg,5,Vincenzo Salviani,DIC
"Go Ahead, Brazil!",1982,"80, 18","Mid-1970s. When the military regime's ""economic miracle"" and the victory of the Brazilian football team on the World Cup serve as a distraction for the persecution of opposition leaders by the political police of the dictatorship. Under this context, Jofre Godoi da Fonseca, an alienated middle-class man, is mistaken for Sarmento, a political activist he met at an airport prior to his assassination. He is then arrested for being ""subversive"".",pt,https://image.tmdb.org/t/p/w500/mrabMJb4AEnJinawd6iM0CMVXvw.jpg,7.4,Roberto Farias,"Embrafilme, Produções Cinematográficas R.F. Farias"
Prem Rog,1982,"18, 10402, 10749","Manorama, the daughter of a rich, orthodox family is married off, leaving her childhood friend Deodhar and his secret love for her, in despair. When tragedy befalls her, and traditions seem unfair, Deodhar must fight for what's right.",hi,https://image.tmdb.org/t/p/w500/z9jTOdLT2bRZbsmEO4O6DCiqsAM.jpg,7.2,Raj Kapoor,"R.K. Films, K.R. Films Pvt. Ltd."
The Prince Beyond the Seven Seas,1982,"10749, 10751, 12, 14","The merchant's daughter Constanze, begs her father to ask a lion for a favor. Her father approaches the lion who agrees to his request with one condition: that he send the first person he meets upon his return home to the lion's den. It is Constanze. Against her father's will she goes to the lion and discovers that he is an enchanged prince and that only a woman's love can release him from the spell.",de,https://image.tmdb.org/t/p/w500/p9z78PbcOn2QnDeUdMuLxmjQa4o.jpg,6.7,Walter Beck,DEFA
Prison très spéciale pour femmes,1982,53,Three girls are arrested under false pretenses and transferred to a small private prison that caters white slaves to rich sheiks.,fr,https://image.tmdb.org/t/p/w500/oMVHcTo2EJl250xfMjevVnhoTui.jpg,7,Gérard Kikoïne,Alpha France
Privileged,1982,18,"A story about a group of Oxford undergraduate acting students and their troubled lives while producing (and competing between themselves for a role in) a different version of the classic play ""The Duchess of Malfi"". Love, friendship and rivalry are all part of this intricate project, filmed on actual location in the Oxford University, the very first to achieve such feat.",en,https://image.tmdb.org/t/p/w500/8nhrKK4WwFnVDzBONiZNJQ7RYjf.jpg,0,Michael Hoffman,
Persecution,1982,"10752, 18","Two partisans, a man and a woman, try to escape a Nazi manhunt in the infernal landscape of WW2 Vojvodina.",sh,https://image.tmdb.org/t/p/w500/9R5JIz6eXr5pdT6XZ8WXhadnwPa.jpg,5.7,Predrag Golubović,"Neoplanta Film, Centar film"
Pronto... Lucia,1982,,,it,https://image.tmdb.org/t/p/w500/p7MfGRepF1d1enSQg9yjM2BYYaO.jpg,5.8,Ciro Ippolito,
Purple Haze,1983,18,It's dynamite stuff.,en,https://image.tmdb.org/t/p/w500/2UTLBIKnZLIPpg6mYe0ILGv5EbZ.jpg,5,David Burton Morris,Purple Haze
Santa Claus Is a Stinker,1982,35,"Two neurotics, working for a suicide hotline on the night of Christmas Eve, get caught up in a catastrophe when a pregnant woman, her abusive boyfriend, and a transvestite visit their office.",fr,https://image.tmdb.org/t/p/w500/jVFR1j0zUgRhgGDS26zHzXHBXVV.jpg,7.4,Jean-Marie Poiré,"Trinacra Films, Films A2, Les Films du Splendid"
Q,1982,"80, 27, 9648","New York police are bemused by reports of a giant flying lizard that has been spotted around the rooftops of New York, until the lizard starts to eat people. An out-of-work ex-con is the only person who knows the location of the monster's nest and is determined to turn the knowledge to his advantage, but will his gamble pay off or will he end up as lizard food?",en,https://image.tmdb.org/t/p/w500/hm5mvCN7IMAFjtkQwL4U1qwoJ4c.jpg,5.7,Larry Cohen,"Larco Productions, Arkoff International"
The Miracle Fighters,1982,"28, 35, 14","Two elderly Taoist priests, Chi Men and Dun Jai, who learn their magic from the same teacher always quarrel with each other. They provide mirth and expert kung fu tuition to young man who is mistakenly presumed to be the crown prince of the Imperial Court, missing since childhood. The emperor dispatches an eunuch with the magic powers to apprehend the young man. But he must first deal with Chi Men and Dun Jia who are the young man's protector.",zh,https://image.tmdb.org/t/p/w500/xnanVDWIhJ4Bgdg5PlvfDj3RwLl.jpg,7.3,Yuen Wo-Ping,"Peace Film Production Co., Orange Sky Golden Harvest, Paragon Films Ltd."
Qu'est-ce qu'on attend pour être heureux!,1982,35,"In this film that sends up the foibles of filmmaking, a standard crew of actors, stage-hands, director, writers, producers, and others are gathered for the filming of a 45-second automobile commercial. Each role embodies an archetype (the harried director who has a deadline to meet, the Scrooge production manager who has a budget to meet, and the writers who are above these mundane concerns), and these personalities drive the working actors over the edge until they decide to lock them up and do their own thing -- happiness can be just around the corner if you are in the driver's seat. Hopefully, the actors will be able to bow out before the police catch on to the situation.",fr,https://image.tmdb.org/t/p/w500/5wPPHE3PE6WvF6h1xgsD7d2fM0o.jpg,6,Coline Serreau,"UGC, Top n°1, Elephant Production"
The Forties,1982,"35, 18",A group of friends reunite after thirty years of separation.,fr,https://image.tmdb.org/t/p/w500/4XPTNc4TDtNUpig8fqXE05aeIQV.jpg,6,Anne-Claire Poirier,ONF | NFB
The Basileus Quartet,1983,18,"The lives of the surviving members of the Basileus Quartet, a chamber group that has been playing successfully around the world for more than 30 years, are turned upside down after the death of the leader, Oscar Guarneri. The three aging musicians decide to split up to pursue those pleasures they've denied themselves too long.",it,https://image.tmdb.org/t/p/w500/mHAh4t5QHEOirum0WnV7FSPd0kl.jpg,1,Fabio Carpi,"CEP, RAI"
Will the High Salaried Workers Raise Their Hands!,1982,"35, 18","The cynical boss of a big insurance agency invites his top-salary employees to spend a week-end in his country house. A modest clerical worker, also invited, discovers the hidden reason for this party - and decides to take advantage of it.",fr,https://image.tmdb.org/t/p/w500/3Wqlf5g5FO0KFmDzl9DnDlnJbCH.jpg,5.5,Denys Granier-Deferre,
