Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Mafia,2002,"28, 18, 10749","After his expulsion from the Military Academy, Hussain gets involved in mafia crimes abroad. Upon being deported to an Egyptian prison, and in order to give him a second chance to live a well meaning life, the Egyptian Intelligence Agency assign him with a secret mission. Hussain reluctantly accepts extensive bio-psychological training with a unique patriotic team who revive his love for his country.",ar,https://image.tmdb.org/t/p/w500/fzfCVpRAXcAQPsgiz2JSo9SIc12.jpg,6.8,Sherif Arafa,
Sleep Always,2002,,"Recorded entirely on super 8 film, Sleep Always tells the story of a lonely and isolated Canadian jazz musician who forms a friendship with Nada, a strange homeless girl, and his growing obsession with her.",en,https://image.tmdb.org/t/p/w500/mLhJumPkMx1HqIbEBIcL3MD2jQ2.jpg,5,Mitch Perkins,
Tennis with JLG,2002,99,"Documentary about two young Spanish filmmakers who challenge Jean Luc Godard to a tennis match, and in the way to the game, they will visit his colleagues, and friends in order to know him, and offer a new approach to his work and his personality.",es,N/A,6,David S. Truncheon,
Dazzling,2002,"18, 10749, 14",A beautifully-made film about two love-seeking angels and a lonely theater usher longing to return to the light.,zh,https://image.tmdb.org/t/p/w500/AgLumj7Gku7ql3hv0JTi6807aUp.jpg,4.8,Li Xin,
Mokka No Koibito,2002,,Japanese film directed by Jinsei Tsuji,ja,N/A,0,Jinsei Tsuji,
Zostane to medzi nami,2003,"18, 10749",,sk,N/A,0,Miro Šindelka,
My Father's House,2002,,"A quiet, young man coming to terms with the grief of the loss of his military father, to whom he was remarkably close.",en,https://image.tmdb.org/t/p/w500/7RBXd1jnyOvK2EhM1boRBwhOmTY.jpg,0,Larry Holden,Holden Automotive
The Pacifist Who Went to War,N/A,99,"This documentary is the story of two Mennonite brothers from Manitoba who were forced to make a decision in 1939, as Canada joined World War II. In the face of 400 years of pacifist tradition, should they now go to war? Ted became a conscientious objector while his brother went into military service. Fifty years later, the town of Winkler dedicates its first war memorial and John begins to share his war experiences with Ted.",en,N/A,0,David Neufeld,
Myth Makers 53: Patrick Troughton,2002,99,"Patrick Troughton was born and raised in North London. During a long and successful career he appeared in countless television dramas, including Doctor Finlay's Casebook, and The Old Curiosity Shop, plus feature films including Laurence Olivier’s acclaimed Hamlet.  But it is probably his role as the second Doctor Who that he will be most remembered for. Eccentric, childish, comic, whimsical... the list of facets within his portrayal is long and complex and this reflected much of Patrick’s own personality.  In this tribute Myth Makers we concentrate on what exactly made PATRICK’s second Doctor so successful. And for the first time we include an exclusive interview with Patrick shot at his only UK convention appearance at PanoptiCon VI! The only such interview shot in the UK.",en,https://image.tmdb.org/t/p/w500/icPyvQ2XolFP6AfWyenkZaoSJe5.jpg,0,Keith Barnfather,Reeltime Pictures
Hashish,2002,99,"A small village high up in the mountains of Ketama, Northern Morocco. The life of the people here has been shaped by the drug hashish for centuries. Hashish as daily work, hash as exchange currency, hashish as business, hashish as basis and philosophy of a social system, hashish as medium for dreams and hashish as reason for stagnation.",en,https://image.tmdb.org/t/p/w500/toOA2tLNTUv1ihn85tDAZZ384sO.jpg,5.8,Daniel Gräbner,"A-Atlas Filmproduktion, Rif Film"
