Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
I predatori delle Antille,1999,"12, 36, 10749","Sir Francis Hamilton, ambassador of King Charles II, sails from England to Jamaica where he has to sign a peace treaty with France. On the way to the Carribean his ship is attacked by a band of pirates, headed by the dreadfully renowned George Rackman. As soon as they discover the real identity of their prey, the predators kidnap Sir Hamilton to ask his wife a huge ransom.",it,https://image.tmdb.org/t/p/w500/2HB9gckyDX7ROPWVzhpfonSd6Pk.jpg,4,Joe D'Amato,IDRA MUSIC Srl
Kalaro,1999,18,"Kalaro: Directed by Dante Javier. With Ynez Veneracion, Hazel Espinosa, Rey 'PJ' Abellana, Gino Ilustre.",en,https://image.tmdb.org/t/p/w500/kSc5OkfgZEwh1DhBaaD9Y3kKQNh.jpg,0,Dante Javier,
Hummadruz,1999,99,"“Hummadruz” is the scientific term for certain mysterious unidentifiable sounds that come from the earth. They say that especially those who have left their homeland constantly hear these sounds. The first part of this film takes place in the arid land east of Turkey. Memories of a childhood romance, children’s games and laughter, sleeping with an ill mother, are sandwiched with close-up images of eyes wide-open, blood, fear, and tension. The second narrative half tells the story of a man and his infant son who for no apparent reason jump to their death off a bridge on the Bosphorus, and a wife who follows. Dramatizing a true story, the film expresses the desperation and frustration of those who had no choice but to migrate to Istanbul from their beloved homeland.",tr,https://image.tmdb.org/t/p/w500/2pcykgALJTYOPlHLPdYZTaJu53C.jpg,0,Hasan Karacadağ,Sifa Sin-u-ma Yapım
Şara,1999,"10751, 18, 10749",,tr,https://image.tmdb.org/t/p/w500/cGATlH5NYk2j5Glz7ub6j18PDT.jpg,0,Orhan Oğuz,
"Istanbul, My Love",2007,18,"Irini, a young Greek woman, comes to İstanbul to trace the roots of her family.",tr,https://image.tmdb.org/t/p/w500/8E5x9NOGF0zEcJF69kkBOorTaC8.jpg,7,Seçkin Yaşar,
Histórias do Flamengo,1999,99,The documentary shows a little of the history of popular Brazilian football and multi-sports club Flamengo.,pt,N/A,0,Alexandre Niemeyer,
Straight to the Top,1999,99,A behind the scenes look at the life and stand up comedy career of Chipps Cooney.,en,N/A,0,Jim McGorman,
Hundred Years,1999,"18, 10402","Gigi, an orphan boy adopted by Mario Merola, works as a clerk in a clothing store but cultivates within himself the dream of becoming a famous singer. Gigi is in love with the girlfriend of his employer.",it,https://image.tmdb.org/t/p/w500/z80afd8e1OLu6vcxH5eyvrN93Go.jpg,4.1,Ninì Grassia,Cinema & Television Company (CTC)
Dream Maker,1999,"10749, 18","Masato is a bad boy, but very in love with music. He meets a girl, Miki, who has serious diseases but is optimistic toward life. They start to work together in a CD shop and catch every chance to show their talents. Under the efforts of Masato, his company at last becomes an entertainment giant in Japan.",ja,https://image.tmdb.org/t/p/w500/uDINg9RlM1pcYiVw9UYfRA4T4wy.jpg,0,Hiroshi Sugawara,"TBS, Rising Production, Toei Company"
皇家香港警察的最後一夜,2003,18,,zh,https://image.tmdb.org/t/p/w500/b6jrFYqowmDH46JVlwgAJRuSOr2.jpg,0,N/A,
Arma letal 5,1999,35,,es,https://image.tmdb.org/t/p/w500/fvJM5bWui4Mq68nclXOGKJjsFJ7.jpg,4.5,Guillermo Jaime Alarid,
Los verduleros atacan de nuevo,1999,35,,es,https://image.tmdb.org/t/p/w500/uRZzMsfeSSXEprzpzpknzpXoc37.jpg,5,Víctor Manuel Castro,
Bill Gritón vs Mónica del Whisky,1999,,,es,https://image.tmdb.org/t/p/w500/wI7yqbYRCA3pbaGBHKlYLeGsaEM.jpg,5,Alberto Rojas,La Raza Mex Films
The Wall,1999,"10749, 18","The story of Kanphon, the son of a great politician, who meets Pailin, a young woman living in a poor community. giving him the opportunity to be close to people in the community until it can change the attitude that used to be towards these people But the relationship that turned into love for both of them was met with obstacles. both from Kanphon's family and from people in the community who know the truth about who he is must find a way to break the wall of hatred between classes this time.",th,https://image.tmdb.org/t/p/w500/kGkkt4MOxFt19WI0owVtjZCONdh.jpg,7,Takonkiet Weerawan,
Kon Jorn,1999,"18, 80","Daeng, a teenage boy loses his senses from the past when he sees his father, mother, and sister. Pete, were killed by his mother's adulterous man. Daeng lives on the streets of Bangkok, harassing people for days. by seeing everyone as a mother or family member.",th,https://image.tmdb.org/t/p/w500/uX48Iq15z3xFHesZLEGKPJViuIv.jpg,0,Attaporn Thihirun,Yuma Films
Los maistros albañiles,1999,,Mexican feature film,en,https://image.tmdb.org/t/p/w500/uiIUAwWYHwx6sULzS3TyAvfXLoT.jpg,5,N/A,
