Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Dravidan,1996,,Film by Bhanuchandran,ta,N/A,0,N/A,
Kaathil Oru Kinnaram,1996,"10749, 18",Hari is in love with Varsha. But they can't get married till Varsha's old sister Megha gets married first. Hari sets out with the help of his uncle and a wedding broker to find Megha a suitable match. They choose Mahesh who they try to setup with Megha. But circumstances from Megha's past surface which initially prevent their joining ; which Hari and Mahesh try to overcome.,ml,N/A,0,Mohan Kupleri,Akshaya Productions
Kanjirappally Kariachan,1996,,"Kanjirappally Kariyachen is a 1996 Indian Malayalam film, directed and produced by Jose Thomas. The film stars Janardanan in the title role, with Maathu, Vijayaraghavan and Biju Menon playing major roles.",ml,https://image.tmdb.org/t/p/w500/eOdJIQuforH7iv27CAFzoO0srrC.jpg,0,Jose Thomas,
Malayalamaasam Chingam Onninu...,1996,"18, 35",Preman is married to Rukumani and is a photographer by profession. He meets Appu's wife  Renuka during a photo shoot and tries to seduce her.,ml,https://image.tmdb.org/t/p/w500/eVcOSgM2mrsQ6Kqp93adTgK2uIy.jpg,8,Nissar,Ankith & Jisna Movies
El policía increíble,1996,,,es,https://image.tmdb.org/t/p/w500/eK4qKXw5LNTa1pbTMjespmsXUDP.jpg,5,Eduardo Martínez,
Vanarasena,1996,35,The story of two sibling astrologers in a village who splits on trivial reasons and competes with each other.,ml,N/A,0,Jayan Varkala,
Irattai Roja,1996,"18, 10751, 35","Uma marries Balu, an honest civil engineer. Uma thinks that he is rich and receives lot of bribes but turns out Balu is from the middle-class like her. Uma is a miser and dreams to become rich. After few years, they have two children. In the meantime, Priya, the daughter of Balu's boss Rajasekhar, falls in love with Balu and asks him to marry her unaware of Balu's marriage and his two children. Balu refuses to marry her as he was already married but she compels him. When Priya meets Uma, she offers her one crore rupees in exchange for marrying Balu. Uma immediately agrees and she starts forcing Balu for remarriage. Finally, Balu agrees with heavy heart as Uma threatens to commit suicide. Soon, Balu also starts falling in love with Priya. Uma slowly realizes her mistake and wants to get Balu back. The rest of the story is what happen to Balu, Uma and Priya.",ta,https://image.tmdb.org/t/p/w500/7InpRGfyIWSNMbqAQoNOGLhh7qq.jpg,0,Kothandam Ramaiah,Devi Kamal Films
Time. Pt. 1,1996,,Feature film.,en,N/A,5,Mark Zero,
Tragedi Oktober,N/A,,,ms,N/A,0,N/A,
Another Chinese Cop,1996,"80, 53","A man married to a beautiful young woman is pressured by her into staging a kidnapping to make some money, which puts him in conflict with his former kung-fu partner, who is now a policeman.",cn,https://image.tmdb.org/t/p/w500/lpj85SenZKny54NnrobGSA55yHH.jpg,3,Lam Yee Hung,
Boys?,1996,"35, 10749","Jaffee, Joey and Juek Juek Gai are three ""comrades"" (gay), each facing obstacles in their relationships.",cn,https://image.tmdb.org/t/p/w500/2JBkohufDadSsZtmam07E1KTaEg.jpg,1,Joe Hau Wing-Choi,Fruit Productions Co.
Perversión,1996,,,es,N/A,5,Sergio Véjar,
Sangre de indio,1996,,,es,https://image.tmdb.org/t/p/w500/tP0CY4IEccNdpIWKIkz1ESyee2n.jpg,5,N/A,
An Internal Affair,1996,18,"In the early 70s, a rather backwards young soldier with serious family problems finds himself stationed in a small village in Spain's Levante. Secretly in love with a young village girl, Pere slips into her room one night. When he is discovered, the soldier reacts with spontaneous violence, creating an embarrassing problem for the military that the brass decide to handle--expeditiously-- as ""an internal affair.""",es,https://image.tmdb.org/t/p/w500/kqFhGDtmdvFBPYcSOaghNlHVk1G.jpg,0,Carles Balagué,
