Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
A Tree Without Roots,2001,"35, 18","In this tragic-comic study of religious hypocrisy, a disreputable cleric convinces villagers that their community is home to a famous holyman's grave.",bn,https://image.tmdb.org/t/p/w500/aQsiw5ecLLBH8GF99e7RxCAPuGs.jpg,5.9,Tanvir Mokammel,"Kino-Eye Films, Maasranga Production Limited"
"Faith, Love and Charity",2001,,"Documentary film from writer/director Katrine Borre as she interviews, films, and travels with sailors around the globe.",en,N/A,0,N/A,
12 B,2001,"18, 10749","Unemployed Shakthi Singh lives a poor lifestyle along with his widowed and ailing mother and a sister. His mother falls ill and gets admitted in hospital. While on his way to an interview with HSBC, Shakthi sees a beautiful girl, gets distracted and misses his bus - route No.12B. As a result he misses the interview, and ends up getting employed as a Garage Mechanic with Madan, his friend. He does meet with the same girl, gets to know her name is Jyotika, who lives a wealthy lifestyle with her mother, Sulo, while her dad is away on business. Both continue meeting not aware that her marriage has been arranged with Pratap. This story also depicts the possibility of Shakthi catching the 12B on time, attending the interview and getting hired, pursuing Jyotika in vain, and ending up in the arms of his co-worker, Priya. Both possibilities end up with Shakthi getting involved in a vehicle accident - and no guarantees that he will survive or wed Jyotika.",ta,https://image.tmdb.org/t/p/w500/75Pq4aabWWQo2T3X2Zb9ifOWAxn.jpg,5.7,Jeeva,"Film Works, Pyramid Saimira"
Dhill,2001,"28, 18","Velu's only dream is to become a police officer. One night after having dinner at a restaurant near the beach, Velu goes to pay the bill leaving his girlfriend Asha behind. At that moment, a police officer drinks and urinates besides Asha. Irritated, she scolds him. He attempts to rape her but is beaten up by Velu severely and receives a scar on his face. Angered by this, he seeks revenge against Velu.",ta,https://image.tmdb.org/t/p/w500/czukGGA4GYvJYQVFMjP0flvjRft.jpg,5.3,Dharani,
Nandha,2001,"18, 80, 10749","Nandha returns after serving his term for killing his father. Although he killed him to save his mother, she does not forgive him. He is then taken in by Periyavar, who shelters Sri Lankan refugees.",ta,https://image.tmdb.org/t/p/w500/fl7I3LPqyMU1HjeHxxTt0bCDUHk.jpg,6.9,Bala,Aparajeeth Films
Regarde-moi,2001,"18, 53","A man writes a play, hoping that it will help him understand the dramatic events his son lived in Greece.",fr,https://image.tmdb.org/t/p/w500/ifrEXbkjsiFzL8uxOX2EPteDeZN.jpg,5,Frédéric Sojcher,"Ciné-film, Prima Vista, RTBF"
Roberto Rossellini: Fragments and Jokes,2001,99,"Documentary about master director Roberto Rossellini, who tells details of his life and childhood and visits the places where he has lived and shot some of his most famous movies.",it,https://image.tmdb.org/t/p/w500/nBAFO1Ey7pbQPDHMlPDFTMNSU07.jpg,6.5,Carlo Lizzani,
The Virgin Wife,2001,,"Paula (Piel) lives under a curse that any man who will marry her will die on her wedding day. She grew up with three childhood friends: Steve, a businessman; Jason, a police reporter; and Norman, a police detective. She married all of them and they all died. Now she is offered another wedding proposal",en,https://image.tmdb.org/t/p/w500/8eKQ2xxGFzttiQPwSfsW1rg6Vvt.jpg,0,Jose N. Carreon,
Die Alive,N/A,,,fr,N/A,0,N/A,
Cara prestada,2001,,Mexican feature film,es,N/A,5,Roberto Flores,
Cockfight,2001,99,"COCKFIGHT is a voyage into the underground world of rooster fighting. The film chronicles the harrowing and hilarious adventures of three wildly different characters. The first, Manuel, is a salty 73-year old who attends illegal cockfights in California and fights to preserve the ancient but embattled sport. The second, Clara, is a vibrant Latina who was forced to quit cockfighting when the sport was outlawed in Arizona. The third, Larry, is a firebrand ex-patriot exiled to Mexico where he fights roosters for a living. Cockfight pierces the veil of secrecy that cloaks this enormously popular yet controversial activity. By bringing you in contact with people whose daily lives are defined by cockfighting, the film seeks to demonstrate how people can draw meaning, value and humor from something many see as savage and barbaric.",en,https://image.tmdb.org/t/p/w500/8h72XJjpLomMoe7Ulbk0d23R3h7.jpg,2,Tiller Russell,Angry Young Ranch
The Waiting Place,2001,53,"Two escaped convicts hold up in a desolate psychiatric hospital while they await their ""ride to freedom"". Having little to do but talk about their past crimes, a growing conflict develops, enhanced by the dark mood of the grim setting. The desolate hospital effectively becomes a character in this slow building psychlogical thriller, leading to a bloody, not totally expected ending.",en,https://image.tmdb.org/t/p/w500/6a4RyO4tGhZfyvcbEnpnR5rm4em.jpg,3.8,Cristobal Araus Lobos,
Love Is Not Enough,N/A,,DV Indie filmmaker due to shoot promo for unsigned Welsh pop group takes the money and uses it to finish the film he's been working on for 5 years.,en,https://image.tmdb.org/t/p/w500/tKrw3MYmQXISknhKCO85Ix4ldPo.jpg,0,Mark Norfolk,
Nuria y el fantasma,2001,,,es,N/A,5,N/A,
Pedal,2001,99,"Pedal is a fast-paced documentary film about surviving in the streets of New York City as a bicycle messenger. It features messengers from all walks of life as they battle traffic in a race to make their next delivery on time. Directed by Sutherland and produced by Ana Lombardo, Pedal the documentary lets viewers live the spectacle of the delivery itself. It premiered in 2001 at the South by Southwest film festival, and was later acquired by the Sundance channel, where it aired until 2004.",en,https://image.tmdb.org/t/p/w500/70fdpofdr5gvBQAcvekA8VwNo6U.jpg,7,Peter Sutherland,"Fractured Media Inc., Cinema Capital"
Girls Only,2001,99,"Suddenly grown-up or just shortly before – Julia wants to change herself, Marina wants to become a cop, Ojun is on her way in a long-term therapy, Jenny is Franks girl-friend and Stefanie has taken charge of her life by herself. Five girls from the eastern areas of Berlin between week-ends in discos, the daily life in the school, family and friends. A documentary about the first steps towards an independant life, about actions causing seperations, about love, money, death and the longing for happiness.",de,N/A,0,Elke Hauck,
Niños y Criminales,2001,18,,es,https://image.tmdb.org/t/p/w500/luGotdO3k0tWDiuz7k20LKHOfDB.jpg,5,Raymundo Calixto Sánchez,
