Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Dead Space,1991,"878, 27","In this loose remake of ""Forbidden World"" (1982), Commander Krieger and his robot companion Tinpan are summoned by a distress call to a research facility on the planet Phaebon, and soon find themselves battling a bizarre virus and a monstrous creature inadvertently created by the scientists there.",en,https://image.tmdb.org/t/p/w500/v0zd6iubTjBuf8X5UAHeYHwJzD.jpg,3.6,Fred Gallo,Concorde Pictures
Dead Women in Lingerie,1991,53,A private detective is hired to catch a serial killer who makes immigrant garment workers his victims.,en,https://image.tmdb.org/t/p/w500/iVsFV67B6Bu02fz7QnPVbSL3ia8.jpg,5,Erica Fox,
Dead to the World,1991,18,Two women battle for control of an inner-city boxing school.,en,N/A,0,Ross Gibson,
Deadly Currents,1991,,"The film focuses on Gaza and the West Bank where soldiers and youths are caught up in the Intefada, and on the clash of history and ideas in regions to which both peoples have historical claims.",en,https://image.tmdb.org/t/p/w500/BC9ukp3Pc3nY5xQKoVC7rPeMm4.jpg,0,Simcha Jacobovici,"CITY-TV, Cineplex Odeon Films, Ontario Film Development Corporation, Téléfilm Canada"
Deadly Deception,1991,"18, 53, 9648","After receiving numerous death threats, the millionaire father of a young woman hires a private detective.",es,https://image.tmdb.org/t/p/w500/wGkG1S0IVvFZEiaYEFTIkor4EGS.jpg,6,José Antonio de la Loma,"Golden Sun, Manuel Salvador, Racing Pictures"
Death on the Job,1991,99,"A revealing look at how workers' safety is being compromised with tragic results. Interviews with accident investigators, co-workers, and victims' families detail the causes and consequences of accidents, while extensive news footage and home videos taken by accident survivors and family members expose the hazards of such industries as commercial fishing, construction and chemical refineries. An indictment of inadequate governmental safeguards, this important film makes a plea for the protection of workers.",en,https://image.tmdb.org/t/p/w500/d7JKD0zvlEaaGapVfvI9jCrrFDU.jpg,6.8,Vince DiPersio,
Deceived,1991,53,"The murder of a museum curator places art dealer Jack Saunders under suspicion for selling forged treasures to museums. When Jack suddenly dies in a car crash, his wife Adrienne tries to discover what he did on her own. She finds that she knew little about the man she was married to. The more she learns about her husband's possible illegal activities and double life, the more she places her daughter, and herself, in grave danger.",en,https://image.tmdb.org/t/p/w500/hL6iFhKp4C3EsAdMHKdABrOiSHl.jpg,5.7,Damian Harris,Touchstone Pictures
December,1991,18,"In December of 1941, five teenage boys at a New England prep school hear the news of the bombing of Pearl Harbor and realize their lives are going to be changed forever.",en,https://image.tmdb.org/t/p/w500/dIhGCl0uBAn4XMaPzQrmiZbbCj3.jpg,5.1,Gabe Torres,IRS Media
Defending Your Life,1991,"35, 14, 10749","Is there love after death? After he dies suddenly, the hapless advertising executive Daniel Miller finds himself in Judgment City, a gleaming way station where the newly deceased must prove they lived a life of sufficient courage to advance in their journey through the universe. As the self-doubting Daniel struggles to make his case, a budding relationship with the uninhibited Julia offers him a chance to finally feel alive.",en,https://image.tmdb.org/t/p/w500/dYYxTwOvlMPPUFGvwTxIcM2P4QZ.jpg,6.9,Albert Brooks,"Geffen Pictures, Warner Bros. Pictures"
Delicatessen,1991,"35, 878, 14","In a post-apocalyptic world, the residents of an apartment above the butcher shop receive an occasional delicacy of meat, something that is in low supply. A young man new in town falls in love with the butcher's daughter, which causes conflicts in her family, who need the young man for other business-related purposes.",fr,https://image.tmdb.org/t/p/w500/gNtOgQHxE5B8e08zuNRAdDpmK5Z.jpg,7.3,Jean-Pierre Jeunet,"Victoires Productions, Constellation, Hachette Première, Sofinergie Films, Sofinergie 2, Investimage 2, Fondation GAN pour le Cinéma, UGC Films, Constellation Entertainment, Union Générale Cinématographique"
Delirious,1991,"14, 35, 10749",A soap opera writer gets hit on the head and wakes up as a character in his own show.,en,https://image.tmdb.org/t/p/w500/Irafvzuw1lkJfBrsPv7ahYOPq9.jpg,5.6,Tom Mankiewicz,Metro-Goldwyn-Mayer
Delta Force 3: The Killing Game,1991,"28, 12",A terrorist places an atom bomb somewhere in an American metropolis. The president of the U.S. has no other choice; he has to call Delta Force.,en,https://image.tmdb.org/t/p/w500/eGhzHpZdPuUrkcrVyKkTkELx2EV.jpg,3.3,Sam Firstenberg,"Global Pictures, The Cannon Group"
Delusion,1991,80,"In this fast-paced, noirish road movie, a computer expert embezzles half a million dollars and races off to Reno to start anew. Unfortunately, en route, he picks up a pair of hitchers and ends up entangled with a crazed couple who commandeer his car and leave him alone in the desert to die. As soon as he can, he hits the road to get revenge and to find his money before they do.",en,https://image.tmdb.org/t/p/w500/q6oyVAKQXh9Ci5WFwGF3HaByvVY.jpg,4.9,Carl Colpaert,Cineville
The Savage Woman,1991,18,"Marianne, a young Canadian nurse living as an expatriate in Switzerland, is traumatized by a violent incident and becomes lost in the Alps. In time, a Swiss engineer working in the mountains discovers her; he gives her a place to stay and slowly gains her trust as she regains her health. However, he soon discovers she's wanted by the law, and circumstances become difficult for him as he tries to hide her from the authorities.",fr,N/A,5.5,Léa Pool,
The Last Marranos,1990,99,"Despite being forcibly converted to Christianity in 1497 many of the Jews of Portugal continued to practice Judaism in secret. Today, residents of the village of Belmonte practice an amalgam of Christian and Jewish rituals.",fr,https://image.tmdb.org/t/p/w500/aS2xxZJrkMeqEmUEsIxQ5mJWGvh.jpg,0,Frédéric Brenner,"Les Films d'Ici, La Sept-Arte"
Detective in the Shadow,1991,,"Lightweight romantic action/comedy about the unlikely relationship between an undercover cop and a club hostess named Miss Witty, the Queen of Silver.",en,N/A,0,Lai Guo-Jian,
Ilona & Kurti,1991,35,"Kurt Schneider is a superficial and funloving character. Instigated by his mother he swindles his way into the legacy of a house and some money. Both Kurti and his mother are certain there are no legal heirs to the property. Great is their surprise when Ilona appears, who is the legal heiress coming from a remote part of Yugoslavia. Several attempts to get rid of that ""Tschusch"" prove unsuccessful. Once Mama Schneider gets to know that Ilona is also the beneficiary of a sizable life assurance contract, she destines her son to marry Ilona. While trying to double-cross Ilona, Kurti actually falls in love with her. Now it is Ilona's turn to take vengeance  on mother Schneider and to prompt Kurti to take a clear-cut decision...",de,https://image.tmdb.org/t/p/w500/eIlYzIJW4TfkaA7icHFkbqEbowZ.jpg,2,Reinhard Schwabenitzky,"Wega Film, SK-Film"
"Deutschland, Deutschland",1991,99,Documentary about post-reunification Germany,de,N/A,0,Peter Fleischmann,
Forbidden Arsenal,1991,28,Hong Kong policewoman Yeung teams up with Taiwanese and Mainland officers to take down a gunrunning ring.,zh,https://image.tmdb.org/t/p/w500/Y3E9uxkUD0FTkQElqk5GfcpFdh.jpg,4.9,Yuen Jun-Man,"D & B Films, D & B Film Distribution (Hong Kong), Media Sound"
"The Devils, the Devils",1991,18,"Even in Poland today, Gypsies are viewed with profound suspicion -- not that things are that much better for them anywhere else in Europe. In this coming-of-age drama, Mala, an ordinary Polish girl who is about thirteen years old, is just beginning to wake up to the world around her. When she hears the adults of the village making disparaging remarks about Gypsies, that's exactly what it takes to motivate her to go out and visit them. She has a rich and rewarding encounter, until the authorities come into their camp to drive them off. No one is harmed, and Mala's life has been changed for the better by her adventures.",pl,https://image.tmdb.org/t/p/w500/MH1UASlKtcek3aXp6I5s2a6TF0.jpg,5.8,Dorota Kędzierzawska,"Zespół Filmowy ""Indeks"""
Diary of a Hitman,1991,80,"A veteran hitman, Dekker is ready to call it quits and leave the profession. His final job, however, proves to be trickier than expected when a sadistic man recruits the assassin to kill his wife, Jain, and their baby, but he can’t bring himself to do the job, complicating all of their lives.",en,https://image.tmdb.org/t/p/w500/2sJY7WJWd78E3uGKONV9vgeWEpp.jpg,5.1,Roy London,"Continental Film Group Ltd., Vision International"
