Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Annie Sabungera,1982,35,"This is a story of the adventures and misadventures of Annie Sabungera, a young lady who seems to have a never-ending supply of suitors and trouble.",tl,https://image.tmdb.org/t/p/w500/i2sTjZjWwbCXEAsNTXQHE614e8B.jpg,0,Pablo Santiago,GPS Film Productions
Desejos Sexuais de Elza,1982,18,,pt,https://image.tmdb.org/t/p/w500/iioxfoMzxqnjZTrqcxug6gN0Cxk.jpg,2,Tony Vieira,
Mar do Pecado,1982,18,,pt,https://image.tmdb.org/t/p/w500/aBb6OxZI2k52jFgxYVE3ClkmrWi.jpg,0,Roberto Mauro,Battaglin Produções Cinematográficas
Ang Panday... Ikatlong Yugto,1982,"28, 14, 12",The arrival of foreign created with an eye on the sky and came to conquer the world with the aim to return in the next life the Lord of Darkness Lizardo.,tl,https://image.tmdb.org/t/p/w500/g1CkF2qTK4e9xRIeyTLIEIY0nqz.jpg,0,Fernando Poe Jr.,FPJ Productions
Suzy... Sexo Ardente,1982,,,pt,https://image.tmdb.org/t/p/w500/lUfhcsFhBwZwvrtrtpiCMtN0Owu.jpg,0,Tony Vieira,
Teri Kasam,1982,,"A rich girl falls in love with an aspiring musician. However, after they marry, their egos cause them to drift apart.",en,https://image.tmdb.org/t/p/w500/xsB049So04faTMfyBXdivEBRss3.jpg,4,N/A,
Simla Special,1982,18,"Two friends, Gopu and Babu, own a troupe that performs comedic plays. When Babu faces a financial crisis, the two friends decide to accept a commission and perform for the Tamilians in Shimla.",ta,https://image.tmdb.org/t/p/w500/8hHwg4dWioUdDUvayzY1XTxRTW7.jpg,5,Muktha Srinivasan,Muktha Films
The Impossible Kid,1982,"80, 35, 28","Weng Weng plays an agent, code-named “00” who works for the Manila branch of Interpol. The Chief sends him in pursuit of an arch villain, Mr X, whose white sock covered head is reminiscent of the Ku Klux Klan’s pointed hoods. When Mr X holds the Philippines for ransom two businessmen, Maolo and Simeon, pay his demands. Weng Weng suspects foul play and goes deep undercover to reveal the true identity of the mysterious Mr X.",tl,https://image.tmdb.org/t/p/w500/478IpJI0Ty6xVVZZIOSOdUg3irT.jpg,4.3,Eddie Nicart,Liliw Films International
Sun Sajna,1982,"18, 10751, 10749","Basanti falls in love with Raj, a famous singer, but doesn't express her feelings to him. Problems arise when Gopi, Basanti's childhood friend tries to create misunderstandings between her and Raj.",hi,https://image.tmdb.org/t/p/w500/dSs3pAINby0vFejD7kOEwlpzgy1.jpg,0,Chander H. Bahl,Rajshri Productions
Little People,1982,,Documentary about dwarves and dwarfism.,en,N/A,0,Thomas Ott,
Stay with You,1982,18,A well to do woman in the country wants a husband and an apartment in the city. But thibg do not turn as planned.,ro,N/A,5.3,George Cornea,Casa de Filme 4
Sangkuriang,1982,"9648, 14, 28, 27","After swearing an oath to marry the one who picks up her weaving stick, Dayang Sumba embarks on an unexpected romance with a royal staff member.",id,https://image.tmdb.org/t/p/w500/xCsmjUv4ObOcjHW8CfJ8OImlrsW.jpg,0,Sisworo Gautama Putra,Rapi Films
Taxi!,1982,99,"This feature documentary studies one of the city’s most visible yet most anonymous character: the taxi driver. Filmed by day and night, the film offers an entertaining and sometimes comical look at the drivers, fleet operators and dispatchers who are expected to deliver passengers, parcels… and even babies.",en,https://image.tmdb.org/t/p/w500/eF9qc8hQBcoKhiK459j58jAqyZX.jpg,6,Barry Greenwald,ONF | NFB
Depravação II,1982,,,pt,https://image.tmdb.org/t/p/w500/w3f6pmHL1AcWZ2mRVDTtr55m0ZX.jpg,0,Élio Vieira de Araújo,
