Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Thousand Centipedes,1987,"27, 14, 28","Swordfights, disturbing midgets, kung fu, black magic, killer centipedes, zombies, special effects rivalling the Turkish Evil Dead.",id,https://image.tmdb.org/t/p/w500/f50GSemQ1GKdzHi15uaEsEdjaTh.jpg,10,Imam Tantowi,
"Kid, Huwag Kang Susuko",1987,"35, 28","Once a renowned karateka, Sawi veers to a quiet life, teaching karate to a handful of slum kids.",en,https://image.tmdb.org/t/p/w500/5h3rYuWZ5WJEO5yEJck3GWmy0BY.jpg,0,Peque Gallaga,Regal Entertainment Inc.
Invasion of the Mindbenders,1987,"878, 35","Two ""Normal"" teenagers - they cut classes, get into fights and are never far from their Walkman headsets - notice a sudden change in their fellow students. No one is able to explain this zombie-like behavior which, at the command of an unseen alien, makes them punish transgressors with merciless violence.",en,https://image.tmdb.org/t/p/w500/ApIg8I3LPgjveDbDjIBfNAMKkii.jpg,4.2,Genie Joseph,
Death of a Model Girl,1987,9648,,zh,https://image.tmdb.org/t/p/w500/umdTw1oFl87G03HOGGDAtR3QpCm.jpg,7,Erji Guangbudao,Changchun Film Studio
Shi Lian Zhe,1987,18,Geng Er returns to China from the United States in the 1960s and even the Cultural Revolution does not diminish his patriotism.,zh,https://image.tmdb.org/t/p/w500/2BLkZMyoaS9vxrQgwt4K8GFeOi1.jpg,0,Qin Zhiyu,
Death and the Maiden,1987,18,"Tian Geng suffers from liver cancer and is told he has less than three months to live. A former lover takes care of him at the hospital, but he is unconsolable. However, his outlook changes when he meets a girl at hospital who lost her leg to disease at a young age and is in danger of losing her other leg, and has also lost all hope.",zh,https://image.tmdb.org/t/p/w500/gfAwsFmtf9qgIgg905P19mv9A8W.jpg,0,Lin Hongtong,Youth Film Studio of Beijing Film Academy
Si wang ji zhong ying,1987,"10752, 18",,zh,https://image.tmdb.org/t/p/w500/t2Gb3b7jjGcWCrU00kH2Mg2sbyj.jpg,0,Yan Jizhou,August 1st Film Studio
7 Tiger Man,1987,"27, 28","A horror film based on mysticism, Gumara comes to the village of Kumayan to become a teacher. He is also looking for his biological father. Since his arrival, he has to face many strange things. Even a visit to Lebai Karat causes Gumara to deal with a tiger demon. Fortunately, Harwati, the daughter of Lebai Karat, comes to help. Then it is learned that Gumara has a similar power to hers. Harwati falls in love with Gumara, and so does his smartest student, Pita Loka. It is later discovered that Gumara is the illegitimate child of Lebai Karat. Gumara wants to conquer the power of the tiger demons. Learning this intention, six other tiger demons get involved. Five of them attack Gumara, who is defended by his father, Lebai Karat. Within its genre, this film might be considered one of the best.",id,https://image.tmdb.org/t/p/w500/m6fcYKVArIIJIt4LDoiQhvhcKVu.jpg,0,Imam Tantowi,PT Kanta Indah Film
Dangerous Honeymoon,1987,"80, 9648",A husband is called back to emergency duty from his honeymoon and his bride investigates the sudden death of a couple also on their honeymoon.,zh,https://image.tmdb.org/t/p/w500/qi8ACT7sXQxtX5pJAIkR9FGzloS.jpg,0,Sai Fu,Inner Mongolia Film Studio
Yu wang san jiao zhou,1987,18,,zh,https://image.tmdb.org/t/p/w500/xdjVGxjEAObpdyCYpRu1Xyej1Zu.jpg,0,Lei Rong,Changchun Film Studio
Bie jiao wo ba li,1987,18,,zh,https://image.tmdb.org/t/p/w500/67aB0pIQdig5pF4NzNZlnVWtAua.jpg,0,Hui Zhang,Changchun Film Studio
"""Guys Who Never Learn"" Part 2",1987,35,"Sequel to ""Guys Who Never Learn"".",ja,https://image.tmdb.org/t/p/w500/1HaqcPxiumKastGUMJz1byb1hn1.jpg,6,Norifumi Suzuki,
El juego de la muerte,1987,,,es,https://image.tmdb.org/t/p/w500/4EtdSlvmwfRmEX2TAeyaTgJBVWu.jpg,5,Alfredo Gurrola,
Pyar Ki Jeet,1987,"35, 18","The story surrounds the lives of Dr. Rehman (Shashi Kapoor) who believes in saving the lives of the poor, instead of opening up a clinic in a big city and making money; Soni (Rekha), an innocent village girl, who was abducted by dacoits during her marriage with Dharma (Puneet Issar), and when the police rescue her and bring her back to her groom, he and his family reject her, making her seem like a fallen woman; Dr. Kumar (Ashok Kumar) who is the very opposite of Dr. Rehman; and Dr. Anand (Vinod Mehra), the son of Dr. Kumar. Dr. Anand practices under Dr. Rehman, who testified for him during a criminal trial for malpractice which resulted in the death of the husband of Rani Sahiba (Moon Moon Sen). Soni has fallen in love with Dr. Anand, but Dr. Anand has strong reservations against her, due to her background.",hi,https://image.tmdb.org/t/p/w500/yzTMJHpSe209qzPUiMSs2qr4KT4.jpg,5,Saawan Kumar Tak,
Warten auf Marie,1987,18,,de,N/A,0,Gisela Stelly,
Eight Women Fighters,1987,"10752, 36",Women soldiers of the Volunteer Army battle the Japanese in Northeast China in 1936.,zh,https://image.tmdb.org/t/p/w500/4pZ1Z1hp5bPL8phf5opoqBqkuvD.jpg,5,Yang Guangyuan,August 1st Film Studio
Er Zi Has a Little Hotel,1987,"35, 18",A group of young people have problems operating a small hotel.,zh,https://image.tmdb.org/t/p/w500/o0XaBTXH6c4byfE9MLIdPtMxzGV.jpg,7.7,Wang Binglin,Youth Film Studio of Beijing Film Academy
I Will Not Make Any More Boring Art,1987,99,"This is an interesting little documentary about the Nova Scotia College of Art and Design, which was apparently one of the global hotbeds of experimental/avant garde art- particularly video art- back in the 70's &amp; 80's. MacGillvary interviews a number of the artists that were formative to the program. Many of whom would go on to become teachers at the school.",en,https://image.tmdb.org/t/p/w500/55uvOcGUJsHsUGp4SP4xa7OKxbE.jpg,5,William D. MacGillivray,
逃港者,1987,18,,zh,https://image.tmdb.org/t/p/w500/14gngncsN3m44F0xKqiK0kZJNZr.jpg,0,Liang Zhang,Pearl River Film Studio
Scale Model Sadness,1987,18,"Jeannot has Down’s Syndrome. Living in a claustrophobic suburban setting, he is treated like a child by his parents and denied any responsibilities of his own. Things change when a young woman named Pauline is hired to take care of Jeannot, and his world opens up beyond the restrictive one imposed upon him.",fr,N/A,0,Robert Morin,"Coop Vidéo de Montréal, ONF | NFB"
Casa de citas,1987,,,es,N/A,3.7,N/A,
Dheeran,1987,18,,ml,N/A,0,K. S. Gopalakrishnan,
The Black Cat,1987,"28, 18","Drug-trade movie, in the pelicula-ranchera style.",es,https://image.tmdb.org/t/p/w500/69BxI8p3v8G6MfT4snfT2pNKTi3.jpg,6.5,Rafael Pérez Grovas,Cinematográfica RA
