Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
El juego más divertido,1988,35,"Two popular television actors, Ada and Bruno, are filming "" Hotel de Fez "", a popular and popular television series that upsets the lives of its two protagonists. Together they will initiate a romance behind the small screen very particular since there will be no time or way to consummate it, which will cause a tremendous tangle sown with nonsense.",es,https://image.tmdb.org/t/p/w500/u5wAaNw14KBBgCfHdj6NixSrbCQ.jpg,5.3,Emilio Martínez Lázaro,"Producciones Kaplan S.L., TVE"
Juillet en septembre,1988,53,Juillet is a young orphan girl who returns to the town she was born in to find her mother. She tries to befriend her yuppie neighbors Marie and Jacques with comic consequences. The thrilling part (supposedly) of the film finds Marbas as a timid psycho killer who targets pretty young women.,fr,https://image.tmdb.org/t/p/w500/ep2RmEHP1K5mwMOIqzPotAjIy17.jpg,1,Sébastien Japrisot,
Jungle Rats,1988,"10752, 28",The American army sets up a special force to free two American officers who were captured by the Vietcong in Vietnam in 1976.,en,https://image.tmdb.org/t/p/w500/htpYQeLAKQfBxdp2GcYk1fJOY1f.jpg,5,Teddy Chiu,Pacific Media Film Group
"Where, Gentlemen, Where Are You Going?",1987,"35, 18","A story of Jan Kolvara, forty years old architect, who is a little bit too obsessed with women in his life.",cs,https://image.tmdb.org/t/p/w500/CWpdc8YYWru3V2yaP78pImG3M1.jpg,5,Karel Kachyňa,Filmové studio Barrandov
Kamikazen (Ultima notte a Milano),1988,35,"A group of comedians are trying to be successful on stage. One night an important television network organises a public variety show to sort out some performers for their programs. Every one of them will try their hardest, but just a few will be chosen.",it,https://image.tmdb.org/t/p/w500/tUeWOy9YTjXaCwcr1Idb329yy1z.jpg,5.6,Gabriele Salvatores,"Reteitalia, Eurovision 5743, Colorado Film"
The Cat,1988,"53, 80","Two bank robbers hold the clerks hostage and demand 3 million German marks as ransom. What the police do not realize is that the true criminal mastermind watches them from outside the bank, anticipating every move.",de,https://image.tmdb.org/t/p/w500/gBHwbN1I6SXLNVVyMtoeMJh2mYh.jpg,6.5,Dominik Graf,"Bavaria Film, ZDF"
Cry and Cry Again,1987,18,"1958, Budapest. Gerencsér is a skilled worker at the abattoir, his wife left in 1956. They falls in love with the beautiful Mrs. Hász at the personnel management department, but they only date secretly because of a former relationship of Mária. They go on holiday and travel to the Mátra, just the two of them.",hu,N/A,0,Zsolt Kézdi-Kovács,
I Love Cinema,1988,18,"The manager of a small provincial cinema finds her lost son, and he tries to save the movie theater.",pl,https://image.tmdb.org/t/p/w500/Ju3KAOae2ifBxqTUqFtGx7EUpG.jpg,7,Piotr Łazarkiewicz,"Studio Filmowe im. Karola Irzykowskiego, Zespół Filmowy ""Dom"""
Team 33,1987,18,"A regular military call-up. Young guys, having got call-up papers and having passed a medical board checkup, enjoy themselves and spend the last days of freedom in different ways: some in discotheques, some in a company of friends outdoors, others are even carousing and scuffling. A colonel Nikitin (Yu. Nazarov) with a group of officers is ordered to accompany conscripts future marines - in a special train to the military service place, situated in the Far East. The whole trip takes several days. Right here, in the train wagons, with no dads and moms round, young conscripts are in for showing their worth and gaining their first experience of real army life.",ru,https://image.tmdb.org/t/p/w500/6UWw4gCaZhLlBnF8vkK7CvBt3Sm.jpg,6.8,Nikolai Gusarov,Sverdlovsk Film Studio
The Peacock King,1988,"27, 14, 878, 28","Coerced by the evil Witch Raga, Ashura, the Hell Virgin, attempts to unlock the four Earth holes that lead to the Gates of Hell. Together, Raga aims to control the Earth. However, two monks skilful in magical powers set off on a journey to the cities to obstruct Ashura from unlocking the gates and stop Raga. Otherwise, not only will control of the Earth be at stake, but the King of Hell will resurrect and darkness will overcome the world.",cn,https://image.tmdb.org/t/p/w500/cwA3VBmandmI4c0Z2BdVCalvo5i.jpg,6.6,Lam Ngai Kai,"Orange Sky Golden Harvest, TOHO, Paragon Films Ltd."
