Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Air Bud,1997,"35, 10751",A lonely boy befriends a stray dog who has a natural talent for basketball and together they experience the highs and lows of life as their friendship remains solid through a series of escapades.,en,https://image.tmdb.org/t/p/w500/kDfzh6QdX2tseTwwyB7lp2RP7iE.jpg,5.569,Charles Martin Smith,"Walt Disney Pictures, Keystone Pictures, Air Bud Entertainment"
Air Force One,1997,"28, 53","When Russian neo-nationalists hijack Air Force One, the world's most secure and extraordinary aircraft, the President is faced with a nearly impossible decision to give in to terrorist demands or sacrifice not only the country's dignity, but the lives of his wife and daughter.",en,https://image.tmdb.org/t/p/w500/vE0Yl8oc4bfFuoGH30IORxQ6e9A.jpg,6.481,Wolfgang Petersen,"Radiant Productions, Beacon Pictures, Columbia Pictures"
To Love,1997,"18, 10749","Mitsu works in a factory and has a crush on Tsutomu, a young man she met on the Tokyo streets. One day the two go out, and after some deception, Tsutomu manages to have his way with her. Coming from a broken home, he is frightened by love, so he cruelly allows her to wake up alone. A month passes and a more grown-up Tsutomu returns. The lovers joyously reunite and move in together. All is blissful until both notice a strange sore on Mitsu's arm. The doctors diagnose it as leprosy. Without telling Tsutomu, Mitsu checks into a leper sanitarium. Hanging out with society's pariahs gives her much insight. She discovers the old lepers to be wonderful people. In turn, Mitsu becomes their source of joy and renewed hope. Still, she misses her Tsutomu. One day, the doctors inform her that they erred and that the sore is not leprosy. Happily she heads back to her true love until she realizes with a guilty pang that to return to him would mean unhappiness for her newfound friends",ja,https://image.tmdb.org/t/p/w500/4HKWDI2K9dEWxthwwOjMLNJFaQP.jpg,5,Kei Kumai,Nikkatsu Corporation
Akáty bílé,1997,35,,cs,N/A,0,Bohdan Sláma,"FAMU, Krátký film Praha, Česká televize"
Journey on a Clock Hand,1997,"9648, 18","A Turkish watchmaker is employed to mend a village clock that has not worked for some seven years. However, what seems like a simple and un-exciting task is plunged into a web of mystery and intrigue when the watchmaker innocently witnesses the murder of a beautiful woman on his first day in the village.",tr,https://image.tmdb.org/t/p/w500/hyWYIW7UKR3RH1lSMI4xnKKI2pS.jpg,5.8,Ömer Kavur,Alfa Film
"An Alan Smithee Film: Burn, Hollywood, Burn",1998,35,"Filmmaker Alan Smithee finds himself the unwilling puppet of a potentially bad big budget action film, for which he proceeds to steal the reels, and leaves the cast and crew in a frenzy.",en,https://image.tmdb.org/t/p/w500/KSGv5uV6SJS7mUMlttvLfWA6Lv.jpg,4.1,Alan Smithee,"Cinergi Pictures, Hollywood Pictures"
Selma & Johanna - en roadmovie,1997,35,They've had enough and know what has to be done.,sv,https://image.tmdb.org/t/p/w500/54SzeVcSGDQXJjQHQters3X9cry.jpg,3,Ingela Magner,"Cinetofon, SVT, Sandrews"
Alien Resurrection,1997,"878, 27, 28","Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises … as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth.",en,https://image.tmdb.org/t/p/w500/9aRDMlU5Zwpysilm0WCWzU2PCFv.jpg,6.2,Jean-Pierre Jeunet,"20th Century Fox, Brandywine Productions"
All Over Me,1997,"18, 10749","Claude and Ellen are best friends who live in a not-so-nice area of New York. They're involved in the subculture of 90s youth, complete with drugs, live music, and homophobia. All is changed one night when a violent and meaningless death rocks their lives.",en,https://image.tmdb.org/t/p/w500/rKYvMYKLS1xD7gMgqoUD8DaxL0Z.jpg,6,Alex Sichel,"Slam Pictures, Baldini Pictures, Medusa Pictures"
All Stars,1997,"18, 35","Seven young men who played soccer together since their early youth grow apart and are forced to think about the nature of their friendship. In a comic way and a very Dutch setting, All Stars is about pregnant girlfriends and homosexuality, career plans and the power of parents.",nl,https://image.tmdb.org/t/p/w500/7iF6qvTRIVafyqxlcZCIZEfRxxn.jpg,6.9,Jean van de Velde,"M&B FILM3 BV, M&B Film BV"
All the Rage,1997,"35, 10749","ALL THE RAGE takes a satirical and poignant look at one gay man's obsessive pursuit of physical, sexual, and romantic perfection. Christopher Bedford is everyone's fantasy. He's gorgeous, young, clever, rich, and above all, totally buffed and every boy in Boston seems to want him. At thirty-one, he's gliding through life, celebrating himself as the 90's gay playboy ideal, without ever realizing what a mess he's become.",en,https://image.tmdb.org/t/p/w500/9pX1AhCBmDabAhfaIrMUqW1kpK1.jpg,5.9,Roland Tec,
"All's Well, Ends Well '97",1997,"35, 10749","Old Mr. Lo has three sons and the youngest one Lo Kung is his favorite. However, Kung does nothing but fool around all day long. Old Mr. Lo is very annoyed about this. The relationship between father and son is thus affected. So on Kung's birthday, his two brothers decide to play a joke on him. They trick him into believing he has won the lottery. Kung is so happy that he spends a tremendous amount of money. When he realizes he is in huge debt, he pretends to go insane and the whole family believes him.",zh,https://image.tmdb.org/t/p/w500/qb5PRmjy8tUoOrWsRLXCZBnQdY7.jpg,6.1,Alfred Cheung Kin-Ting,"Eastern Bright Motion Picture Ltd., Mandarin Films Ltd."
Alliance cherche doigt,1997,35,"Geneviève Lechat is the director of a marriage agency. At 50, she is still very desirable and very fulfilled, especially emotionally. She offers her son, André, to open an agency branch on the Internet.",fr,https://image.tmdb.org/t/p/w500/uftl55z1p0zX6iXh9By9wrBNtAC.jpg,4,Jean-Pierre Mocky,
Allyson Is Watching,1997,"18, 53, 10749","Innocent, sexy Allyson leaves her boyfriend Peter to go to acting classes in Los Angeles. In Los Angeles she rents a room in an apartment building from the grumpy Mr. Merry next to the resident working girl, Bridget. During the day Allyson struggles with her acting lessons at arrogant Eric Constantine's acting school whilst at night she plays with herself as she watches beautiful, confident Bridget through the keyhole servicing her clients. In class she meets professional photographer Jerry who offers to shoot her a portfolio.",en,https://image.tmdb.org/t/p/w500/65KIyjtf6PwYm1vAgP6KIgdjXE3.jpg,4.4,Robert Kubilos,Mystique Films
Altri uomini,1997,"80, 18","In 1985 in Milan Michele Croce is now in prison and decides to answer the magistrate's questions, telling how in the seventies he became the ruler of the Milanese underworld.",it,https://image.tmdb.org/t/p/w500/daeV9yvBSKC0bQJgegKRW8PUc4D.jpg,5.2,Claudio Bonivento,Dean Film
An American Affair,1997,18,"Mutual friends Barbara and Genevieve are both sleeping with District Attorney Sam Brady. When they become aware of their bizzare love triangle, they plot against him.",en,https://image.tmdb.org/t/p/w500/w0OhUVdLLF4rwtnbiusuYCIHCtx.jpg,3.833,Sebastian Shah,
American Perfekt,1997,"28, 53","Criminal psychiatrist, Jake Nyman is taking a much needed vacation from responsibility. An experimental road trip during which ever decision will be made on a flip of a coin. Meanwhile, Sandra Thomas, disenchanted professional, is en route to pick up her flunked out sister, Alice, at a cheap motel before continuing on to visit their ailing mother. After being forced off the road by a mysterious assailant, however, Sandra is picked up by Jake, who's coin flipping amoral attitude quickly excites her own desire to break a few rules. Or worse. Jake and Sandra's romance is soon driven by chance acts of crime and kindness, all governed by the flip of a coin - at least until Sandra mysteriously disappears and Jake unwittingly picks up her suspicious sister, Alice ...",en,https://image.tmdb.org/t/p/w500/hjD0Vi9VPukK2KBrhZudyCcaO4X.jpg,6.1,Paul Chart,"Destiny Entertainment, Millennium Media"
An American Werewolf in Paris,1997,"27, 35, 14",An American man unwittingly gets involved with werewolves who have developed a serum allowing them to transform at will.,en,https://image.tmdb.org/t/p/w500/1NUOprbP7LLfKPArLJY7wziUiHT.jpg,5.971,Anthony Waller,"Hollywood Pictures, Cometstone Pictures, J&M Entertainment, Avrora Media, Président Films, Delux Productions, Stonewood Communications, Propaganda Films, PolyGram Filmed Entertainment"
L'amico di Wang,1997,35,"Paolo invites his American friend Sam to Rome with the promise of a film to direct, but it takes a lot of money to make it, and they plan to steal a Modigliani painting from a wealthy producer.",it,https://image.tmdb.org/t/p/w500/bJNdAPdx4QVWKTKDthn7gYvnF8Y.jpg,0,Carl Haber,"Rossellini Film & TV, Lucky Red"
