Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Germanikus,2004,35,"The work-shy, lazy Germanicus is taken to Rome by slave traders and sold straight to the nouveau riche Roman Tusnelda. He manages to escape, but only to end up in the next misery as a taster at the imperial court. When the emperor dies, he is arrested as an emperor's assassin and is to be thrown to the tigers in the arena.With the help of the black slave Saba, he manages to win the deadly fight and is proclaimed - against his will - the new emperor of the Roman Empire.His pragmatic ideas as a statesman explain why the Roman Empire ended so abruptly. At the side of Saba, who is elevated to empress, he returns to his home village of Sumpfing, where he now promises himself completely new perspectives ...",de,https://image.tmdb.org/t/p/w500/gzMRcxyK9TyQI2daGR2umZu41Xq.jpg,3.4,Hanns Christian Müller,"B.A. Produktion, Constantin Film"
"Number One, Longing. Number Two, Regret",2004,,"When John Spears (Paul Conway) is arrested on suspicion of murdering his neighbour, detectives Kenosha (Jenny Agutter) and Frett (Jeremy Bulloch) are brought in to investigate the crime. As she spends time with the uncommunicative Spears, Kenosha becomes darkly fascinated by the suspect and soon realises there is much more to the case than meets the eye. Delving into his past, she discovers a man traumatised by a lost love and events so shocking that he can barely speak of them. When she is warned off by an American security firm, Spears retreats into his own world once more and appears to be a man on the edge of insanity.",en,https://image.tmdb.org/t/p/w500/dtB5YPYtEGE7wZKEI66DLbB22Bt.jpg,8,Neil Wassell,
Murder by Numbers,2004,99,A documentary on serial killer films.,en,N/A,0,Mike Hodges,Minerva Pictures
The Phantom of the Opera,2004,"53, 18, 10749","Deformed since birth, a bitter man known only as The Phantom lives in the sewers underneath the Paris Opera House. He falls in love with the obscure chorus singer Christine, and privately tutors her while terrorizing the rest of the crew.",en,https://image.tmdb.org/t/p/w500/aTsp2VTaCBiGs8w05OTXfD97FRZ.jpg,7.254,Joel Schumacher,"Warner Bros. Pictures, Odyssey Entertainment, Scion Films, The Really Useful Group"
The Baby Juice Express,2004,"80, 35","A middle class London lad’s gangster fantasies go awry when his dodgy uncle puts them into debt to a real life crime boss. Still pulling strings from behind bars, the kingpin’s only desire is to conceive an heir by smuggling his sperm to his wife on the outside. There’s only one way the boys know how to raise the money fast … hijack the ‘baby juice express’.  But kidnapping ‘baby juice’ turns out to be fraught with even more peril than the bumbling wannabes could possibly have imagined in this cheeky spin on the gangster genre. Starring Nick Moran (Lock, Stock and Two Smoking Barrels), with Julian Clary (one of Britain’s funniest) and Joe Bugner (former boxing champion and one of Australia’s toughest!).",en,https://image.tmdb.org/t/p/w500/uWapEajnr3B99iqHD5C62ljxLkR.jpg,0,Michael Hurst,
La valse des gros derrières,2004,,"A 28-year-old African woman dreams of becoming a model. In the meantime, she works as a hairdresser to save money for a modelling course.",fr,https://image.tmdb.org/t/p/w500/lNp12QrKkIGZQd7BDxVCrdIlpFI.jpg,0,Jean Odoutan,
The Chronicles of Riddick,2004,"28, 878","After years of outrunning ruthless bounty hunters, escaped convict Riddick suddenly finds himself caught between opposing forces in a fight for the future of the human race. Now, waging incredible battles on fantastic and deadly worlds, this lone, reluctant hero will emerge as humanity's champion - and the last hope for a universe on the edge of annihilation.",en,https://image.tmdb.org/t/p/w500/iowZ2cwHFuxrSV3xsEN1LCM0Pgn.jpg,6.5,David Twohy,"Radar Pictures, One Race, Primal Foe Productions"
Inheritance,2004,"18, 27","Inheritance tells the tale of sinister old lady Lillian Baker (Marjorie Nelson) &amp; her kind hearted, good natured carer Abigail Nielsen (Jen Taylor). Abigail feels sorry for Lillian &amp; does her best to keep her happy, however one fateful night Lillian passes away in her sleep. Abigail is obviously upset &amp; attends Lillian's funeral to say her goodbyes, it soon comes to light that Lillian has left Abigail her large house &amp; it's entire contents a situation which Lillian's daughter Joan (Kathryn Mesney-Hetter) is unhappy with. The reason for Lillian's generosity becomes clear as her spirit starts to possess Abigail &amp; take complete control of her body...",en,https://image.tmdb.org/t/p/w500/8uSJ3JWKlnSpYbBbv9eLqhFRUv2.jpg,3.5,Kris Kristensen,
Bandido,2004,,"When legendary thief Max Cruz is framed by the CIA, he has no choice but to help them with a top-secret mission in the Yucatan.",en,https://image.tmdb.org/t/p/w500/ea7Eg1oajzqI7KLzVQG8ExZRCkh.jpg,3.8,Roger Christian,
Mindhunters,2004,"9648, 53, 80",Trainees in the FBI's psychological profiling program must put their training into practice when they discover a killer in their midst.  Based very loosely on Agatha Christie's And Then There Were None.,en,https://image.tmdb.org/t/p/w500/o8wAzJIxMS0cZDlRTw9hm1xQO9j.jpg,6.5,Renny Harlin,"Outlaw Productions, Outlaw Victoria Productions Inc., Avenue Pictures, Weed Road Pictures, Intermedia, Egmond Film & Television, Dimension Films, Mindhunters (UK) Limited, Mindhunters Productie BV, Tonna Oy"
Poster Boy,2004,"35, 18, 10749",The gay son of a conservative senator who is also the poster boy for his father's re-election unknowingly befriends a gay activist bent on destroying the hypocritical campaign.,en,https://image.tmdb.org/t/p/w500/bDx4n2ZrQeeJJyJ2k6O2PVP4oO6.jpg,5.4,Zak Tucker,"Regent Releasing, Shallow Pictures LLC"
Argo,2004,"28, 35","The crew of Tibi Balogh sets out on a journey across Hungary to get the ancient Gold Owl statue, as well as the Milk Man. The treasure is worth millions, who gets there first?",hu,https://image.tmdb.org/t/p/w500/KMdChAqXjgYvDqLNVWtPGKLs8G.jpg,6.611,Attila Árpa,Legend Films International
Purgatory House,2003,18,"An inside glimpse of how it feels to be a teen in today's disconnected world. PURGATORY HOUSE chronicles the after-life journey of Silver Strand: a lonely teen who abandons her life of turmoil and drug addiction, only to find herself caught somewhere between heaven and hell. There, she must choose whether she will accept her drab existence or discover within herself the power to change.",en,https://image.tmdb.org/t/p/w500/du3Zee90mKeZ9mRHmIOqpK3zovC.jpg,6.2,Cindy Baer,Free Dream Pictures
Shrek 2,2004,"16, 10751, 35, 14, 12, 10749","Shrek, Fiona, and Donkey set off to Far, Far Away to meet Fiona's mother and father, the Queen and King. But not everyone is happily ever after. Shrek and the King find it difficult to get along, and there's tension in the marriage. The Fairy Godmother discovers that Fiona has married Shrek instead of her son Prince Charming and plots to destroy their marriage.",en,https://image.tmdb.org/t/p/w500/2yYP0PQjG8zVqturh1BAqu2Tixl.jpg,7.282,Conrad Vernon,"DreamWorks Animation, Pacific Data Images"
Sin Amparo,2004,18,,es,N/A,6,Jaime Osorio Gómez,
Lucky,2004,"35, 14, 27","Ever have one of those lifetimes where nothing seems to go right? Failing cartoon writer, Millard Mudd, has sunk deep into one. Living hermit-like and existing on a strict alcohol diet, Mudd's world has collapsed. But one day everything changes when a dog named Lucky enters his life. You see, what makes Lucky no ordinary dog is his ability to talk. And what makes Lucky invaluable is his ability to teach Mudd how to write again. But what makes Lucky dangerous is his ability to get inside Mudd's head and turn him into a serial killer.",en,https://image.tmdb.org/t/p/w500/296HNgfgFtWjCidwpoKR4fcPyHK.jpg,4.7,Steve Cuden,
Nothing Like Dreaming,2004,,"A man fires up a propane torch. He sends its flame up tubes of metal. The raging heat produces resonant, ringing tones in a harmony of pure sound. Sonny Gale is a scavenger, outlaw and fire artist. He lives stealthily, in an abandoned factory at the edge of town, waiting for someone who never arrives. Into his life comes Emma.",en,https://image.tmdb.org/t/p/w500/r7JQGFssuwAxXoOiWMGjZDdJvn2.jpg,0,Nora Jacobson,
Home on the Range,2004,"16, 10751","When a greedy outlaw schemes to take possession of the ""Patch Of Heaven"" dairy farm, three determined cows, a karate-kicking stallion and a colorful corral of critters join forces to save their home. The stakes are sky-high as this unlikely animal alliance risk their hides and match wits with a mysterious band of bad guys.",en,https://image.tmdb.org/t/p/w500/9xIIo4FMquy5SRqn8hppyr2QadR.jpg,6.1,Will Finn,"Walt Disney Pictures, Walt Disney Feature Animation"
Jersey Girl,2004,"35, 10749, 18","Ollie Trinke is a young, suave music publicist who seems to have it all, with a new wife and a baby on the way. But life deals him a bum hand when he's suddenly faced with single fatherhood, a defunct career and having to move in with his father. To bounce back, it takes a new love and the courage instilled in him by his daughter.",en,https://image.tmdb.org/t/p/w500/nMmMWoSooR6QmCjdT0AvZardof1.jpg,6.2,Kevin Smith,"Miramax, View Askew Productions, Close Call Films, Beverly Detroit Studios"
Dog Gone Love,2004,"35, 10749","A romantic comedy about a man, a woman, and their dogs. Steven Merritt, a research obsessed writer is mistaken for being gay by Rebecca, a young veterinarian assistant. He decides to play along in order to do research for his floundering novel. Steven's outlandish plan inevitably backfires, and hilarity ensues as they fall for each other but are unable to express their true feelings.",en,https://image.tmdb.org/t/p/w500/x91LB3r6n3S2NLDL4Lxa31v7vyD.jpg,7.7,Rob Lundsgaard,
