Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
December Boys,2007,"18, 10749","For many years, four teenage orphans at an Australian outback convent have watched their younger comrades find new parents, and realize that they may never be adopted. The Reverend Mother sends the four boys away on a seaside vacation, where they meet Teresa and Fearless, a couple who would make perfect parents. The youths compete with one another to be the one Teresa and Fearless decide to adopt.",en,https://image.tmdb.org/t/p/w500/mLMlaEFS7KSF9YD5nNuLAQ3qFgy.jpg,6,Rod Hardy,"Village Roadshow Pictures, Australian Film Finance Corporation, South Australian Film Corporation, Becker Entertainment"
Four Last Songs,2007,"35, 18, 10402, 10749","A comic drama set on a Mediterranean island, where a motley collection of characters is seeking musical redemption.",en,https://image.tmdb.org/t/p/w500/iBiDAjbWDUs4T9FBd9IxNjZrVgq.jpg,5.8,Francesca Joseph,"Mate Producciones S.A., BBC Film, Home Movies Ltd., Ingenious Media"
Hitman,2007,"28, 53, 18","A genetically engineered assassin with deadly aim, known only as ""Agent 47"" eliminates strategic targets for a top-secret organization. But when he's double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue.",en,https://image.tmdb.org/t/p/w500/h69UJOOKlrHcvhl5H2LY74N61DQ.jpg,6.136,Xavier Gens,"EuropaCorp, Charles Gordon Productions, Adrian Askarieh Productions"
Michael Clayton,2007,"18, 53, 80","A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multi-billion dollar class action suit.",en,https://image.tmdb.org/t/p/w500/hhkW4yVIGo8Bee3UITKvqOvhNMG.jpg,6.8,Tony Gilroy,"Castle Rock Entertainment, Mirage Enterprises, Section Eight, Samuels Media"
Shoot 'Em Up,2007,"28, 53, 35, 80","A man named Mr. Smith delivers a woman's baby during a shootout, and is then called upon to protect the newborn from the army of gunmen.",en,https://image.tmdb.org/t/p/w500/pbHpZfjzF4hKomaSmSZWRWKhO0P.jpg,6.5,Michael Davis,"New Line Cinema, Angry Films"
Stagknight,2007,"27, 35","Stagknight is derived from the uncensored lusty straight-to-Drive-In horrors of the 70's and 80's, I Spit on your Grave, The Beast, Samurai Assisan, movies that spawned the mighty Evil Dead, American Werewolf in London, later Aliens. Set deep in dark mythical English woods Stagknight presents a uniquely stupid look at this genre through the cracked ""Weekend Warriors"" paintball team. This is mansville not boytown on a blow-out bachelor paintball weekender bender of dirty tricks, hot babes and truly splatter-tastic medieval kills to die for.",en,https://image.tmdb.org/t/p/w500/987JROSeLnfQIFbkTnAj3VIILb5.jpg,4,Simon Cathcart,Stag Knight Ltd.
"Maradona, the Hand of God",2007,18,"Dramatizing of the many shocking highs and lows of Argentine soccer hero Diego Maradona, an extraordinary athlete and arguably the greatest player in the history of the sport.",it,https://image.tmdb.org/t/p/w500/mVHAz1jZ1EgmAg4pdLTdnd5MZJr.jpg,5.8,Marco Risi,"Pol-Ka Producciones, Comedy Film, Producciones Ombú"
Max Minsky and Me,2007,35,"Nerdy Jewish Nelly Sue Edelmeister, daughter of a New York mother and Berlin musician in Berlin gets straight A's, except for gym. When she hears her dream prince, actual royal Edouard, a fellow astronomy buff who studies in Luxemburg, patronizes the basketball tournament hosted there by a European school she wants to join her school's girls team.",de,https://image.tmdb.org/t/p/w500/lsYPOofUjMNgnvbIJsyxtgN7HZU.jpg,5.8,Anna Justice,SevenPictures Film
Déjà Vu,2007,18,"""Extraneous"" - It has been funeral. The elderly couple, Emma and David, pamper their deceased friend. After the funeral, they invite the guests for a drink and a little nostalgic conversation about what has been. When the guest are getting ready to leave, two men remain.",sv,https://image.tmdb.org/t/p/w500/ziZaUQpZNLvH4Ol26zlI9bfXOQC.jpg,6,Markus Widegren,Film Produktion
Island of Lost Souls,2007,"14, 12, 10751, 18","14-year-old Lulu moves to a small provincial town with her mother and younger brother. One night, her brother is struck by a beam of white light - actually the spirit of Herman Hartmann from the 19th-century. To her despair, Lulu realizes that Herman has possessed her brother, and the two of them are whirled into a fevered adventure.",da,https://image.tmdb.org/t/p/w500/xkuiAd022FPEkDn8hfGF3LuaxDV.jpg,5.3,Nikolaj Arcel,"Memfis Film, Nimbus Film"
Midsummer Madness,2007,"35, 18, 10749","St. John’s Night is a traditional midsummer Latvian celebration where family and friends get together to build bonfires, drink and have a good time. According to a legend, on this night lovers and those who wish to fall in love can search the woods for the ""magic fern"".",en,https://image.tmdb.org/t/p/w500/gJnLUESTDYY1ufdTLrENmzyFjek.jpg,5.6,Alexander Hahn,"Kaupo Filma, Steve Walsh Productions, Fischer Film"
