Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Black Jack: The Two Doctors in Black,2005,"16, 18","The mega-corporate Daedalus Group is under attack by a small group of activists known as the Ghost of Icarus. While taking care of some of the victims of the bombing, Black Jack encounters Dr. Kiriko, also known as Death Incarnate, who just like him, asks his patients huge sums of money but instead of saving them, he offers them a painless death. When the activist group requests both doctors’ collaboration, Black Jack finds himself caught in a spiral of life, death and treason while trying to save his patients' lives and avoid the breaking of a biological war that could destroy humanity.",ja,https://image.tmdb.org/t/p/w500/c3ut5CbzJCIh15YYdW6kfUDFF03.jpg,6,Satoshi Kuwabara,"Yomiuri Telecasting Corporation, dentsu Music And Entertainment, TOHO, Tezuka Productions, Avex Entertainment"
Locos de la bandera,2005,99,"The story of the relatives of the 649 Argentine fallen in the Malvinas War, who as soon as the military conflict ended, found themselves alone with their pain and prevented from approaching the grave of their loved ones, either because their bodies were left in the Cemetery of Darwin, in the Malvinas, or because they disappeared without being identified.",es,https://image.tmdb.org/t/p/w500/1gwPqth3dliSRchHqic4M3YA0Lg.jpg,0,Júlio Cardoso,"Comisión de Familiares de Caídos en Malvinas e Islas del Atlántico Sur, INCAA"
Mein ganz gewöhnliches Leben,2005,18,,de,N/A,0,Dominik Bechtel,
Nana,2005,"10749, 18, 10402","Two girls named Nana meet on a train to Tokyo. Nana K. aims to reunite with her boyfriend and Nana O. hopes to make it big in the music business. Despite their differences, the pair hit it off and become roommates.",ja,https://image.tmdb.org/t/p/w500/1RMroK0KvR1lws3ukpKkVxv3uwo.jpg,6.7,Kentaro Otani,"Aniplex, IMJ Entertainment, TBS, TOHO, Sedic International, Shueisha, MBS"
Seven Invisible Men,2005,18,"A group of drop-outs, losers and criminals are travelling in a stolen Mercedes seemingly aimlessly along numerous derelict houses and impassable roads to eventually end up on an old decaying state farm in Crimea, the southern tip of the former Soviet Union, where the mother, wife and daughter of one of them live. The men kill time with smoking, drinking and staring in front of them, but an undercurrent tension is brewing. On the last night they have a party that is equally destructive as their life",lt,https://image.tmdb.org/t/p/w500/k2GRU7WaitfMOQV3v7sueEpQ86O.jpg,5.6,Šarūnas Bartas,"Madragoa Filmes, Gemini Films, Studio Kinema, CNC, Roaring Films"
Land of Glass,2005,,"A woman lives with her seven-year-old daughter and newborn son in an isolated house in the middle of a mournful landscape; it seems as if winter has encased everything in a bluish, glass-like shell. The nervous woman is filled with a sense of dread and fear, which she tries to sate by taking walks in the woods. Her husband doesn't get home till late, the baby is sick, and she worries about his welfare until she is absolutely frantic. Not understanding his wife's problems, her husband suspects her of exaggerating her mental breakdown. He is unwilling to admit that even his daughter's behavior has altered.",lt,https://image.tmdb.org/t/p/w500/hK7NaJ9zHuU3yaHrTTGICQCuwp8.jpg,6,Janina Lapinskaitė,
Beauty and the Bastard,2005,"10402, 10749, 18","Modern finnish movie about two very different young adults that after a chance meeting end up making music together and fall in love.  While Nellis parents have the perfect career and man planned, she dreams of becoming a singer. Through a chance meeting at the studio, she meets the young and grungy Hip Hop music artist Sunen and asks him to help her make a demo tape.  Not only is the ensuing story about differences growing closer and the difficulties that have to be overcome, well told. Also the music is exceptionally well made. It is quite unbelievable that this is the first feature of the director.",fi,https://image.tmdb.org/t/p/w500/mFI69H3mY45zjMO1isfy3qGtOAM.jpg,6.2,Dome Karukoski,Helsinki-filmi
Comatose,N/A,,A bunch of friends get together for a house party in this slasher thriller. Something goes badly wrong and a girl seems to die while having sex. Then the rest of the party goers start dropping like flies - one by one...,en,N/A,0,Michael Merrill,
Gisela,2005,18,"Gisela is a young wife and mother, living in a working class German Housing Scheme. She is a supermarket cashier, her husband a delivery driver. The marriage is stale but together they are working their way up into the middle class.  George and Gisela evidently knew each other as teenagers. They live on the same scheme and George introduces her to his friend Paul. There is instant mutual attraction. Gisela spontaneously goes to a party that they invite her to that evening, where she and Paul begin a sexual relationship.",de,https://image.tmdb.org/t/p/w500/8r0eSdUDlVuIl7jEi65TlvnmdDm.jpg,5.2,Isabelle Stever,"TAG/TRAUM Filmproduktion, WDR"
Iron Island,2005,18,"Squatters live on a mothballed oil tanker in the Persian Gulf. The children attend a school on board; men harvest scrap metal and old oil in the hull; women keep house and raise children and Captain Nemat runs it all with an iron hand. We follow a lad who rescues fish trapped in the hull, an old man who stares at the sun, the idealistic teacher, and Ahmad, the Captain's assistant who has fallen in love with a young woman whose father wants to marry her to someone of means. What future has this sinking city?",fa,https://image.tmdb.org/t/p/w500/mUOyoK60x811aehBQwhSEcu0xYN.jpg,7.3,Mohammad Rasoulof,"Sheherazad Media International, Farabi Cinema"
James Dean: Forever Young,2005,99,"A brief career. A timeless stardom. In just three major movie roles, James Dean became an icon for the ages. Now his legacy shines even brighter thanks to this fascinating film that, filled with an astonishing treasure trove of newfound or rare glimpses of Dean's TV performances, is like a road map to his meteoric success. Michael J. Sheridan directs and Martin Sheen narrates this revealing documentary showcased at the 2005 Cannes Film Festival. Movie clips, romances, photos that are part of our national DNA (and the stories behind them), and the small-screen work that paved the way to the big screen are all part of the James Dean you couldn't see until now. Forever young. Endlessly fascinating.",en,https://image.tmdb.org/t/p/w500/r1sicppx7UFVk146g3GhASStpr8.jpg,4.8,Michael J. Sheridan,
The Man Who Couldn't,2005,"35, 18, 10749",A young Los Angeles cinephile falls in love with a woman but has that love tested by the all-seeing eye of the Internet.,en,https://image.tmdb.org/t/p/w500/jPPjS0clbnwI9grnuAqmozti1B8.jpg,0,Brandon Wilson,GeniusBastard Film Arts
The Marey Project,2005,,"A mysterious mix of loss and longing that investigates a man's imaginings, taking him to the edge of the abyss before he discovers what it is he needs most. Experimenting with a host of strange phenomena including phantoms from his past and present, Walter Hey confronts a power that could hold the key to his deepest dreams... or darkest nightmares. THE MAREY PROJECT is a challenging new work inspired by the photographic and chrono-photographic experiments of the 19th century French physiologist E. J. Marey. It is an eerie work, with intriguing whispers, reminiscent of Chris Marker’s ‘La Jetee’ (1962) in its clash of science with humanity.",en,N/A,0,James Clayden,
Moses - Fallen in the City of Angels,2005,28,"A tale of a fallen angel who was sentenced to a human life sentence... Moses, the angel of life is haunted by the visions of a dead child works as an assassin for Mrs. Mier whose true identity is Gabriel the Arc Angel... the assassination of Lucky Palermo was a mistake. Julius Palermo, Lucky's brother whose true identity is The dark angel...",en,https://image.tmdb.org/t/p/w500/bxAfedCAUyVcb5SH0rF1XRtmGiH.jpg,0,Ben Maccabee,
Die Quereinsteigerinnen,2005,"18, 35",Two young women kidnap the manager of the German telephone provider and start making strange demands while getting to know their captive a little better,de,https://image.tmdb.org/t/p/w500/m1zqMAqIp2W9y7nwepw5kmZ74Z3.jpg,5,Rainer Knepperges,Knipperges and Mrasek Filmproduktion
Radiant,2005,"27, 878","A genetically-engineered virus, meant for good, but never before tested on humans, has found a host. This is the story of four desperate people who, in their search for medical answers, were exposed to this created virus, called radiant, and the solitary lab assistant who becomes their only witness.",en,https://image.tmdb.org/t/p/w500/vAjrE1UjcMJOIHHgkF0jNBPXZPN.jpg,6,Steve Mahone,
11.59,2005,"9648, 53","Too much celebrating after scoring the year's biggest story leads to 24 missing hours in the life of photojournalist Aaron Doherty. Awakening in a wheat field with no memory of the previous day, Aaron struggles to account for the gap. Sent back in time when the phenomenon recurs, the progressively disoriented Aaron is left to untangle the vast political conspiracy that's behind it all.",en,https://image.tmdb.org/t/p/w500/zxOgjGDU38mR26rOzbnwoZr5WXV.jpg,5.4,Jamin Winans,
Kordavision: The man who shot Che Guevara,2005,,"Alberto Díaz Korda delivered intense photography experiences throughout his 40-year career. KordaVision traces this brilliant career from his beginning in Havana, Cuba, until he became Fidel Castro's personal photographer from 1959 through 1968.",en,https://image.tmdb.org/t/p/w500/dv7R7AN7CXQJHdIAmGNKgwBRqAT.jpg,0,N/A,
Quoi? L'éternité.,2005,99,"Fifty-eight minutes of mixed images from yesterday and today and about twenty voices of men and women, real Rimbaud lovers, known or unknown, disturbed by the reading of extracts of his poems or his letters, like a magic ceremony, bewitching, provoking the heart by the emotion of the senses, arousing the spirit, awakening the soul.",fr,https://image.tmdb.org/t/p/w500/625lKbNu63afeMRrfEWzldZO6B6.jpg,0,Étienne Faure,Eivissa Productions
Gol & Gincu,2005,"10749, 35, 18","Putri is determined to win back her sports-mad ex-boyfriend, Eddy by turning into a futsal heroine herself. Facing prejudice and ridicule, and discovering, through her motley futsal team, the many difficulties faced by women in sports, Putri gradually finds within herself the strength and values of a true winner, on and off the pitch.",ms,https://image.tmdb.org/t/p/w500/kaEy0EfI8gTE8RsXFTDG1O6N4oI.jpg,8,Bernard Chauly,
Infection,2005,27,"A meteor carrying an unknown infection, lands outside a Small Californian community, bringing terror and death. Just after midnight, a local rancher named Larry Jenkins discovers the meteor and calls the police. Inspector Bardo is sent to the scene to investigate. The small Lawton police department is short-handed, as it is the night of the high school prom. Arriving at a desolate forest road miles out of town, Bardo discovers that Jenkins has been infected by the alien organism. The officer is savagely attacked and infected. Both men head towards Lawton, terrorizing and contaminating everyone they encounter. Meanwhile, Cheryl and Timmy have left the prom and are parked atop Lover's Lane. Bardo comes upon the lovebirds and attacks them, infecting Timmy. Now Cheryl must run for her life through the pitch-black forest, escaping her pursuers and trying to reach the authorities before the infection spreads to L.A.",en,https://image.tmdb.org/t/p/w500/6mEmhon5P1UfKOHGn07z8zlbeK1.jpg,3.875,Albert Pyun,Filmwerks
A Dog's Dream,2005,14,"During a strange night, a prostitute, an opera singer, a fortune teller, a travel agent, a police chief and an insomniac meet by chance.",el,https://image.tmdb.org/t/p/w500/qXjMX5ivro4lk0KdyTszV3pClBt.jpg,4.1,Angelos Frantzis,"Max Productions, CL Productions, Greek Film Centre"
Piano 17,2006,"28, 35, 80","A man is hired to place a bomb inside a high-rise building to destroy some compromising documents, but he gets stuck in the elevator with two unaware workers, while the timer on the bomb keeps ticking.",it,https://image.tmdb.org/t/p/w500/7USynWsOzXW0OOOtzMZMxtvUdFN.jpg,5.9,Antonio Manetti,"Moviemax, Gamp Produzioni"
Magic Mirror,2006,18,"Luciano, fresh out of jail, was taken by his brother, Flórido, to serve in the home of wealthy Alfreda. He was surprised when she told him that her greatest desire was to see the Virgin Mary. Now comes this rich land owner with her sublime pretensions. Isn't it enough for her to have an Aston Martin and a Jaguar in the garage and ten different dresses per season? It was all professor Heschel's fault. Or someone else's. Anyway, to go beyond the promise is heresy. Alfreda said that she wouldn't rest until she saw the Virgin and made her some questions. Filipe Quinta, the Forger, says he has a solution. Meanwhile, Bahia, her husband, listens do music.",pt,https://image.tmdb.org/t/p/w500/mh5Fe3VE7Wi01of4p4ZLTgr5PcN.jpg,6.4,Manoel de Oliveira,Filbox Produções
Four Weeks in June,2005,18,"Sandra comes to a new town after being convicted of assault after a fight with her boyfriend. She moves into an apartment where her 80-year old neighbor, Lilly, becomes her friend. But Lilly’s life is based on a lie, and as their friendship grows Sandra gets to know more of Lilly’s secrets.",sv,https://image.tmdb.org/t/p/w500/fkhaXLFZmpg5U1v9ROVTpcYfdGw.jpg,6.2,Henry Meyer,HOBAB
