Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Jacques Cousteau: The First 75 Years,1985,99,Documentary about the life of explorer Jacques Cousteau.,en,https://image.tmdb.org/t/p/w500/cR97pcirDm7t5nTfUc0xBPO9435.jpg,0,John Soh,Turner Entertainment
Double Rope Torture,1985,18,Two sisters are captured by a bounty hunter for an S&M nightclub .,ja,https://image.tmdb.org/t/p/w500/aGbZ0qCPxlT5WmbQOtHgqlwkGbw.jpg,3.5,Ikuo Sekimoto,Nikkatsu Corporation
Hakui kankin,1985,35,"A mysterious woman, Jun, comes to the hospital. Jun's disease was called ""clitoral hypertrophy,"" which meant that she swelled to a huge size when caressed. Shunsuke, the doctor in charge, and Akiko, the nurse, but also Kyoji and Hiromi, who were secretly sitting in the back of the examination room, were surprised by its size. As soon as Rinko, who is on duty at the hospital late at night, enters a room, she is attacked by a man whose entire body is wrapped in bandages. Unaware of this, Akiko and her doctor, Kyoji, go straight to a love hotel after finishing their shift. The next morning, Jun visits again, and as she is lying on the examination table with her lower body exposed, a mummy man suddenly appears...",ja,https://image.tmdb.org/t/p/w500/3RocjLx6JObFJeCUyxzjx12gWP4.jpg,2,Kaoru Umezawa,Shishi Production
Flower and Snake 2: Sketch of Hell,1985,"53, 18, 27",The daughter of a wealthy family rebels when her father remarries and she becomes a leader of a girl gang. She hatches a plot to use her stepmother to get a large sum of money by pretending to be kidnapped. But the tables are turned when gangsters intervene and capture them both. They are subjected to various humiliations and sexual perversions.,ja,https://image.tmdb.org/t/p/w500/NXS23X6aWEyep6qQdguPBaQAXp.jpg,5.1,Shōgorō Nishimura,Nikkatsu Corporation
Los matones del norte,1985,,Young man grows up thinking that his father's murderer is dead but wanting revenge against the guys who hired him to commit that crime.,es,https://image.tmdb.org/t/p/w500/xfsks1HIxfppIhI3NYNHx1Yih3q.jpg,5,Alfredo B. Crevenna,
Female Leopard,1985,18,"A young and beautiful woman goes to stay with her ""eccentric"" brother in the country. He - a crazed millionaire painter - is entranced by his sister's beauty, the very reason they were separated in their youth. Unable to hide his yearning for his own flesh and blood, the lady of the house decides to take matters into her own hands to preserve her status...",ja,https://image.tmdb.org/t/p/w500/u4wUGNogGC2SKvOER4C9jOhkc9O.jpg,5.4,Kōyū Ohara,Nikkatsu Corporation
Female Bank Teller: Rape Office,1985,18,A solemn bank office is transformed after being assaulted by her sinister boss. The boss then turns to her younger sister...,ja,https://image.tmdb.org/t/p/w500/zJ44tPUySDaQq4CStfaNp4b1uhc.jpg,3,Shōgorō Nishimura,Nikkatsu Corporation
Disgraced! Uniform Virgin,1985,,,ja,N/A,2,Yoshiho Fukuoka,
Bizarre Experience: Dreamy,1985,,"Hideo and Asako are living happily. After their affair, Asako confesses, ""I got pregnant. It's been three months."" Hideo: ""I see, then I've got to do it properly."" That night, Hideo goes to bed. However, he wakes up in a drenched sweat... and remembers what happened three years ago... Hideo's novel ""Distorted Time"" was stolen and published by a famous writer. In despair, Hideo puts down his pen and vows to stop writing. However, only his acquaintance, the hostess Asako, supports Hideo...",ja,N/A,0,Tsutomu Watanabe,Million Film
High School Teacher: Maturing,1985,"18, 10749","A female highschool teacher must deal with sexual harrassment from her students and being trapped in a love triangle with two men, neither of whom has any interest in marrying her.",ja,https://image.tmdb.org/t/p/w500/5efk4a3rxgNSJoeBEUS7cwxcuKv.jpg,6,Shōgorō Nishimura,Nikkatsu Corporation
Kôkô kyôshi: Shisshin!,1985,18,"A female teacher, Kumi Yamamoto, was raped by a man, Yuichi Kobayashi ,who failed to commit suicide after the crime. Kumi knows that Yuichi is driving a taxi in the city. She is about to collect the moral debt.",ja,https://image.tmdb.org/t/p/w500/uX8zJisCvRKA2Hpix9f9a9FoqUx.jpg,2,Fumihiko Kato,"Nikkatsu Corporation, Nippon Top Art"
The Young & the Hung,1985,,"A smattering of loosely-connected stories about young, hung guys prone toward having sex, alone or with other guys.",en,https://image.tmdb.org/t/p/w500/x4Oa78YQDpyANpQe5PtlDyUubos.jpg,0,William Higgins,Laguna Pacific
Muhan,1985,"80, 18","Gritty softcore thriller about a female assassin brutally victimized in her past and her target, who turns out to be her long lost lover. Can they escape their world of violence before her handler, a sadistic yakuza, catches up with them?",ja,https://image.tmdb.org/t/p/w500/8ycZFmx15UVkee6cOZQX7jOQUd5.jpg,5.3,Naosuke Kurosawa,Nikkatsu Corporation
Altar,1985,"12, 14",A Turkish knock off of Italian Pepulum movies. Sometimes referred to as Turkish Conan.,tr,https://image.tmdb.org/t/p/w500/inSQGTkbyPVc2UhWazE82BAPwPk.jpg,6,Remzi Jöntürk,Pars Film
Office Love: Behind Closed Doors,1985,"18, 10749","Reiko is a high class call girl employed by a large corporation. She’ll do anything necessary to help her employer land new business, including kinky sex and humiliation, to please her high class clientele. Secretly bedding rival company executives on her own time, Reiko’s world turns upside down when a former lover comes back to her for affection. The problem is he’s married! With yet another shy employee vying for her attention, Reiko gets caught in a triple tryst that could change her future forever.",ja,https://image.tmdb.org/t/p/w500/3qjmUYPyA9mgXO9omVs1tdND15e.jpg,5,Yasuaki Uegaki,Nikkatsu Corporation
S&M Hunter: Begins,1985,"35, 18","This prequel to the pink cult hit S&M Hunter tells the origin story of how an average salary man became the world's first S&M superhero! How did he lose his eye? Why is bad girl Meg chasing him in the first place? And why did Maria become a masochist? Long out of print and hungered for by Pink Eiga fans the world over, Pink Eiga Inc. is proud to release the only true superhero movie that matters in a flooded market of comic book adaptations!",ja,https://image.tmdb.org/t/p/w500/16KD5CmSV6m7ePCKmiaoY6K0UzR.jpg,4.5,Shūji Kataoka,Kokuei Company
The Sekkan 2: kairaku-hen,1985,"18, 27",Two girls who want to become masochists are trained by a sadistic woman and turned into lovers.,ja,https://image.tmdb.org/t/p/w500/9eRkOWn3LbuznBt90Fa1gybefBz.jpg,2,Mary Aoi,"Nikkatsu Corporation, U-Production"
Za Sekkan,1985,27,,ja,https://image.tmdb.org/t/p/w500/4NPhpaDLBW5W6R9qiUqEDEXKlV7.jpg,2,Gô Ijuuin,U-Production
Sexy up: momoiro chikubi,1985,,,ja,https://image.tmdb.org/t/p/w500/cRWQIcOcFf53xtVT5A6s9EA09F.jpg,0,Hidekazu Takahara,"Million Film, U-Production"
