Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Phoenix Blue,2001,"18, 10749, 53",,fr,N/A,6,Tony Maylam,
Jung (War) in the Land of the Mujaheddin,2001,"10752, 99","Jung is a narrative documentary that follows the human and professional adventure of its protagonists, the Afghan people in the midst of civil war.",en,N/A,0,Alberto Vendemmiati,"Karousel Films, Elleti & Co."
For the Love of God,1998,99,"After the end of his 12-year sentence for attempted murder, activist and war veteran Kenzo Okazaki lays out his vision of an ideal world.",ja,https://image.tmdb.org/t/p/w500/hDCqtyk4Yutlxu96IeLMwJHlmDv.jpg,0,Ōmiya Ichi,JVD
Passing Summer,2001,18,"A woman faces a variety of emotional crises as she spends the summer interacting in various ways with friends, family, and lovers.",de,https://image.tmdb.org/t/p/w500/n3B2nStH5TWWOnzc9XXGWWYV4qJ.jpg,5.5,Angela Schanelec,"ZDF, Schramm Film"
Mole,2001,"27, 28",Legend has it that some of the oldest surviving homeless communities in New York City have been hidden from the public view for decades in the underground tunnels of Manhattan. Many homeless dwell in continual darkness along tunnels miles long and yet manage to survive. What happens to someone who lives in such a dark and dreary dwelling?,en,N/A,3,Anthony Savini,
Mr In-Between,2001,"28, 53","A terrifying love triangle. An original twist on a story of divided loyalties, the perils of love and ultimate death. A haunting tale set in a London at times beautiful and ugly, but always captivating. A story that plays with the shadows and light of an underworld occupied by the fascinating and terrible.",en,https://image.tmdb.org/t/p/w500/vrGpO0v0se7uGz2rJzQE1QkpAPU.jpg,5.7,Paul Sarossy,"Enterprise Films, Phantom Pictures Ltd., Spice Factory"
No te fallaré,2001,"18, 28, 10749","""FRIENDS...THREE YEARS LATER"" School is finally out. Valle and Quimi, a couple since childhood, decide to celebrate with their gang on a trip to the coast. They feel free and swear that they will always be together. But three years later, everything is quite different. A party at the high school unites them all again. They haven't seen each other for years and the tension is thick. Something unexpected changed the course of their lives. Valle is a dancer at a club and attracted to Ray, the owner, who is also an art dealer under pressure to use his nightspot to peddle drugs.",es,https://image.tmdb.org/t/p/w500/kaR0ErYK41ct2qxNOram5yR0iE6.jpg,3.1,Manuel Ríos San Martín,"Atresmedia, Globomedia, Producciones Ensueño, Vía Digital"
Ordinary Madness,2001,53,"Bernardo Gigliotti directs this indie psychodrama. Looking to launch a career as a blues guitarist, Bobby (Ron Carlson) moves to Los Angeles and is immediately offered a job playing in a bar. He finds board in the home of Faye (Denise Gentile), who keeps her paralyzed husband in the attic. Things are going well until Bobby realizes that Faye is a murderer.",en,https://image.tmdb.org/t/p/w500/fqUdjxc3YF9xmH59ol03MUyFpCE.jpg,2,Bernardo Gigliotti,Legendary Productions LLC
Pinky und der Millionenmops,2001,35,"Pinky, a child detective, solves two cases for multi-millionaire Jonathan Morgan.",de,https://image.tmdb.org/t/p/w500/9HB10WgQS0t7k49MAZtQE07wqlP.jpg,7,Stefan Lukschy,Provobis Film
Ponterosa,2001,35,"A sleazy sex comedy about a blind man who wants to become a life guard, his friend with a tiny willy, and three beautiful models who all meet at the sloppy camping ground run by a homophobic manager",fi,https://image.tmdb.org/t/p/w500/7Brm3CDUg29uUA7TMliUlEYFZl8.jpg,3,Mika Kemmo,Inxpo Onnico
Princesa,2001,"18, 10749","Fernanda, a 19-year-old Brazilian trans woman, travels to Milan and becomes a sex worker to finance her gender confirmation surgery.",it,https://image.tmdb.org/t/p/w500/lzYhH4m8ppxu08vk6AbKjDUrwVI.jpg,5.6,Henrique Goldman,
Pyaar Tune Kya Kiya,2001,53,"Ria Jaiswal lives a very wealthy lifestyle along with her mom and dad. As she is the only child in this family, her parents dot on her and give in to her every wish.",hi,https://image.tmdb.org/t/p/w500/lmNXHDgorVTqO8qnTUuckOBnXbq.jpg,6,Rajat Mukherjee,RGV Film Factory
Le royaume des rapiats,2001,"35, 14","A young Aladdin, illiterate and full of candor, is expelled from a black and white film of the twenties following a false move. He finds himself projected into our time, without any means of communication, since he neither speaks nor hears. Discovering our world with naivety, he has a series of encounters and adventures which, despite their comical nature, highlight his difficulties in adapting to our way of life. Will he be able to find a balance in this hostile universe?",fr,N/A,0,Michel Vignaud,Tabb Productions
Wanderlust,2001,18,"Struggling to hold together her train wreck family, Kelly tracks down her drifter brother to a seedy, remote island off Chile and discovers him living with a ragged group of expatriates.",en,https://image.tmdb.org/t/p/w500/4YYzb14FMsTw3ygTTi0U80bdKgu.jpg,0,James Keitel,
Sacra Corona,2001,"18, 10749, 36",,hu,https://image.tmdb.org/t/p/w500/twrt2QnkZlGl1MtvR1hWHmuo2MZ.jpg,4.4,Gábor Koltay,
The Seagull's Laughter,2001,"18, 35","Post-war provincial Iceland: around 1950, Freyja, who'd been a plump teen, returns from America, a widow with a 20-inch waist, seven suitcases of dresses, and a list of who ever wronged or slighted her. She moves in with an aunt and socialist uncle: finding a new husband is high on her agenda, and she's mistrusted by Agga, a pre-teen who's our eyes and ears. The social order and Freyja are more complicated than they seem at first, and so may be her prospects. Class divisions, families ties, pride, the onset of puberty, and the power of Eros sliver the ice.",is,https://image.tmdb.org/t/p/w500/iMNWNVKJuHZE3VPwD8AMlpye9aH.jpg,5.8,Ágúst Guðmundsson,"IsFilm, Archer Street Productions, Hope & Glory Film Productions GmbH, Hope & Glory Pictures International, Hope & Glory Pictures, Det Danske Filminstitut"
