Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Destiny,1983,18,This is a film about old fashioned Bulgarian customs and moral rules. A pre-arranged marriage of two children is no obstacle to true love.,bg,https://image.tmdb.org/t/p/w500/rPmpUhDCXX73zTPD22Zd7j0CrCi.jpg,0,Nikola Korabov,Boyana Film
Among Grey Stones,1983,"18, 36","A judge is devastated after the death of his wife and is neglectful of his children. His son befriends the children of a street beggar who live in an abandoned, derelict church. After his experience with his new friends, the young boy begins to feel sorry for his father and sympathizes with his loneliness.",ru,https://image.tmdb.org/t/p/w500/xbIABrcfwZyrqFyEuU0JER8ACpD.jpg,3.7,Kira Muratova,Odessa Film Studio
"Aliens, Dragons, Monsters & Me",1983,99,Documentary about the life and work of Ray Harryhausen.,en,https://image.tmdb.org/t/p/w500/yV1tLv7kJxZRRZY9qaAEaQ1QoFv.jpg,8,N/A,
Love You. Waiting. Lena,1983,10749,"The former paratrooper, and now the worker of the geological party Sergey Krutov, hurries to the station to meet a stranger girl and take a note from her for his friend - Having delivered the cherished message, he gladly learns about the arrival of the one he was thinking about, saving someone else's love.",ru,https://image.tmdb.org/t/p/w500/rRQzepsjclB5ZsRI1Oaly47Gbe6.jpg,8,Sergey Nikonenko,Gorky Film Studios
Экзамен на бессмертие,1983,"10752, 18",,ru,https://image.tmdb.org/t/p/w500/vVbu0GG1zsnuuTGrxHWJDgtMFwe.jpg,0,Alexey Saltykov,Gorky Film Studios
A Hole in the Windshield,1983,18,"A journalist meets a mysterious blonde. The meeting upsets his existence. Indeed, the man risks losing it completely.",it,https://image.tmdb.org/t/p/w500/2YkhIkxlNecqjWB5sTQzBDR140v.jpg,0,Sauro Scavolini,"C. C. T., RAI, Jadran Film"
I'll Wait for You,1983,"10752, 10749",,ru,https://image.tmdb.org/t/p/w500/aQ6z4ZeWNXqgR6Y0afJCYDo6dTz.jpg,0,Yakov Segel,Gorky Film Studios
Constantine The Philosopher,1983,"18, 36",The story of St. Cyrilus (Constantine The Philosopher) in his quest of enlightening the Slavic people.,bg,https://image.tmdb.org/t/p/w500/3CVH4w79PksQ8Pm5fGqAy7TEnTq.jpg,0,Georgi Stoyanov,
Snowdrops and Aces,1983,"35, 10751","A quarter century after the release of the original film, this sequel brings us a drama about platonic love, life retrospective and memories. Former schoolmates meet again in the mountains and it turns out they have not changed much. Even though so many years have passed, we can still see the souls of boys and girls we know from the teenage comedy Snowdrops and Aces; kids who participated in that legendary skiing course. Its nostalgic humour gives the film a bitter-sweet touch. Thawing Out follows the lives of the main heroes during a period of great changes. How did they manage to escape the traps and what scars have they suffered? Where did they want to go, how far have they got and what is still in front of them?",cs,https://image.tmdb.org/t/p/w500/q3KSG00dOSGzAahQNtBs26rZ1pj.jpg,5.9,Karel Smyczek,Filmové studio Barrandov
Superagentes y titanes,1983,,"A major employer coming into the country to produce a film with the famous Titans fighters ""Catch"". The bold super agents ""Mojarrita"" and ""Dolphin"" custody van to the airport, and is made ​​available to him, announcing the hiring of the Mummy for his film. But a strange rival businessman named ""The Mask"" gives the order to kidnap the Mummy. The Super Agents and Troup Titans started the persecution and dangerous actions to try to stop the criminals. rituals.",es,https://image.tmdb.org/t/p/w500/hDyu8J7p6Dlt2lP2WO5JI9yBubM.jpg,6,Mario Sábato,
Tušenie,1982,"18, 80",,sk,N/A,0,Peter Solan,Slovenská filmová tvorba
The House of Orchids,1983,"18, 80",Three stories set in a specialist clinic designed to liberate it's patients from society's moralistic taboos.,en,https://image.tmdb.org/t/p/w500/ygOjXWTFNqAow1HvoRCTucYrN19.jpg,3,Derek Ford,Clemi International
Beyond the Day,1983,80,"Leo has a dream: to make a movie in the great outskirts of the metropolis (Rome). He does anything for money, including selling cocaine. But his dream vanishes in the night when the police catch his friend.",it,N/A,5.6,Paolo Bologna,
Магистраль,1983,18,,ru,https://image.tmdb.org/t/p/w500/kcKhtKyStbnjvxLVdxWO4RYp8mC.jpg,6.4,Viktor Tregubovich,Lenfilm
Pavilón šeliem,1983,18,,sk,N/A,0,Dušan Trančík,Slovenská filmová tvorba
