Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Presumed Guilty: Tales of the Public Defenders,2002,,"Three years of trench warfare in the jails, holding cells, and courts of San Francisco as public defenders seek justice for their clients. Go behind the scenes and enter the inner sanctum of attorney/client privilege. Follow two high-profile murder trials and courtroom dramas as public defenders and their clients face the maze of the criminal justice system.",en,N/A,0,N/A,KQED
Quebec-Montreal,2002,"35, 10749","Quebec-Montreal: 250 km (150 miles) of asphalt, nine thirtysomething travelers, four cars, one destination. The journey becomes an opportunity to share points of view about life and to discuss troubling questions about our existence.",fr,https://image.tmdb.org/t/p/w500/bNx6QWA8g3z7Iszq907TZNgrOIk.jpg,6,Ricardo Trogi,"GO Films, Alliance Atlantis, Alliance Vivafilm"
Raging Dove,2002,99,This documentary profiles an Israeli-born Palestinian who has immigrated to America in search of a boxing career.,he,https://image.tmdb.org/t/p/w500/gIfTDUy99UCEkw11iPlekOfCWed.jpg,0,Duki Dror,
The Real Deal,2002,"53, 10749","Vince Vassar, an infamous Hollywood producer, thinks that the power he wields is limitless. But when he shuts his employee Sammy out of the multi-million dollar movie deal that Sammy brought him, the scorned assistant decides to eliminate Vince from the deal, and from every future one. Unfortunately, Vince's wife already has a plan for her husband's life and his money. Now a deadly web has been woven in which no one know who can trust whom.",en,https://image.tmdb.org/t/p/w500/dRGAnRNv9vgZ5ilC4U4C8XcMIiM.jpg,3.6,Tom Burruss,"Media Cooperation One, SHRINK Media Inc."
Reconstruction,2002,99,"Filmmaker Irene Lusztig unearths a dark family secret in search of answers and reconciliation in her breakthrough feature documentary, ""Reconstruction.""",en,https://image.tmdb.org/t/p/w500/auqMKadswwln1t0Jiz5MRnaUZEe.jpg,8,Irene Lusztig,
Reflections,2002,,,en,https://image.tmdb.org/t/p/w500/eajRpn4AI8GDxHxsxASnnbNVmdA.jpg,3,Miguel Ángel Vivas,
Roues libres,2002,"80, 18","At 6 p.m., in an African capital, two handicapped people approach a parked taxi. They rob the driver and take him hostage. Begins for the disabled, a crazy night of robberies, violence, confusion and dreams.",fr,https://image.tmdb.org/t/p/w500/oetEh2tA4lDOZMMy5RuVT0xI2wC.jpg,0,Sidiki Bakaba,
A Beautiful Secret,2002,18,"The beloved screen legend Katy Jurado, the lights one last time in the history of a special friendship that develops between a lonely old woman and Jorge, a rebellious teenager in Mexico City in 1984. Through the use flashbacks, Jorge, now an adult, remembers the unforgettable lessons and conversations about human nature and society in general. This fascinating film provides a beautiful tribute to the legendary actress in a history of heart that will make you laugh and think.",es,https://image.tmdb.org/t/p/w500/tbZMIzIiNvHWTViFKKFoihAbgLg.jpg,5.1,Leopoldo Laborde,Creative Works S.A.
Graveyard of Honor,2002,"80, 18, 53","A barkeeper saves a Yakuza boss' life and thus makes his way up in the organization. However, his fear of nothing soon causes problems.",ja,https://image.tmdb.org/t/p/w500/eF25E1OUyISJ4fCwkpUdAG3shgM.jpg,6.2,Takashi Miike,"Toei Video Company, Excellent Film, Daiei Film"
Spider's Web,2002,"18, 53, 9648, 10749",A wily businessman plots with a sultry executive to swindle $40 million from his father. But who is conning who?,en,https://image.tmdb.org/t/p/w500/tqGgOCEeXjZLhXiCLo4rI5qq03U.jpg,5,Paul Levine,"Magic Hour Pictures, Mainline Releasing, MRG Entertainment"
