Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Kadhalan,1994,"28, 18, 10749","Prabhu, a college student, falls in love with Shruthi, a governor's daughter. On knowing about their love affair, her father imprisons Prabhu and forbids him to meet Shruthi.",ta,https://image.tmdb.org/t/p/w500/cmKVaV7j2xsOkA20JAL8NdBdc26.jpg,6.6,Shankar,A. R. S. Film International
On the Far Side of the Tunnel,1994,18,"Miguel and Aurelio are two film writers who decide to lock in a monastery in Aragon to finish the script for a movie. Strolling through the beautiful neighborhood, they meet a young and very attractive baker, with whom they maintain a loving relationship and she becomes, without realizing it, the protagonist of the script.",es,https://image.tmdb.org/t/p/w500/sSqEEj9ZYCP4g6or8nY2p7vFRsg.jpg,4.4,Jaime de Armiñán,
Angel 4: Undercover,1994,"28, 80, 53","Former prostitute Molly Stewart works as a police photographer. When an old friend, a groupie in pursuit of the lead singer of a rock band, is found murdered with a guitar string, she goes undercover as Angel to find the killer.",en,https://image.tmdb.org/t/p/w500/sgpkwI0CWFIlEas4gMxQFLxvmtI.jpg,4.1,Richard Schenkman,"Corn Cobb Productions, Live Entertainment, Lions Gate Films"
Ginevra,1992,"18, 10749","Like the wife of King Arthur in the legend, the main character in Ginevra, actress Cecilia Linné, is a figure of inspiration torn between two worlds and two men. She gives up her “contract” with society and its entanglement of love, work and money.",de,https://image.tmdb.org/t/p/w500/A5aRTijA7qrGglXeDHlBGaa6RwG.jpg,2,Ingemo Engström,
Instinct,1992,53,"Giallo about a woman who rents a house where a murder occurred, and begins an affair with a gigolo who also seduced her sister.",en,https://image.tmdb.org/t/p/w500/rj08ATCcC2XpfkLSwdHs5FcDBgt.jpg,5,Joe D'Amato,Filmirage
Los Platos del Diablo,1995,"35, 18","Ricardo Azolar is looking for the right words, the exact phrases that will give him literary glory. The days are sterile and lacking in those brilliant ideas that should allow him to express through narrative, the fertile flow arising from the imagination. Until he meets Lisbeth, venus and intoxicating muse who nevertheless compels him to write irrelevant and devoid of any imagination literary texts.",es,https://image.tmdb.org/t/p/w500/oRQpTY0zKndDbK763z0QMN44XDR.jpg,0,Thaelman Urgelles,"Blancica, Foncine"
Roraima,1994,18,A woman sets out on a spiritual journey to find her brother in the far away land of Roraima.,es,N/A,0,Carlos Oteyza,
Men Behind the Sun 3: A Narrow Escape,1994,18,"During the shut down and destruction of the Japanese test camp Squadron 731 in Manchuria, a soldier becomes infected with a virus developed during the camp's testing and risks spreading it into Japan on the train ride home.",cn,https://image.tmdb.org/t/p/w500/i7PdQJITTEvdGYZc492sgMmYJtC.jpg,3.8,Godfrey Ho,"Artview Investment Co., Ltd."
April One,1994,,"An emotionally troubled man named David takes a minister hostage. John, a police superintendent tries to negotiate with David's demands while fending off attempts by the Canadian Mounties to take over the situation and shoot David.",en,N/A,0,Murray Battle,
"To Die, to Sleep",1994,18,"Although it appears that Phil lives the life that every teenager dreams of - endless amounts of cash, a sweet ride, and a big house he almost always has to himself - he hides a dark and deadly secret. His chance encounter with a similarly troubled youth propels him further into his cycle of debauchery, but it may just be what he needs to keep him from ending his own life.",en,https://image.tmdb.org/t/p/w500/kBHOhxBFSPfkmou0B5GfJ59YR6N.jpg,3.3,Brianne Murphy,"Peacock Films, Calimo Film Group, Imperial Entertainment Corporation"
Oysters from Lausanne,1992,35,"Roman Lebedichkin, a founder of a big and successful company, is surprised to found out that he's not so welcomed by previous partners after he gets released from jail.",ru,https://image.tmdb.org/t/p/w500/dglsr3Hfl9Trkt2xEEBbsKQiQk6.jpg,3,Vladimir Shamshurin,Aktsiya
Who Do I Gotta Kill?,1994,"35, 80","A struggling writer takes a job for his mobster uncle in order to obtain first-hand material for a book on conspiracy plots and the JFK assassination.  They often say that a good writer lives what he writes, but what happens when the life that the writer is living could likely get him killed?",en,https://image.tmdb.org/t/p/w500/eQw4tC4onERymDQ6kESTqI9DC7t.jpg,4.4,Frank Rainone,R.S.V.P. Productions
The Golden Years,1992,"18, 10749","The crash of student strike, also the crash of ""Croatian Spring"" in December of 1971, causes a violent separation of its three participants: A member of student leaders Jakov, his brother Mislav and Jakov's girlfriend Suncana. Jakov escapes abroad, while Mislav and Suncana remain in Zagreb believing that nothing bad can happen to them. Meanwhile, Mislav is getting arrested and Suncana stays alone. 20 years later, Jakov returns from Australia looking for a new beginning. He stays at Mislav's who married a girl from a rich family, after being released from prison and became a dentist. Soon, the brothers discover that the scelator from the past were not buried after all. The case of Suncana Krizic, who got killed in 1972 under mysterious circumstances, becomes Jakov's obsession in finding the truth.",hr,https://image.tmdb.org/t/p/w500/6s2MA65T5WD5P1ILGG8EOv5irm0.jpg,7.2,Davor Žmegač,"Grad Zagreb, ICAV, MaXima film"
L'Affaire,1994,53,"A man who had everything taken away from him, including his family, by his brother teams up with a young card player in order to take revenge on the brother.",fr,https://image.tmdb.org/t/p/w500/dVIGOOS4FQNtpW4LVU2Zt6ChXj9.jpg,3,Sergio Gobbi,"TF1 Films Production, Les Films Auramax, France Film International, Flach Film, A Erre Cinematografica"
Angelic Eyes,1994,"35, 18","Charming, witty and smart men represent a fictitious insurance company who soon fall for an innocent-looking young woman smarter than she seems.",cs,https://image.tmdb.org/t/p/w500/goGQmsLdPyKOSatH9Cj8YY41rwB.jpg,4,Dušan Klein,Česká televize
