Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
"Just, Melvin: Just Evil",2000,"99, 80",A documentary about a man who molested generations of his children and stepchildren.,en,N/A,6.444,James Ronald Whitney,Production 920
The Photographer,2000,"35, 18","A year after becoming the toast of New York City's art scene, photographer Max Martin has lost his ability to take a decent picture. On the night before his make-or-break gallery opening, surrounded by the trappings of success but devoid of inspiration, Max embarks on a bizarre trek through the city in search of ten mysterious photographs that could save his career. Shot in brilliant color and dramatic black and white, first-time director Jeremy Stein's industrial New York City is a wonderland, roamed by witches and magical creatures, where survival hinges on the completion of a simple quest. Accompanied by an unlikely crew of strangers he meets along the way, Max trips through a modern-day Oz and rediscovers the easily forgotten value of seeing magic reflected in everyday life.",en,https://image.tmdb.org/t/p/w500/i809jRahJ12eBVHgx5AnDpz04Fd.jpg,3.5,Jeremy Stein,The Photographer Company LLC
"Royal de luxe, retour d'Afrique",2000,,The french theater company Royal De Luxe is being followed during their odyssey in rural Cameroon. Street scenes and accounts of the natives.,fr,https://image.tmdb.org/t/p/w500/vROK5fQf5ni06O3YMF9qzHTXuTS.jpg,0,Dominique Deluze,
Sausalito,2000,10749,"Ella is a divorced Chinese American taxi driver who spends her days ferrying people around the roads of Sausalito, San Francisco. After work, she spends time with her 8-year old son, Scott. Ella meets Mike at Sky House, an infamous pick-up joint. Awkward strangers at first, they nonetheless find passion and what they want in each other.",cn,https://image.tmdb.org/t/p/w500/sD7BO9lBn4PYR0nPVbzidUmWhJh.jpg,5.3,Andrew Lau Wai-Keung,"Star East (Holdings) Limited, BoB & Partners Co., Ltd."
Scottsboro: An American Tragedy,2000,99,"A look at the infamous ""Scottsboro Boys"" case that occurred in Alabama in 1931, in which nine young black men were arrested, tried and quickly convicted in the rape of two white women, despite overwhelming evidence that showed their accusers had falsely accused them and the fact that one of the women later admitted that no rape had in fact occurred (although both had had sexual relations with their boyfriends on the day prior to the ""rape""). The case was one of the first that shined a spotlight on what many called the ""legal lynchings"" that occurred in the South whenever blacks were accused of crimes, especially against whites and most especially against white women.",en,https://image.tmdb.org/t/p/w500/exQOXVvbzbtqDnAcTlEr45lFFK7.jpg,7.8,Barak Goodman,
Sound and Fury,2000,99,"A documentary film released in 2000 about two American families with young deaf children and their conflict over whether or not to give their children cochlear implants, surgically implanted devices that may improve their ability to hear but may threaten their deaf identity.",en,https://image.tmdb.org/t/p/w500/lajJXqTI1qM55BxiLzi1RdnjObt.jpg,7.1,Josh Aronson,
Under the Sand,2000,"18, 9648","When her husband goes missing at the beach, a female professor begins to mentally disintegrate as her denial of his disappearance becomes delusional.",fr,https://image.tmdb.org/t/p/w500/phJFN5d5qtphQoz3QzP7Z7GLAMM.jpg,6.7,François Ozon,"Fidélité Productions, Eurospace, Haut et Court, ARTE France Cinéma, Canal+"
Stranger with a Camera,2000,99,"In 1967 Canadian filmmaker Hugh O'Connor came with a crew to eastern Kentucky to make a film showing people from all walks of life in the United States. They finished the day by filming coal miners and their families in rental houses. As the filmmakers were leaving, Hobart Ison, the owner of the property, drove up and fired three shots, killing Hugh O'Connor. Elizabeth Barrett, from Kentucky herself, explores why this happened by trying to understand the people and culture of eastern Kentucky.",en,N/A,0,Elizabeth Barret,
Well-Founded Fear,2000,99,"Examines how the Immigration and Naturalization Service decides who will be granted asylum in the United States. The applicant must have a ""well-founded fear"" of persecution in his or her home country. Despite true and terrifying stories of torture and mistreatment, it's often up to how well the translator presents the case and how sensitive are the ears of the asylum officer to decide a person's fate.",en,https://image.tmdb.org/t/p/w500/mTpSBkgT7TjZLoIkrnZGBsB5AQs.jpg,0,Shari Robertson,
WhoAfraidWolf,2000,18,"A group of actors making their way to Rome ends up losing its way due to the fog, the darkness, the ice and their own feelings of guilt, suddenly getting completely lost in the hills.",de,N/A,0,Clemens Klopfenstein,
Zorrita: Passion's Avenger,2000,"12, 35","The virginal Bella has taken on a job as a maid for Lord Joffrey, who runs the small village where Bella and her mother live. Things quickly turn bad for Bella, however, as both Joffrey and his head maid treat her cruelly. Hope comes for the young woman when she discovers a book about the legend of Zorrita, a masked woman who would avenge injustices and seduce any man she wanted. Drawing inspiration from her fictional hero, Bella grabs a sword and a costume and sets out to start avenging and seducing.",en,https://image.tmdb.org/t/p/w500/4r4D2t9onhEaweMWp1tkT6i7eVe.jpg,4.5,Madison Monroe,"Surrender Cinema, Twilight Movies"
101 Ways (The Things a Girl Will Do to Keep Her Volvo),2000,,"101 Ways (the things a girl will do to keep her Volvo) chronicles the epic adventures of Watson (Wendy Hoopes), a struggling young writer who moves to the quiet suburbs to write her first novel. A New York City native, Watson isn't much of a driver, and her over-protective mother forces her to buy a car she can't afford - a brand new Volvo. Watson falls in love with the car, but real life quickly catches up to her in the form of the repo man when she falls behind on her monthly payments. To avoid losing her beloved wheels, Watson tries her hand at two of the oldest professions: waiting tables and phone sex. At the same time, her meddling best friend (Jamie Harrold), convinces Watson to ignite her stagnant love life by pursuing a sexually-phobic pilot (Gabriel Macht) and an aloof supermarket cashier (Glenn Fitzgerald). The result is a refreshing comedy packed with star cast performances and an overriding moral: life's long and winding road has as many speed bumps as straightaways.",en,https://image.tmdb.org/t/p/w500/qQA95FP6TGHDaLvXbYUQi8dUMRH.jpg,5.5,Jennifer B. Katz,
Bring Him Home,2000,"10751, 18",A boy fights to save his dog from dognappers.,en,https://image.tmdb.org/t/p/w500/9gfdlGvJUR0bKFgPjos4dp41oRP.jpg,6.5,Robert Fedor,
Chocolat,2000,"35, 18, 10749","A mother and daughter move to a small French town where they open a chocolate shop. The town, religious and morally strict, is against them, as they represent free-thinking and indulgence. When a group of gypsies arrive by riverboat, the Mayor's prejudices lead to a crisis.",en,https://image.tmdb.org/t/p/w500/pb2xpBtzkUBgBe4jdn0KVfEuaHt.jpg,7,Lasse Hallström,"Miramax, David Brown Productions"
Fiasco,2000,"35, 18","Set in present-day Reykjavík, Fiasco draws a narrative circle of interconnecting stories in which three members of the Bardal household deal with the secret loves in their lives. Karl, an old age pensioner, is busy chasing after an amnesic old screen legend. Julia, Karl's granddaughter, is torn between a mediocre bank manager and a wild sailor, and tells them both she is pregnant. But is she really? Steingerdur, Julia's mother, has a wild crush on a preacher who has a serious drinking problem, and ends up with a dead stripper in his Jacuzzi. The characters cross each other as the film progresses, until the three interwoven strands of the story finally come together in an explosive and hilarious crescendo full of surprises.",is,https://image.tmdb.org/t/p/w500/wEzS12VJdrsuFZcglq2eOTmnKWP.jpg,3.7,Ragnar Bragason,"Íslenska kvikmyndasamsteypan, Zik Zak Filmworks, Tradewind Pictures, Zentropa Entertainments, Rhein-Film, Filmstiftung Nordrhein-Westfalen"
Going Off Big Time,2000,"35, 53, 28, 80","After surviving prison, a man has to forge a career in the crime world",en,https://image.tmdb.org/t/p/w500/opiDJzjaLQncLucqFMmbx9tgTki.jpg,5.5,Jim Doyle,Enterprise Films
Hardcore Poisoned Eyes,2000,27,"Three young women Sarah, Ellie & Angie go on a weekend getaway in a small cabin in the woods. Angie is focused on her future of becoming a writer and solving the bizaare death of her grandfather who was believed to have documented evidence on satanic cults and their evil rituals. That same night their weekend turns into a chilling nightmare of survival as a local satanist unleashes unspeakable horror.",en,https://image.tmdb.org/t/p/w500/sw1CaZ78Lmk8Rs2EKxzU4DseNrh.jpg,3,Sal Ciavarello,Profound Images Productions
LaCapaGira,1999,"18, 35","Bari, the last chills of a very cold winter. A gang of petty criminals rummages through the day and night of the suburbs, searching for a precious package sent from the Balkans and destined never to reach its final destination. What does the package contain? Important material for our characters; for the viewer, a passe-partout that opens the door to a jagged and surprising urban undergrowth.",it,https://image.tmdb.org/t/p/w500/gCP0K3vZ9hSzdB6fyJbJTvM6z1d.jpg,7.1,Alessandro Piva,
Why Get Married the Day the World Ends?,2000,"27, 18","Juliette is frantically running away from a man when a car hits her. Lying in the street, semiconscious and stunned, she commences counting. She knows that if no one helps her by the time she reaches 100, something terrible will happen.",fr,https://image.tmdb.org/t/p/w500/bIKjc9gaAGXHS37rUULScPqa4J2.jpg,5.7,Harry Cleven,"Samsa Film, Artémis Productions"
Team Spirit,2000,"18, 35","The story centers around a group of friends (and girlfriends) who have been playing football together for over 10 years, and who are now getting everything ready for their 500th match.",en,https://image.tmdb.org/t/p/w500/5b9djSvqozkKvVJxrJHHTBJ8BQX.jpg,5.7,Jan Verheyen,
The Exhibited,2000,99,Jesper Jargil's documentary portrait of a bizarre piece of Danish experimental theater directed by Lars von Trier.,en,https://image.tmdb.org/t/p/w500/q4nrvMDNymGIZK1v2USOuWbAdZI.jpg,0,Jesper Jargil,
Yoyes,2000,18,"Yoyes, the first woman to hold responsibility positions within ETA, returns from exile in Mexico and try to rebuild her life. But her return is not easy.",es,https://image.tmdb.org/t/p/w500/7XVKCW77LyxTseGX3nYB3U3Dnto.jpg,5.7,Helena Taberna,"MACT Productions, CIPI Cinematografica S.A."
Alaipayuthey,2000,"10749, 18","Karthik and Shakthi marry against the wishes of their families and start their new life. However, they soon realize that marriage is not the bed of roses they had imagined it would be.",ta,https://image.tmdb.org/t/p/w500/yfTNQdgkrB7slMTDz3zTcVWMy2E.jpg,7.4,Mani Ratnam,Madras Talkies
The Art of Dying,2000,"18, 53","Four years after his disappearance, the mysterious case of Nacho, a young and promising painter, is reopened by the police.",es,https://image.tmdb.org/t/p/w500/vWKYOXkmUxJoOPL1APiq2ZN8NR.jpg,5.3,Álvaro Fernández Armero,"Aurum Producciones, Canal+ España, TVE"
