Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Big Monday,1998,"35, 18",A young man travels through the streets of Manhattan in order to get to a job interview.,en,N/A,0,Michael T. Rehfield,
Blade Sisters,N/A,,Feature film directed by Donald G. Jackson and Scott Shaw,en,https://image.tmdb.org/t/p/w500/qecMvb9rNFeteeLdbIkY7BpwkCW.jpg,0,Donald G. Jackson,
Bugaboo,N/A,,Life and Times in Silicon Valley.  Made by people in Silicon Valley during and about the heyday in the 1990's,en,https://image.tmdb.org/t/p/w500/ePcap30MnMRIyzHwUEPC5oyhY9f.jpg,0,N/A,
Eisenstein in Alma-Ata,1999,99,"This video chronicles a crucial period in the life of the great Soviet filmmaker, Sergei Eisenstein (1898-1948), when he left Moscow during WWII for the Kazakhstan capital to film Ivan the Terrible (1943). Suffering under a heavy work schedule, fighting artistic interference from the Ministry of Cinema, constantly fearful of arrest by Stalin's secret police, crushed by feelings of loneliness and forebodings of death, Eisenstein suffered his first heart attack. The video visits sites where he lived and worked, features intimate excerpts from Eisenstein's diary, rare production footage, the director's sketches and screen tests, and interviews with friends, coworkers, and Soviet journalists and film critics, including Naum Kleiman, curator of the Eisenstein Museum.",kk,https://image.tmdb.org/t/p/w500/73mjtQjqtpoZvX2hWlBgLq1rHEt.jpg,0,Igor Gonopolsky,
Here We Are Waiting for You,1999,99,"A fascinating and poetical collage of countless images from the 20th century with the purpose of revealing matters of life and death during the era and its many social, cultural and political transformations, with the director making several statements on several issues, combining fact and fiction to compose his powerful mosaic of images along with the magnificent music of Wim Mertens. A true work of art that dares to make several questions about the human condition, its contradictions and ironies.",pt,https://image.tmdb.org/t/p/w500/iXiaIrEpbUhSg1RGxlRJLJPZgCf.jpg,8.6,Marcelo Masagão,Agencia Observatorio
Iran Is My Land,1999,"36, 18","Sohrab, a provincial young writer, is lost in the desert on the way to Tehran to get a publication license for his book on old Persian poetry, but the trip involves some bizarre events.",fa,https://image.tmdb.org/t/p/w500/nPWgmCExdDsI7qpe5s2TUshUFP9.jpg,7.4,Parviz Kimiavi,
Joseph's Gift,1999,18,"Joseph is the youngest member of a large family that owns a successful garment business in Los Angeles. His father, Jacob, makes no attempt at hiding the fact that Joseph is his favorite son, resulting in the constant envy and resentment of his brothers. Eventually, in their bitterness, they plot revenge against this favored son. When Joseph accompanies his brothers on a trip to New York, they commit the ultimate betrayal, stranding him there, a virtual prisoner in a corrupt, modern-day sweat shop.",en,https://image.tmdb.org/t/p/w500/7Q740wdFn8KewX4AeKo4DFSlC4e.jpg,0,Philippe Mora,"Alpine Pictures, Multicom Entertainment Group, Sundae Productions"
Mann,1999,"18, 10749","A young woman falls in love with a handsome playboy, while aboard a Singapore to India cruise. They make plans to meet again, but fate may have other plans...",hi,https://image.tmdb.org/t/p/w500/nbn9Hxj7GEBxrZ8biAfIjhYSs1Y.jpg,6.3,Indra Kumar,
"Mobutu, King of Zaire",1999,99,"This film is the result of more than two years of work tracking down archive material and witnesses close to Mobutu in Africa, Europe and the U.S. More than 950 hours of footage have been seen by the world. Among the 104 hours selected as the basis for this film, are 30 hours of archives recently discovered in Kinshasa and never before released. Completing these exceptional documents, are more than 50 hours of interviews with those close to the former president and the events surrounding his reign, conducted by the director in Kinshasa, Brussels, Paris and Washington.  Like a vast historical puzzle, this film pieces together the tragic history of a country, and its self-styled leader - the dictator, Mobutu Sese Seko, ""King of Zaïre"".",fr,https://image.tmdb.org/t/p/w500/9oJ5kl8we7cLO08vrm6Hmx5IT3D.jpg,6.667,Thierry Michel,"Centre du Cinéma et de l'Audiovisuel de la Communauté Française de Belgique, CBA, Canal+, Les Films de la Passerelle, Image Création, Les Films d'Ici, RTBF"
Punitive Damage,1999,99,"The story of New Zealander Helen Todd's law suit against an Indonesian general that she pursued after her son, Kamal, was shot dead in the Dili massacre in East Timor.",en,https://image.tmdb.org/t/p/w500/ziamqZZ3aU0p8gF0Qwi6TgWUVVW.jpg,0,Annie Goldson,Occasional Productions Ltd.
Something More,2000,"35, 10749","When Sam and his friend fall for the same woman, their friendship is put at risk.",en,https://image.tmdb.org/t/p/w500/71B5mKwfT5xiEBt8M5hLcTMPW6u.jpg,4.7,Rob W. King,Minds Eye Entertainment
Wadd: The Life & Times of John C. Holmes,1999,99,"Friends, enemies, acquaintances, and family of porn star John Holmes recall their experiences with him, from his childhood to his eventual death from AIDS in 1988.",en,https://image.tmdb.org/t/p/w500/w766Zaxfv0ktIJppaQEtL2EoR1d.jpg,6,Wesley Emerson,"Cassel Productions, Cassel Productions"
Winding Roads,1999,,Three women encounter the toughest time of their lives.,en,https://image.tmdb.org/t/p/w500/8qn6PKkXLunCkc3Qsn7FQdk3ySP.jpg,0,Theodore Melfi,
Biwi No.1,1999,"35, 18, 10749",A woman tries to win back her husband when she discovers he's keeping a model for a mistress.,hi,https://image.tmdb.org/t/p/w500/4c787y8j6XCuJHDv13Yuwu0FHmw.jpg,5.9,David Dhawan,Pooja Entertainment
